ID,Category,latitude,longitude
N1969-A,Canada,68.00386667,-133.4736833
N1969-B,Canada,67.9979,-133.471
N1969-C,Canada,67.99903333,-133.4665667
N1990-A,Canada,66.02545,-137.2459333
N1990-B,Canada,66.02328333,-137.2492667
N1990-C,Canada,65.98341667,-137.2908833
N2012-A,Canada,65.9233,-137.4291
N2012-B,Canada,65.92368333,-137.4222167
N2012-C,Canada,65.92315,-137.4276667
NC-A,Canada,66.29705,-136.7151333
NC-B,Canada,67.96316667,-133.4713333
NC-C,Canada,65.9255,-137.4220833
N2012-FBA,Canada,65.8953,-137.43502
N2012-FBB,Canada,65.88733,-137.4254
N2012-FBC,Canada,65.89989,-137.45072
