dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,6e-04,NA
2010-04-23,0.006283,0.003614
2010-05-01,0.001933,0.001017
2010-05-09,0.00455,0.002649
2010-05-17,0.014233,0.007472
2010-05-25,0.027217,0.015975
2010-06-02,0.028217,0.014319
2010-06-10,0.023917,0.013615
2010-06-18,0.039367,0.019857
2010-06-26,0.038633,0.020683
2010-07-04,0.041533,0.02195
2010-07-12,0.029633,0.015179
2010-07-20,0.028133,0.01557
2010-07-28,0.03355,0.017365
2010-08-05,0.027817,0.014582
2010-08-13,0.031767,0.016012
2010-08-21,0.008267,0.005885
2010-08-29,0.014233,0.007122
2010-09-06,0.009133,0.004918
2010-09-14,0.003717,0.002041
2010-09-22,0.001183,0.000911
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.01735,0.008953
2011-05-25,0.02445,0.012458
2011-06-02,0.018317,0.009344
2011-06-10,0.021583,0.011719
2011-06-18,0.04275,0.022763
2011-06-26,0.042283,0.021717
2011-07-04,0.0421,0.021599
2011-07-12,0.038517,0.020577
2011-07-20,0.042033,0.021351
2011-07-28,0.039583,0.021224
2011-08-05,0.024833,0.013743
2011-08-13,0.017917,0.009023
2011-08-21,0.02385,0.012173
2011-08-29,0.012783,0.006878
2011-09-06,0.0082,0.004218
2011-09-14,0.004567,0.002443
2011-09-22,0.00185,0.000967
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.011983,0.006205
2012-05-24,0.018117,0.009813
2012-06-01,0.021683,0.011713
2012-06-09,0.040233,0.020785
2012-06-17,0.045817,0.023581
2012-06-25,0.048967,0.025083
2012-07-03,0.040617,0.022187
2012-07-11,0.038067,0.020352
2012-07-19,0.02485,0.020756
2012-07-27,0.041133,0.022107
2012-08-04,0.0317,0.016289
2012-08-12,0.0269,0.01371
2012-08-20,0.025283,0.013048
2012-08-28,0.01205,0.006382
2012-09-05,0.007967,0.00407
2012-09-13,0.00775,0.003897
2012-09-21,0.005267,0.002752
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.019367,0.010496
2013-06-02,0.015767,0.009227
2013-06-10,0.028133,0.014827
2013-06-18,0.04445,0.023723
2013-06-26,0.043467,0.022931
2013-07-04,0.038217,0.020114
2013-07-12,0.035367,0.01849
2013-07-20,0.040533,0.02162
2013-07-28,0.033967,0.017337
2013-08-05,0.034433,0.017649
2013-08-13,0.01635,0.006833
2013-08-21,0.014683,0.007442
2013-08-29,0.010017,0.00527
2013-09-06,0.007217,0.003691
2013-09-14,0.00092,0.000522
2013-09-22,0.002283,0.001324
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.00175,0.000636
2014-05-09,0.00746,0.003268
2014-05-17,0.001583,0.00112
2014-05-25,0.014667,0.007689
2014-06-02,0.025417,0.013144
2014-06-10,0.029083,0.015235
2014-06-18,0.044733,0.023717
2014-06-26,0.047383,0.0242
2014-07-04,0.051917,0.027252
2014-07-12,0.04545,0.023219
2014-07-20,0.026583,0.014384
2014-07-28,0.019267,0.00987
2014-08-05,0.028717,0.0146
2014-08-13,0.025417,0.012666
2014-08-21,0.018567,0.00953
2014-08-29,0.008667,0.004372
2014-09-06,0.007117,0.003848
2014-09-14,NA,NA
2014-09-22,0.002217,0.001118
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.008267,0.004844
2015-05-17,0.0254,0.013185
2015-05-25,0.021717,0.011154
2015-06-02,0.016817,0.008445
2015-06-10,0.023517,0.011941
2015-06-18,0.043583,0.023341
2015-06-26,0.0394,0.021842
2015-07-04,0.0258,0.019046
2015-07-12,0.03404,0.020093
2015-07-20,0.011533,0.011451
2015-07-28,0.0166,0.013612
2015-08-05,0.02195,0.011128
2015-08-13,0.00684,0.00944
2015-08-21,0.015583,0.008218
2015-08-29,0.001117,0.000703
2015-09-06,0.00565,0.002879
2015-09-14,0.001233,0.000638
2015-09-22,0.001767,0.000929
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,0,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,NA,NA
2016-05-08,0.014483,0.007639
2016-05-16,0.012033,0.006438
2016-05-24,0.015017,0.007653
2016-06-01,0.0147,0.007647
