date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,11,6.51
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0005,0.0013,0.0298,0.0008,0.0007,0.0000,0.0003,169,40,23.67
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0000,0.0142,1.2396,0.0142,0.0075,0.0000,0.0031,169,166,98.22
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0000,0.0032,0.2747,0.0032,0.0016,0.0000,0.0007,169,168,99.41
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0000,0.0079,0.7208,0.0079,0.0043,0.0000,0.0015,169,168,99.41
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0000,0.0248,2.1391,0.0248,0.0127,0.0000,0.0049,169,168,99.41
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0000,0.0494,4.7058,0.0494,0.0280,0.0001,0.0091,169,168,99.41
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0000,0.0483,4.9483,0.0483,0.0295,0.0001,0.0077,169,168,99.41
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0000,0.0378,3.9026,0.0378,0.0234,0.0001,0.0075,169,167,98.82
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0000,0.0631,6.7689,0.0631,0.0403,0.0001,0.0105,169,168,99.41
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0000,0.0591,6.1118,0.0591,0.0364,0.0001,0.0116,169,168,99.41
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0000,0.0617,6.3851,0.0617,0.0380,0.0001,0.0121,169,168,99.41
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0000,0.0429,4.5040,0.0429,0.0271,0.0001,0.0088,169,166,98.22
A2010201,2010-07-20,MOD17A2H,PsnNet_500m,0.0000,0.0427,4.0228,0.0427,0.0239,0.0001,0.0081,169,168,99.41
A2010209,2010-07-28,MOD17A2H,PsnNet_500m,0.0000,0.0475,4.8012,0.0475,0.0286,0.0001,0.0104,169,168,99.41
