MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,131,3,2.29
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0005,0.0013,0.0136,0.0008,0.0006,0.0000,0.0003,131,21,16.03
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0000,0.0133,0.8551,0.0133,0.0067,0.0000,0.0026,131,128,97.71
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0000,0.0030,0.1848,0.0030,0.0014,0.0000,0.0005,131,130,99.24
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0000,0.0068,0.4975,0.0068,0.0038,0.0000,0.0011,131,130,99.24
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0000,0.0227,1.4724,0.0227,0.0113,0.0000,0.0039,131,130,99.24
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0000,0.0494,3.3078,0.0494,0.0254,0.0001,0.0074,131,130,99.24
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0000,0.0483,3.5797,0.0483,0.0275,0.0000,0.0067,131,130,99.24
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0000,0.0378,2.7475,0.0378,0.0213,0.0000,0.0063,131,129,98.47
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0000,0.0631,4.8973,0.0631,0.0377,0.0001,0.0092,131,130,99.24
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0000,0.0591,4.3201,0.0591,0.0332,0.0001,0.0096,131,130,99.24
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0000,0.0617,4.5456,0.0617,0.0350,0.0001,0.0102,131,130,99.24
