Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,264,157,194,244,175,209,225
2002, Cycle 1,263,146,185,237,164,199,215
2003, Cycle 1,260,141,184,238,163,199,215
2004, Cycle 1,271,135,185,246,165,201,219
2005, Cycle 1,271,106,183,243,158,201,220
2006, Cycle 1,281,121,185,247,162,204,223
2007, Cycle 1,270,114,183,247,160,198,219
2008, Cycle 1,263,140,179,238,159,193,214
2009, Cycle 1,269,140,179,245,160,193,215
2010, Cycle 1,271,120,174,246,147,197,221
2011, Cycle 1,270,128,186,248,161,204,222
2012, Cycle 1,275,139,179,243,158,196,216
2013, Cycle 1,278,136,187,249,165,204,223
2014, Cycle 1,267,137,181,242,160,197,214
2015, Cycle 1,273,129,171,243,148,187,207
2016, Cycle 1,288,113,181,245,153,197,216
2017, Cycle 1,274,107,179,247,154,197,220
2018, Cycle 1,270,119,181,240,158,194,210
2019, Cycle 1,262,132,174,237,151,193,213
2003, Cycle 2,277,147,187,247,167,202,219
2010, Cycle 2,264,129,175,244,152,196,223
2012, Cycle 2,281,149,182,245,164,202,221
2019, Cycle 2,274,132,177,252,148,203,225
