dates,deciduous_needleleaf_forest_mean,deciduous_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.000883,0.00044
2010-04-23,0.011245,0.003222
2010-05-01,0.002914,0.000801
2010-05-09,0.006907,0.001899
2010-05-17,0.01851,0.005139
2010-05-25,0.041307,0.009682
2010-06-02,0.040045,0.008558
2010-06-10,0.035714,0.008058
2010-06-18,0.054762,0.011629
2010-06-26,0.05521,0.012401
2010-07-04,0.058448,0.013287
2010-07-12,0.04151,0.008875
2010-07-20,0.035121,0.011137
2010-07-28,0.047779,0.011094
2010-08-05,0.039141,0.008815
2010-08-13,0.0445,0.010143
2010-08-21,0.013745,0.007058
2010-08-29,0.019134,0.00405
2010-09-06,0.012752,0.002957
2010-09-14,0.005303,0.001485
2010-09-22,0.000617,0.00029
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,0,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.025183,0.007253
2011-05-25,0.035031,0.00773
2011-06-02,0.026128,0.005747
2011-06-10,0.030521,0.006533
2011-06-18,0.059814,0.013437
2011-06-26,0.05901,0.012915
2011-07-04,0.053845,0.013311
2011-07-12,0.050228,0.012495
2011-07-20,0.058383,0.013115
2011-07-28,0.054193,0.012409
2011-08-05,0.03709,0.00819
2011-08-13,0.024914,0.005375
2011-08-21,0.031841,0.006756
2011-08-29,0.019079,0.004372
2011-09-06,0.011631,0.002978
2011-09-14,0.006748,0.001759
2011-09-22,0.00173,0.000869
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.020207,0.005641
2012-05-24,0.027648,0.006909
2012-06-01,0.032055,0.00789
2012-06-09,0.055372,0.01219
2012-06-17,0.063366,0.014019
2012-06-25,0.068114,0.015804
2012-07-03,0.054724,0.017263
2012-07-11,0.055883,0.0137
2012-07-19,0.03949,0.018256
2012-07-27,0.054872,0.012588
2012-08-04,0.045317,0.009764
2012-08-12,0.038552,0.008796
2012-08-20,0.036279,0.008323
2012-08-28,0.016638,0.004447
2012-09-05,0.010493,0.002325
2012-09-13,0.009907,0.00249
2012-09-21,0.007045,0.001832
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,0
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.026079,0.006525
2013-06-02,0.025124,0.00706
2013-06-10,0.041862,0.009386
2013-06-18,0.065655,0.015158
2013-06-26,0.059366,0.01292
2013-07-04,0.053252,0.012306
2013-07-12,0.048797,0.010573
2013-07-20,0.0552,0.01251
2013-07-28,0.046717,0.010266
2013-08-05,0.052914,0.012485
2013-08-13,0.020086,0.008948
2013-08-21,0.019362,0.004141
2013-08-29,0.013862,0.00312
2013-09-06,0.0109,0.002459
2013-09-14,0.001216,0.00063
2013-09-22,0.002997,0.000956
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,5e-04,NA
2014-05-01,0.002319,0.000913
2014-05-09,0.010945,0.003637
2014-05-17,0.002227,0.000788
2014-05-25,0.021652,0.005254
2014-06-02,0.036124,0.007582
2014-06-10,0.043155,0.009947
2014-06-18,0.061821,0.013866
2014-06-26,0.06741,0.015232
2014-07-04,0.0733,0.016272
2014-07-12,0.063652,0.014519
2014-07-20,0.037207,0.00914
2014-07-28,0.0263,0.005606
2014-08-05,0.03859,0.008213
2014-08-13,0.034769,0.007543
2014-08-21,0.027376,0.006299
2014-08-29,0.011752,0.002656
2014-09-06,0.010114,0.002408
2014-09-14,0.001,NA
2014-09-22,0.002969,0.00077
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.000512,0.000295
2015-05-09,0.016245,0.004709
2015-05-17,0.037393,0.008711
2015-05-25,0.031731,0.008443
2015-06-02,0.024676,0.005474
2015-06-10,0.035966,0.00916
2015-06-18,0.061552,0.013653
2015-06-26,0.052079,0.018047
2015-07-04,0.04325,0.01617
2015-07-12,0.042562,0.016236
2015-07-20,0.012713,0.008268
2015-07-28,0.021269,0.012491
2015-08-05,0.029817,0.006502
2015-08-13,0.019429,0.010333
2015-08-21,0.019266,0.004888
2015-08-29,0.001579,0.000454
2015-09-06,0.007693,0.001899
2015-09-14,0.001579,0.000402
2015-09-22,0.002397,0.00061
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,0,0
2016-04-22,7e-04,0
2016-04-30,0.001233,5.8e-05
2016-05-08,0.021231,0.005487
2016-05-16,0.016766,0.004016
