dates,mixed_forest_mean,mixed_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,0,NA
2010-04-07,NA,NA
2010-04-15,0.0014,0
2010-04-23,0.0141,0.001838
2010-05-01,0.0036,0.000283
2010-05-09,0.0083,0.000849
2010-05-17,0.025,0.002121
2010-05-25,0.047,0.000566
2010-06-02,0.04345,0.000919
2010-06-10,0.0393,0.000141
2010-06-18,0.05825,0.000636
2010-06-26,0.0613,0.001414
2010-07-04,0.06465,0.001344
2010-07-12,0.04385,0.007707
2010-07-20,0.0396,0.010465
2010-07-28,0.05425,0.000495
2010-08-05,0.044,0.000424
2010-08-13,0.0473,0.000424
2010-08-21,0.0176,NA
2010-08-29,0.0207,0.001697
2010-09-06,0.0145,0
2010-09-14,0.00625,0.000354
2010-09-22,9e-04,0
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.0306,0.00198
2011-05-25,0.04075,0.000636
2011-06-02,0.02895,0.000495
2011-06-10,0.0335,0
2011-06-18,0.0657,0.000566
2011-06-26,0.06755,0.001768
2011-07-04,0.06385,0.002616
2011-07-12,0.05865,0.000495
2011-07-20,0.0648,0
2011-07-28,0.06,0.001131
2011-08-05,0.0399,0.000283
2011-08-13,0.0277,0
2011-08-21,0.0345,0.000283
2011-08-29,0.02015,0.000495
2011-09-06,0.01345,0.000212
2011-09-14,0.0073,0.000707
2011-09-22,0.0026,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.02585,0.002758
2012-05-24,0.03205,0.004738
2012-06-01,0.02755,0.000919
2012-06-09,0.0607,0
2012-06-17,0.0694,0.001273
2012-06-25,0.0728,0.002121
2012-07-03,0.0638,0
2012-07-11,0.0655,0.004243
2012-07-19,0.0442,0.017819
2012-07-27,0.0651,0.000566
2012-08-04,0.05015,0.000919
2012-08-12,0.04305,0.000919
2012-08-20,0.04065,0.000354
2012-08-28,0.02065,0.001344
2012-09-05,0.0123,0.000707
2012-09-13,0.012,0.000849
2012-09-21,0.0081,0
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.03155,0.000778
2013-06-02,0.0328,0
2013-06-10,0.04585,0.002333
2013-06-18,0.06605,0.000778
2013-06-26,0.06575,0.001768
2013-07-04,0.0565,0.005515
2013-07-12,0.05215,0.001061
2013-07-20,0.05945,0.001626
2013-07-28,0.05165,7.1e-05
2013-08-05,0.05815,0.002616
2013-08-13,0.0156,NA
2013-08-21,0.0211,0.000283
2013-08-29,0.0149,0
2013-09-06,0.0123,0.000141
2013-09-14,NA,NA
2013-09-22,0.0043,0.000141
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.003,0
2014-05-09,0.01695,0.003748
2014-05-17,0.002,0
2014-05-25,0.0252,0.00198
2014-06-02,0.03945,0.001061
2014-06-10,0.0514,0.00792
2014-06-18,0.0679,0.000566
2014-06-26,0.0722,0
2014-07-04,0.0814,0
2014-07-12,0.0708,0.001414
2014-07-20,0.0416,0.001556
2014-07-28,0.028,0
2014-08-05,0.0416,0.000283
2014-08-13,0.0384,0
2014-08-21,0.0308,0.003536
2014-08-29,0.01335,0.000778
2014-09-06,0.01155,0.000354
2014-09-14,NA,NA
2014-09-22,0.0035,0.000566
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.0011,NA
2015-05-09,0.02055,0.001344
2015-05-17,0.0437,0.001697
2015-05-25,0.0434,0.000566
2015-06-02,0.02665,0.000495
2015-06-10,0.0367,0.005374
2015-06-18,0.0674,0
2015-06-26,0.0621,0
2015-07-04,NA,NA
2015-07-12,0.0587,0.000566
2015-07-20,0.0229,NA
2015-07-28,0.01055,0.001344
2015-08-05,0.03295,7.1e-05
2015-08-13,0.00845,0.001202
2015-08-21,0.0225,0.002687
2015-08-29,0.00165,0.000212
2015-09-06,0.0093,0.000566
2015-09-14,0.00185,0.000212
2015-09-22,0.00275,7.1e-05
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,0,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,7e-04,NA
2016-04-30,NA,NA
2016-05-08,0.0263,0.002687
2016-05-16,0.0191,0
2016-05-24,0.025,0.000424
2016-06-01,0.0241,0.000283
2016-06-09,0.02675,0.00799
2016-06-17,0.0461,0.007354
2016-06-25,0.07235,0.002899
2016-07-03,0.07125,0.001344
