dates,deciduous_needleleaf_forest_mean,deciduous_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.000794,0.000346
2010-04-23,0.010407,0.003045
2010-05-01,0.00231,0.000724
2010-05-09,0.005845,0.001693
2010-05-17,0.016962,0.004843
2010-05-25,0.036907,0.009171
2010-06-02,0.036183,0.008004
2010-06-10,0.03041,0.007622
2010-06-18,0.049362,0.010912
2010-06-26,0.046934,0.012024
2010-07-04,0.047979,0.013329
2010-07-12,0.034286,0.008653
2010-07-20,0.029355,0.009898
2010-07-28,0.037279,0.011321
2010-08-05,0.0323,0.008884
2010-08-13,0.038931,0.009329
2010-08-21,0.011972,0.006081
2010-08-29,0.016848,0.003859
2010-09-06,0.010983,0.002769
2010-09-14,0.004469,0.001355
2010-09-22,0.000462,0.000172
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,0,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.023052,0.006871
2011-05-25,0.031721,0.007366
2011-06-02,0.024072,0.005485
2011-06-10,0.026707,0.00619
2011-06-18,0.049514,0.01283
2011-06-26,0.051366,0.01225
2011-07-04,0.046752,0.012402
2011-07-12,0.04031,0.011989
2011-07-20,0.04641,0.01347
2011-07-28,0.039538,0.01381
2011-08-05,0.029141,0.007902
2011-08-13,0.021269,0.00508
2011-08-21,0.027483,0.006414
2011-08-29,0.016369,0.004035
2011-09-06,0.010003,0.002771
2011-09-14,0.005259,0.001541
2011-09-22,0.00133,0.000748
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.018617,0.005369
2012-05-24,0.025166,0.006582
2012-06-01,0.028548,0.007404
2012-06-09,0.049828,0.011439
2012-06-17,0.051259,0.013812
2012-06-25,0.053303,0.016782
2012-07-03,0.041179,0.016094
2012-07-11,0.04279,0.013168
2012-07-19,0.033662,0.015447
2012-07-27,0.0407,0.014392
2012-08-04,0.035741,0.010753
2012-08-12,0.032993,0.008541
2012-08-20,0.030717,0.008076
2012-08-28,0.014352,0.004014
2012-09-05,0.00901,0.002182
2012-09-13,0.008572,0.002304
2012-09-21,0.005538,0.001588
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,0
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.024038,0.006225
2013-06-02,0.022866,0.006639
2013-06-10,0.036766,0.008913
2013-06-18,0.056093,0.014456
2013-06-26,0.045838,0.014144
2013-07-04,0.0428,0.012901
2013-07-12,0.04081,0.010341
2013-07-20,0.045045,0.012161
2013-07-28,0.035997,0.010504
2013-08-05,0.038197,0.012956
2013-08-13,0.017381,0.007644
2013-08-21,0.016676,0.003988
2013-08-29,0.011621,0.002858
2013-09-06,0.008852,0.00228
2013-09-14,0.0011,0.000562
2013-09-22,0.002366,0.000805
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,4e-04,NA
2014-05-01,0.002104,0.000862
2014-05-09,0.010045,0.003414
2014-05-17,0.001977,0.000676
2014-05-25,0.01919,0.004976
2014-06-02,0.032952,0.007201
2014-06-10,0.038483,0.009252
2014-06-18,0.052545,0.013585
2014-06-26,0.053834,0.015968
2014-07-04,0.062417,0.016182
2014-07-12,0.051566,0.014263
2014-07-20,0.028593,0.009262
2014-07-28,0.022393,0.005123
2014-08-05,0.033524,0.00792
2014-08-13,0.029734,0.007244
2014-08-21,0.024062,0.005826
2014-08-29,0.010317,0.002481
2014-09-06,0.008897,0.002284
2014-09-14,0.001,NA
2014-09-22,0.002193,0.000697
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,5e-04,0.000267
2015-05-09,0.014821,0.004386
2015-05-17,0.033466,0.008279
2015-05-25,0.028476,0.007713
2015-06-02,0.021507,0.005131
2015-06-10,0.031562,0.008311
2015-06-18,0.051828,0.013128
2015-06-26,0.041546,0.015506
2015-07-04,0.037568,0.014497
2015-07-12,0.035075,0.013989
2015-07-20,0.011267,0.007248
2015-07-28,0.018066,0.010378
2015-08-05,0.025886,0.006088
2015-08-13,0.016964,0.00894
2015-08-21,0.017,0.004478
2015-08-29,0.001445,0.00051
2015-09-06,0.006541,0.001725
2015-09-14,0.001372,0.000403
2015-09-22,0.001755,0.000553
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,0,0
2016-04-22,7e-04,0
2016-04-30,0.0012,0
2016-05-08,0.019445,0.005182
2016-05-16,0.015131,0.003772
2016-05-24,0.019645,0.004597
