MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010073,2010-03-14,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,126,1,0.79
A2010081,2010-03-22,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010089,2010-03-30,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,126,1,0.79
A2010097,2010-04-07,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010105,2010-04-15,MOD17A2H,Gpp_500m,0.0005,0.0014,0.0119,0.0009,0.0006,0.0000,0.0003,126,19,15.08
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0000,0.0141,0.8858,0.0141,0.0071,0.0000,0.0025,126,125,99.21
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0000,0.0036,0.2407,0.0036,0.0019,0.0000,0.0005,126,125,99.21
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0000,0.0079,0.5809,0.0079,0.0046,0.0000,0.0011,126,125,99.21
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0000,0.0236,1.5812,0.0236,0.0126,0.0000,0.0033,126,125,99.21
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0000,0.0553,3.6471,0.0553,0.0292,0.0000,0.0069,126,125,99.21
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0000,0.0532,3.8812,0.0532,0.0310,0.0000,0.0059,126,125,99.21
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0000,0.0436,3.2237,0.0436,0.0258,0.0000,0.0058,126,125,99.21
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0000,0.0699,5.2989,0.0699,0.0424,0.0001,0.0081,126,125,99.21
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0000,0.0683,5.0239,0.0683,0.0402,0.0001,0.0089,126,125,99.21
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0000,0.0737,5.6402,0.0737,0.0451,0.0001,0.0092,126,125,99.21
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0000,0.0506,3.7850,0.0506,0.0315,0.0001,0.0090,126,120,95.24
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0000,0.0499,3.5851,0.0499,0.0287,0.0000,0.0069,126,125,99.21
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0000,0.0602,4.3848,0.0602,0.0351,0.0001,0.0081,126,125,99.21
A2010217,2010-08-05,MOD17A2H,Gpp_500m,0.0000,0.0513,3.8009,0.0513,0.0304,0.0000,0.0058,126,125,99.21
A2010225,2010-08-13,MOD17A2H,Gpp_500m,0.0000,0.0523,4.3888,0.0523,0.0351,0.0000,0.0058,126,125,99.21
A2010233,2010-08-21,MOD17A2H,Gpp_500m,0.0000,0.0238,1.4618,0.0238,0.0117,0.0000,0.0034,126,125,99.21
A2010241,2010-08-29,MOD17A2H,Gpp_500m,0.0000,0.0215,1.8128,0.0215,0.0145,0.0000,0.0025,126,125,99.21
A2010249,2010-09-06,MOD17A2H,Gpp_500m,0.0000,0.0148,1.2352,0.0148,0.0099,0.0000,0.0019,126,125,99.21
A2010257,2010-09-14,MOD17A2H,Gpp_500m,0.0000,0.0073,0.5019,0.0073,0.0040,0.0000,0.0010,126,125,99.21
A2010265,2010-09-22,MOD17A2H,Gpp_500m,0.0000,0.0027,0.1001,0.0027,0.0009,0.0000,0.0006,126,106,84.13
A2010273,2010-09-30,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010281,2010-10-08,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010289,2010-10-16,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010297,2010-10-24,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010305,2010-11-01,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
A2010313,2010-11-09,MOD17A2H,Gpp_500m,,,,,,,,126,0,0.00
