dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.0014,0
2010-04-23,0.012367,0.003085
2010-05-01,0.003333,0.000668
2010-05-09,0.007983,0.001854
2010-05-17,0.022383,0.003134
2010-05-25,0.0418,0.005169
2010-06-02,0.0397,0.003307
2010-06-10,0.036217,0.003384
2010-06-18,0.052617,0.002857
2010-06-26,0.055217,0.004388
2010-07-04,0.057933,0.002612
2010-07-12,0.044467,0.001432
2010-07-20,0.040417,0.004523
2010-07-28,0.048817,0.001933
2010-08-05,0.040167,0.001285
2010-08-13,0.047317,0.006689
2010-08-21,0.017567,0.001985
2010-08-29,0.019117,0.00112
2010-09-06,0.013683,0.002003
2010-09-14,0.005867,0.00136
2010-09-22,0.000517,0.000286
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.025183,0.005341
2011-05-25,0.039233,0.002922
2011-06-02,0.027917,0.002672
2011-06-10,0.032717,0.002296
2011-06-18,0.059283,0.003945
2011-06-26,0.05825,0.002695
2011-07-04,0.053583,0.005669
2011-07-12,0.052367,0.006637
2011-07-20,0.059367,0.001804
2011-07-28,0.055317,0.002374
2011-08-05,0.038633,0.00178
2011-08-13,0.025333,0.001148
2011-08-21,0.032283,0.001436
2011-08-29,0.019567,0.002719
2011-09-06,0.012883,0.0011
2011-09-14,0.0083,0.001024
2011-09-22,0.0019,0.000822
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.0204,0.005147
2012-05-24,0.028183,0.005519
2012-06-01,0.035167,0.003564
2012-06-09,0.055117,0.00315
2012-06-17,0.064917,0.003745
2012-06-25,0.067217,0.003047
2012-07-03,0.057317,0.003969
2012-07-11,0.059617,0.003056
2012-07-19,0.030567,0.012581
2012-07-27,0.058017,0.003582
2012-08-04,0.04485,0.002291
2012-08-12,0.038,0.001696
2012-08-20,0.0386,0.001151
2012-08-28,0.019217,0.001533
2012-09-05,0.01115,0.000274
2012-09-13,0.01065,0.001374
2012-09-21,0.00785,0.000857
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.028,0.003513
2013-06-02,0.0259,0.00355
2013-06-10,0.041917,0.004115
2013-06-18,0.06015,0.01042
2013-06-26,0.059783,0.002014
2013-07-04,0.04814,0.007645
2013-07-12,0.04935,0.002447
2013-07-20,0.055433,0.001869
2013-07-28,0.047983,0.001724
2013-08-05,0.052433,0.006641
2013-08-13,0.006733,0.002589
2013-08-21,0.019683,0.000813
2013-08-29,0.013617,0.001409
2013-09-06,0.01145,0.001003
2013-09-14,0.0012,0.000224
2013-09-22,0.003233,0.000441
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.002475,0.001103
2014-05-09,0.01235,0.001915
2014-05-17,0.00295,0.000616
2014-05-25,0.02295,0.002794
2014-06-02,0.034483,0.003355
2014-06-10,0.04245,0.005171
2014-06-18,0.062533,0.004659
2014-06-26,0.068217,0.003847
2014-07-04,0.07425,0.005502
2014-07-12,0.0631,0.002065
2014-07-20,0.038617,0.001792
2014-07-28,0.025683,0.001696
2014-08-05,0.03725,0.002974
2014-08-13,0.034417,0.001636
2014-08-21,0.026217,0.001828
2014-08-29,0.01165,0.001198
2014-09-06,0.010717,0.000997
2014-09-14,NA,NA
2014-09-22,0.00325,0.000745
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.0011,NA
2015-05-09,0.017867,0.003538
2015-05-17,0.037567,0.003855
2015-05-25,0.028667,0.002331
2015-06-02,0.022167,0.002121
2015-06-10,0.032417,0.00554
2015-06-18,0.061283,0.003794
2015-06-26,0.056317,0.003339
2015-07-04,0.0456,0.008211
2015-07-12,0.04765,0.0074
2015-07-20,0.01765,0.005417
2015-07-28,0.02705,0.00944
2015-08-05,0.0284,0.002118
2015-08-13,0.0193,0.008345
2015-08-21,0.0166,0.002994
2015-08-29,0.001883,0.000214
2015-09-06,0.008417,0.000924
2015-09-14,0.0018,0.00031
2015-09-22,0.002783,7.5e-05
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,NA,NA
2016-05-08,0.023183,0.00308
2016-05-16,0.0164,0.001904
2016-05-24,0.020367,0.001578
