dates,deciduous_needleleaf_forest_mean,deciduous_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,9e-04,0.000447
2010-04-23,0.011807,0.002425
2010-05-01,0.003059,0.000572
2010-05-09,0.007233,0.001369
2010-05-17,0.019241,0.003828
2010-05-25,0.043304,0.005101
2010-06-02,0.041904,0.003455
2010-06-10,0.037433,0.00392
2010-06-18,0.057337,0.004752
2010-06-26,0.05797,0.006056
2010-07-04,0.061193,0.00713
2010-07-12,0.043141,0.00386
2010-07-20,0.03693,0.009107
2010-07-28,0.050289,0.005965
2010-08-05,0.040989,0.004385
2010-08-13,0.046474,0.005523
2010-08-21,0.013626,0.006562
2010-08-29,0.019952,0.001663
2010-09-06,0.013341,0.001609
2010-09-14,0.005507,0.001095
2010-09-22,0.00063,0.000255
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,0,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.026252,0.005304
2011-05-25,0.036344,0.003835
2011-06-02,0.027233,0.002598
2011-06-10,0.031748,0.002744
2011-06-18,0.062693,0.006633
2011-06-26,0.061822,0.005936
2011-07-04,0.056748,0.007651
2011-07-12,0.052085,0.008084
2011-07-20,0.061067,0.006573
2011-07-28,0.056837,0.006428
2011-08-05,0.038826,0.00377
2011-08-13,0.026096,0.002388
2011-08-21,0.033244,0.002689
2011-08-29,0.019804,0.002352
2011-09-06,0.012156,0.001945
2011-09-14,0.006985,0.001139
2011-09-22,0.001896,8e-04
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.021252,0.003988
2012-05-24,0.029081,0.004187
2012-06-01,0.033185,0.005055
2012-06-09,0.058044,0.005552
2012-06-17,0.066207,0.006692
2012-06-25,0.071367,0.00861
2012-07-03,0.057281,0.014061
2012-07-11,0.058352,0.008248
2012-07-19,0.043393,0.015707
2012-07-27,0.057515,0.006437
2012-08-04,0.047422,0.004168
2012-08-12,0.040337,0.004608
2012-08-20,0.038,0.004387
2012-08-28,0.017493,0.003123
2012-09-05,0.010937,0.001138
2012-09-13,0.010381,0.001608
2012-09-21,0.007296,0.001244
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,0
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.027226,0.004215
2013-06-02,0.026159,0.005262
2013-06-10,0.04387,0.004544
2013-06-18,0.068404,0.008548
2013-06-26,0.062185,0.005746
2013-07-04,0.055778,0.00688
2013-07-12,0.050922,0.004842
2013-07-20,0.057289,0.005789
2013-07-28,0.048985,0.004942
2013-08-05,0.055507,0.007103
2013-08-13,0.019933,0.008945
2013-08-21,0.020285,0.001779
2013-08-29,0.014507,0.001528
2013-09-06,0.011359,0.001235
2013-09-14,0.0013,0.000586
2013-09-22,0.003096,0.00079
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,5e-04,NA
2014-05-01,0.002412,0.000798
2014-05-09,0.011796,0.003385
2014-05-17,0.0023,0.000583
2014-05-25,0.022663,0.003066
2014-06-02,0.037774,0.002681
2014-06-10,0.045341,0.005141
2014-06-18,0.064767,0.0068
2014-06-26,0.070641,0.007581
2014-07-04,0.076767,0.007848
2014-07-12,0.066726,0.007655
2014-07-20,0.039052,0.005671
2014-07-28,0.027644,0.002426
2014-08-05,0.040378,0.003313
2014-08-13,0.0364,0.003385
2014-08-21,0.028607,0.003499
2014-08-29,0.012281,0.001374
2014-09-06,0.010556,0.001403
2014-09-14,0.001,NA
2014-09-22,0.003089,0.000514
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.000586,0.000227
2015-05-09,0.016996,0.003538
2015-05-17,0.039215,0.00467
2015-05-25,0.033248,0.005821
2015-06-02,0.025856,0.002627
2015-06-10,0.0377,0.005827
2015-06-18,0.06463,0.006414
2015-06-26,0.054122,0.015212
2015-07-04,0.045211,0.013944
2015-07-12,0.0464,0.013008
2015-07-20,0.01332,0.008007
2015-07-28,0.0212,0.012224
2015-08-05,0.031226,0.002988
2015-08-13,0.019208,0.010409
2015-08-21,0.020481,0.003116
2015-08-29,0.00167,0.000309
2015-09-06,0.008059,0.001183
2015-09-14,0.001674,0.000251
2015-09-22,0.002485,0.000405
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,0,0
2016-04-22,7e-04,0
2016-04-30,0.001233,5.8e-05
2016-05-08,0.022126,0.003731
2016-05-16,0.017641,0.002259
2016-05-24,0.022641,0.002289
