dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,NA
2010-03-22,NA,NA
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.000626,0.000277
2010-04-23,0.006994,0.002547
2010-05-01,0.001908,0.000525
2010-05-09,0.004644,0.001185
2010-05-17,0.012575,0.003695
2010-05-25,0.028924,0.007317
2010-06-02,0.030825,0.006596
2010-06-10,0.025387,0.00632
2010-06-18,0.041994,0.009073
2010-06-26,0.039754,0.009764
2010-07-04,0.044525,0.010219
2010-07-12,0.030797,0.009728
2010-07-20,0.028402,0.007294
2010-07-28,0.034702,0.008807
2010-08-05,0.030076,0.006384
2010-08-13,0.034697,0.00666
2010-08-21,0.011437,0.003397
2010-08-29,0.014343,0.002874
2010-09-06,0.009815,0.002077
2010-09-14,0.003924,0.001001
2010-09-22,0.000926,0.000599
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,0,0
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,0,0
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.01611,0.004689
2011-05-25,0.026431,0.005281
2011-06-02,0.019561,0.004218
2011-06-10,0.020626,0.008075
2011-06-18,0.045876,0.009554
2011-06-26,0.046835,0.009645
2011-07-04,0.039783,0.01336
2011-07-12,0.039452,0.009277
2011-07-20,0.046343,0.009665
2011-07-28,0.041241,0.008992
2011-08-05,0.029146,0.006014
2011-08-13,0.019631,0.003862
2011-08-21,0.024876,0.00499
2011-08-29,0.013828,0.003216
2011-09-06,0.008487,0.001914
2011-09-14,0.004989,0.001053
2011-09-22,0.001236,0.000792
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.012024,0.004027
2012-05-24,0.019828,0.004843
2012-06-01,0.024821,0.005817
2012-06-09,0.044527,0.009082
2012-06-17,0.05038,0.010371
2012-06-25,0.051839,0.010566
2012-07-03,0.043143,0.009183
2012-07-11,0.04077,0.008494
2012-07-19,0.023721,0.012982
2012-07-27,0.043026,0.008814
2012-08-04,0.035725,0.007403
2012-08-12,0.029259,0.006362
2012-08-20,0.028087,0.005588
2012-08-28,0.013334,0.002432
2012-09-05,0.008008,0.001592
2012-09-13,0.007924,0.001723
2012-09-21,0.005365,0.001159
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,0,0
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0016,NA
2013-05-25,0.017913,0.004406
2013-06-02,0.016594,0.00429
2013-06-10,0.030032,0.007432
2013-06-18,0.047887,0.011338
2013-06-26,0.046317,0.009071
2013-07-04,0.041267,0.008732
2013-07-12,0.037844,0.007208
2013-07-20,0.043557,0.00856
2013-07-28,0.037294,0.00727
2013-08-05,0.039259,0.008393
2013-08-13,0.02212,0.006685
2013-08-21,0.016041,0.002955
2013-08-29,0.010318,0.002192
2013-09-06,0.008173,0.001711
2013-09-14,0.001198,0.00056
2013-09-22,0.002276,0.000637
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,0,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.001781,0.000721
2014-05-09,0.005783,0.003836
2014-05-17,0.002014,0.000894
2014-05-25,0.015532,0.003834
2014-06-02,0.028434,0.006063
2014-06-10,0.033161,0.007598
2014-06-18,0.046661,0.01017
2014-06-26,0.051117,0.010981
2014-07-04,0.056845,0.011311
2014-07-12,0.050452,0.009248
2014-07-20,0.029185,0.006659
2014-07-28,0.022853,0.00452
2014-08-05,0.031024,0.005654
2014-08-13,0.029001,0.005556
2014-08-21,0.023047,0.004723
2014-08-29,0.00953,0.001845
2014-09-06,0.00768,0.001594
2014-09-14,0.001,0
2014-09-22,0.002216,0.000592
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,6e-04,0
2015-05-01,0.00046,0.000288
2015-05-09,0.007123,0.004183
2015-05-17,0.026554,0.00643
2015-05-25,0.023772,0.005628
2015-06-02,0.018397,0.004119
2015-06-10,0.029054,0.006294
2015-06-18,0.047758,0.009518
2015-06-26,0.040772,0.010009
2015-07-04,0.038186,0.008426
2015-07-12,0.031696,0.015321
2015-07-20,0.007608,0.005142
2015-07-28,0.015515,0.009243
2015-08-05,0.024526,0.004527
2015-08-13,0.013387,0.007396
2015-08-21,0.015298,0.003311
2015-08-29,0.001437,0.000456
2015-09-06,0.005828,0.001251
2015-09-14,0.001661,0.000511
2015-09-22,0.001776,0.000373
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,0,0
2016-04-22,7e-04,NA
2016-04-30,0.001631,0.000361
2016-05-08,0.014855,0.003943
2016-05-16,0.012544,0.003419
2016-05-24,0.017098,0.003577
2016-06-01,0.016619,0.00365
