dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.0012,0
2010-04-23,0.011533,0.00282
2010-05-01,0.002733,0.000418
2010-05-09,0.006867,0.001479
2010-05-17,0.020683,0.002899
2010-05-25,0.03805,0.004572
2010-06-02,0.036533,0.002969
2010-06-10,0.032,0.002824
2010-06-18,0.048717,0.002499
2010-06-26,0.049017,0.003679
2010-07-04,0.050383,0.002082
2010-07-12,0.0387,0.00117
2010-07-20,0.0347,0.003563
2010-07-28,0.041067,0.001417
2010-08-05,0.03465,0.001959
2010-08-13,0.042383,0.004774
2010-08-21,0.015533,0.001661
2010-08-29,0.017167,0.000987
2010-09-06,0.012,0.001619
2010-09-14,0.00505,0.00114
2010-09-22,0.000517,0.000286
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.02335,0.004856
2011-05-25,0.03595,0.002696
2011-06-02,0.025917,0.002472
2011-06-10,0.0294,0.002145
2011-06-18,0.051733,0.003179
2011-06-26,0.052533,0.002333
2011-07-04,0.048367,0.00486
2011-07-12,0.0444,0.004946
2011-07-20,0.05055,0.001305
2011-07-28,0.044833,0.001586
2011-08-05,0.03215,0.001286
2011-08-13,0.022467,0.001039
2011-08-21,0.028833,0.001188
2011-08-29,0.017467,0.002228
2011-09-06,0.01125,0.000836
2011-09-14,0.006617,0.000752
2011-09-22,0.001517,0.000677
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.019033,0.004736
2012-05-24,0.0259,0.004896
2012-06-01,0.0319,0.003143
2012-06-09,0.050633,0.002702
2012-06-17,0.055633,0.002944
2012-06-25,0.057133,0.002153
2012-07-03,0.047033,0.002998
2012-07-11,0.04935,0.001577
2012-07-19,0.027283,0.010823
2012-07-27,0.047,0.00257
2012-08-04,0.0387,0.001862
2012-08-12,0.03395,0.001391
2012-08-20,0.033983,0.000913
2012-08-28,0.016933,0.001275
2012-09-05,0.009767,0.000361
2012-09-13,0.00945,0.001133
2012-09-21,0.0064,0.000593
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.026133,0.003149
2013-06-02,0.023917,0.003135
2013-06-10,0.03765,0.003657
2013-06-18,0.053633,0.008847
2013-06-26,0.050267,0.001404
2013-07-04,0.0421,0.006212
2013-07-12,0.043233,0.001975
2013-07-20,0.04795,0.0015
2013-07-28,0.039767,0.001174
2013-08-05,0.040767,0.004132
2013-08-13,0.006233,0.002401
2013-08-21,0.017617,0.000685
2013-08-29,0.011883,0.001125
2013-09-06,0.009583,0.000741
2013-09-14,0.00108,0.000179
2013-09-22,0.002567,0.000361
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.002275,0.001021
2014-05-09,0.011433,0.001611
2014-05-17,0.002733,0.000543
2014-05-25,0.020633,0.00239
2014-06-02,0.032,0.003067
2014-06-10,0.03885,0.004666
2014-06-18,0.055433,0.003901
2014-06-26,0.058317,0.002997
2014-07-04,0.066167,0.004469
2014-07-12,0.054733,0.001553
2014-07-20,0.0318,0.001212
2014-07-28,0.022683,0.0015
2014-08-05,0.033933,0.002528
2014-08-13,0.03095,0.001314
2014-08-21,0.0238,0.001574
2014-08-29,0.01045,0.001046
2014-09-06,0.009633,0.000927
2014-09-14,NA,NA
2014-09-22,0.002467,0.000501
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.001,NA
2015-05-09,0.016467,0.003183
2015-05-17,0.034367,0.003237
2015-05-25,0.026283,0.002101
2015-06-02,0.02,0.001886
2015-06-10,0.02935,0.004893
2015-06-18,0.054117,0.003014
2015-06-26,0.046983,0.002252
2015-07-04,0.041417,0.006851
2015-07-12,0.0407,0.005822
2015-07-20,0.0157,0.004545
2015-07-28,0.023733,0.008105
2015-08-05,0.025767,0.001851
2015-08-13,0.0176,0.007512
2015-08-21,0.014883,0.002551
2015-08-29,0.00175,5.5e-05
2015-09-06,0.007283,0.000781
2015-09-14,0.0017,0.000237
2015-09-22,0.00205,0.000122
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,NA,NA
2016-05-08,0.021433,0.002733
2016-05-16,0.015067,0.00165
2016-05-24,0.018833,0.001407
