dates,deciduous_needleleaf_forest_mean,deciduous_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.000812,0.000348
2010-04-23,0.010919,0.002325
2010-05-01,0.002444,0.000561
2010-05-09,0.006137,0.00127
2010-05-17,0.017667,0.003677
2010-05-25,0.038744,0.005427
2010-06-02,0.037922,0.003696
2010-06-10,0.031922,0.004656
2010-06-18,0.051748,0.005247
2010-06-26,0.04937,0.007767
2010-07-04,0.050396,0.009663
2010-07-12,0.03577,0.005514
2010-07-20,0.030952,0.008248
2010-07-28,0.039348,0.008721
2010-08-05,0.0339,0.006307
2010-08-13,0.040752,0.005582
2010-08-21,0.011967,0.005684
2010-08-29,0.017611,0.002047
2010-09-06,0.011504,0.001766
2010-09-14,0.004648,0.001054
2010-09-22,0.000474,0.000151
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,0,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.024056,0.005143
2011-05-25,0.032967,0.004143
2011-06-02,0.025107,0.002759
2011-06-10,0.027852,0.003297
2011-06-18,0.05203,0.008402
2011-06-26,0.053889,0.00709
2011-07-04,0.049322,0.008011
2011-07-12,0.042059,0.00906
2011-07-20,0.048711,0.010057
2011-07-28,0.041622,0.011594
2011-08-05,0.030611,0.00542
2011-08-13,0.022311,0.002979
2011-08-21,0.02877,0.003497
2011-08-29,0.017033,0.002457
2011-09-06,0.010485,0.001948
2011-09-14,0.005459,0.001109
2011-09-22,0.001464,0.000702
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.0196,0.003911
2012-05-24,0.0265,0.004251
2012-06-01,0.029626,0.005009
2012-06-09,0.052274,0.005957
2012-06-17,0.053733,0.009595
2012-06-25,0.056044,0.013289
2012-07-03,0.04333,0.014266
2012-07-11,0.044915,0.01009
2012-07-19,0.037007,0.013328
2012-07-27,0.042804,0.012112
2012-08-04,0.037511,0.008351
2012-08-12,0.034596,0.005602
2012-08-20,0.032252,0.00537
2012-08-28,0.015111,0.002931
2012-09-05,0.009411,0.001308
2012-09-13,0.009011,0.001596
2012-09-21,0.005756,0.001173
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,0
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.025126,0.004199
2013-06-02,0.023841,0.005056
2013-06-10,0.038611,0.005191
2013-06-18,0.058689,0.009707
2013-06-26,0.048185,0.011167
2013-07-04,0.044993,0.010079
2013-07-12,0.042741,0.006664
2013-07-20,0.04707,0.008272
2013-07-28,0.037889,0.007912
2013-08-05,0.040393,0.010802
2013-08-13,0.017357,0.007645
2013-08-21,0.017504,0.002354
2013-08-29,0.012185,0.001698
2013-09-06,0.009256,0.001455
2013-09-14,0.001176,0.00052
2013-09-22,0.00247,0.000681
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,4e-04,NA
2014-05-01,0.002188,0.000763
2014-05-09,0.010822,0.003162
2014-05-17,0.002048,0.000496
2014-05-25,0.020122,0.003196
2014-06-02,0.034504,0.003087
2014-06-10,0.040496,0.005239
2014-06-18,0.055178,0.008859
2014-06-26,0.056607,0.01206
2014-07-04,0.065519,0.010746
2014-07-12,0.054233,0.010176
2014-07-20,0.030111,0.007499
2014-07-28,0.023567,0.002782
2014-08-05,0.035122,0.004512
2014-08-13,0.031178,0.00442
2014-08-21,0.0252,0.003541
2014-08-29,0.010796,0.001478
2014-09-06,0.009311,0.001481
2014-09-14,0.001,NA
2014-09-22,0.002296,0.000539
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.000571,0.000189
2015-05-09,0.015526,0.00332
2015-05-17,0.035156,0.004977
2015-05-25,0.029878,0.005388
2015-06-02,0.022574,0.002949
2015-06-10,0.033156,0.005498
2015-06-18,0.054544,0.008333
2015-06-26,0.043174,0.013489
2015-07-04,0.039316,0.012634
2015-07-12,0.038155,0.011521
2015-07-20,0.01184,0.006993
2015-07-28,0.018063,0.010084
2015-08-05,0.027159,0.003436
2015-08-13,0.016796,0.008996
2015-08-21,0.018085,0.003007
2015-08-29,0.001533,0.000408
2015-09-06,0.00687,0.001167
2015-09-14,0.001456,0.000272
2015-09-22,0.001826,0.000434
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,0,0
2016-04-22,7e-04,0
2016-04-30,0.0012,0
2016-05-08,0.020274,0.003648
2016-05-16,0.015937,0.002282
2016-05-24,0.020644,0.002491
