dates,mixed_forest_mean,mixed_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,0,NA
2010-04-07,NA,NA
2010-04-15,0.0012,0
2010-04-23,0.0131,0.001556
2010-05-01,0.00305,7.1e-05
2010-05-09,0.0071,0.000849
2010-05-17,0.023,0.00198
2010-05-25,0.04265,0.000636
2010-06-02,0.0399,0.000849
2010-06-10,0.0344,0
2010-06-18,0.0537,0.000707
2010-06-26,0.05395,0.001061
2010-07-04,0.0557,0.00099
2010-07-12,0.0381,0.00594
2010-07-20,0.03405,0.008556
2010-07-28,0.04445,0.000354
2010-08-05,0.03805,0.000212
2010-08-13,0.0426,0.000424
2010-08-21,0.0157,NA
2010-08-29,0.01875,0.001485
2010-09-06,0.01275,7.1e-05
2010-09-14,0.0055,0.000424
2010-09-22,6e-04,0
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.0282,0.001697
2011-05-25,0.0373,0.000283
2011-06-02,0.0269,0.000424
2011-06-10,0.03,0
2011-06-18,0.05665,0.000212
2011-06-26,0.0599,0.001697
2011-07-04,0.05705,0.002192
2011-07-12,0.0491,0.000707
2011-07-20,0.0548,0.000141
2011-07-28,0.04765,0.000495
2011-08-05,0.033,0.000283
2011-08-13,0.0243,0
2011-08-21,0.03055,0.000354
2011-08-29,0.01785,0.000354
2011-09-06,0.01175,7.1e-05
2011-09-14,0.00595,0.000354
2011-09-22,0.0021,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.02405,0.002616
2012-05-24,0.0293,0.004243
2012-06-01,0.02535,0.001061
2012-06-09,0.0555,0
2012-06-17,0.05885,0.000495
2012-06-25,0.06105,0.001768
2012-07-03,0.0514,0.000141
2012-07-11,0.051,0.000141
2012-07-19,0.0388,0.013859
2012-07-27,0.0512,0.000566
2012-08-04,0.0426,0.000424
2012-08-12,0.038,0.000566
2012-08-20,0.0356,0.000283
2012-08-28,0.0179,0.000849
2012-09-05,0.01075,0.000495
2012-09-13,0.0104,0.000566
2012-09-21,0.00645,0.000212
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.02925,0.000778
2013-06-02,0.02985,7.1e-05
2013-06-10,0.0412,0.001838
2013-06-18,0.05865,0.000354
2013-06-26,0.0546,0.001556
2013-07-04,0.04855,0.004172
2013-07-12,0.0457,0.000849
2013-07-20,0.05095,0.001061
2013-07-28,0.0424,0
2013-08-05,0.0456,0.00099
2013-08-13,0.0145,NA
2013-08-21,0.0189,0.000141
2013-08-29,0.0129,0
2013-09-06,0.0103,0.000141
2013-09-14,NA,NA
2013-09-22,0.00345,7.1e-05
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0029,0
2014-05-09,0.0154,0.003253
2014-05-17,0.0019,0
2014-05-25,0.02275,0.001626
2014-06-02,0.03645,0.000919
2014-06-10,0.0465,0.006505
2014-06-18,0.0597,0.000424
2014-06-26,0.0615,0.000424
2014-07-04,0.0721,0
2014-07-12,0.06025,0.000778
2014-07-20,0.03375,0.000919
2014-07-28,0.0245,0
2014-08-05,0.03735,0.000354
2014-08-13,0.0342,0
2014-08-21,0.02785,0.002899
2014-08-29,0.012,0.000707
2014-09-06,0.0103,0
2014-09-14,NA,NA
2014-09-22,0.0028,0.000283
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.001,NA
2015-05-09,0.0187,0.001131
2015-05-17,0.0396,0.001556
2015-05-25,0.03905,7.1e-05
2015-06-02,0.0238,0.000283
2015-06-10,0.0331,0.004525
2015-06-18,0.0587,0.000141
2015-06-26,0.05065,0.000212
2015-07-04,NA,NA
2015-07-12,0.04905,0.000212
2015-07-20,0.0206,NA
2015-07-28,0.0096,0.001273
2015-08-05,0.0296,0
2015-08-13,0.00775,0.001202
2015-08-21,0.0201,0.002263
2015-08-29,0.00155,0.000354
2015-09-06,0.00795,0.000495
2015-09-14,0.0016,0
2015-09-22,0.00215,0.000212
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,0,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,7e-04,NA
2016-04-30,NA,NA
2016-05-08,0.0244,0.002404
2016-05-16,0.01745,7.1e-05
2016-05-24,0.02305,0.000354
2016-06-01,0.022,0.000424
2016-06-09,0.0248,0.007071
2016-06-17,0.0411,0.006505
2016-06-25,0.06415,0.002475
