date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,1,0.59
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,11,6.51
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0005,0.0013,0.0313,0.0008,0.0007,0.0000,0.0003,169,42,24.85
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0000,0.0145,1.2241,0.0145,0.0073,0.0000,0.0031,169,167,98.82
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0000,0.0032,0.2727,0.0032,0.0016,0.0000,0.0007,169,168,99.41
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0000,0.0082,0.7261,0.0082,0.0043,0.0000,0.0015,169,168,99.41
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0000,0.0248,2.1494,0.0248,0.0128,0.0000,0.0047,169,168,99.41
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0000,0.0494,4.6830,0.0494,0.0279,0.0001,0.0088,169,168,99.41
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0000,0.0483,4.9265,0.0483,0.0293,0.0001,0.0074,169,168,99.41
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0000,0.0378,3.8715,0.0378,0.0230,0.0001,0.0074,169,168,99.41
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0000,0.0631,6.7108,0.0631,0.0399,0.0001,0.0100,169,168,99.41
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0000,0.0591,6.0539,0.0591,0.0360,0.0001,0.0113,169,168,99.41
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0000,0.0617,6.3268,0.0617,0.0377,0.0001,0.0116,169,168,99.41
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0000,0.0429,4.3642,0.0429,0.0268,0.0001,0.0091,169,163,96.45
A2010201,2010-07-20,MOD17A2H,PsnNet_500m,0.0000,0.0427,3.9903,0.0427,0.0238,0.0001,0.0079,169,168,99.41
