Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,263,154,193,244,175,207,223
2002, Cycle 1,260,141,185,235,164,198,214
2003, Cycle 1,272,118,181,243,157,197,214
2004, Cycle 1,264,120,179,240,157,194,212
2005, Cycle 1,257,112,170,236,147,186,208
2006, Cycle 1,272,137,185,244,165,202,220
2007, Cycle 1,272,129,179,247,156,197,217
2008, Cycle 1,267,125,177,241,152,196,216
2009, Cycle 1,271,123,177,242,152,193,213
2010, Cycle 1,266,108,176,242,146,195,215
2011, Cycle 1,271,128,178,245,154,195,216
2012, Cycle 1,275,130,178,245,155,196,218
2013, Cycle 1,294,136,183,254,160,201,226
2014, Cycle 1,271,088,172,247,142,192,216
2015, Cycle 1,271,116,174,243,145,195,215
2016, Cycle 1,276,104,178,244,147,197,215
2017, Cycle 1,274,118,174,248,146,196,219
2018, Cycle 1,272,120,179,238,154,195,212
2019, Cycle 1,266,121,177,240,148,197,216
2004, Cycle 2,267,140,180,242,160,193,213
2008, Cycle 2,270,078,174,241,143,194,214
2018, Cycle 2,258,074,191,239,155,206,220
