dates,open_shrublands_mean,open_shrublands_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.0027,NA
2010-05-01,0.0039,NA
2010-05-09,0.0056,NA
2010-05-17,0.0123,NA
2010-05-25,0.0247,NA
2010-06-02,0.0288,NA
2010-06-10,0.0334,NA
2010-06-18,0.0322,NA
2010-06-26,0.03,NA
2010-07-04,0.0368,NA
2010-07-12,0.0145,NA
2010-07-20,0.0203,NA
2010-07-28,0.0269,NA
2010-08-05,0.0213,NA
2010-08-13,0.0249,NA
2010-08-21,0.0098,NA
2010-08-29,0.0074,NA
2010-09-06,0.0092,NA
2010-09-14,0.0036,NA
2010-09-22,NA,NA
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.0215,NA
2011-05-25,0.0296,NA
2011-06-02,0.0234,NA
2011-06-10,0.0227,NA
2011-06-18,0.0269,NA
2011-06-26,0.0351,NA
2011-07-04,0.0357,NA
2011-07-12,0.0054,NA
2011-07-20,0.0303,NA
2011-07-28,0.0338,NA
2011-08-05,0.0171,NA
2011-08-13,0.0155,NA
2011-08-21,0.0182,NA
2011-08-29,0.0112,NA
2011-09-06,0.0099,NA
2011-09-14,0.0066,NA
2011-09-22,1e-04,NA
2011-09-30,0.0016,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.0135,NA
2012-05-24,0.0177,NA
2012-06-01,0.0146,NA
2012-06-09,0.0284,NA
2012-06-17,0.0394,NA
2012-06-25,0.0289,NA
2012-07-03,0.0407,NA
2012-07-11,0.0038,NA
2012-07-19,0.0291,NA
2012-07-27,0.0291,NA
2012-08-04,0.0322,NA
2012-08-12,0.0213,NA
2012-08-20,0.0204,NA
2012-08-28,0.0096,NA
2012-09-05,0.0022,NA
2012-09-13,0.0057,NA
2012-09-21,0.0065,NA
2012-09-29,2e-04,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0034,NA
2013-05-25,0.0221,NA
2013-06-02,0.022,NA
2013-06-10,0.0283,NA
2013-06-18,0.034,NA
2013-06-26,0.0379,NA
2013-07-04,NA,NA
2013-07-12,0.0333,NA
2013-07-20,0.0326,NA
2013-07-28,0.0357,NA
2013-08-05,0.0318,NA
2013-08-13,0.0151,NA
2013-08-21,0.0109,NA
2013-08-29,0.0111,NA
2013-09-06,0.0077,NA
2013-09-14,NA,NA
2013-09-22,3e-04,NA
2013-09-30,0.0012,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0081,NA
2014-05-09,0.012,NA
2014-05-17,0.0055,NA
2014-05-25,0.0212,NA
2014-06-02,0.026,NA
2014-06-10,0.0282,NA
2014-06-18,0.0361,NA
2014-06-26,0.0359,NA
2014-07-04,0.0353,NA
2014-07-12,0.0301,NA
2014-07-20,0.0081,NA
2014-07-28,0.0224,NA
2014-08-05,0.0126,NA
2014-08-13,0.021,NA
2014-08-21,0.021,NA
2014-08-29,0.0078,NA
2014-09-06,0.0066,NA
2014-09-14,0.0055,NA
2014-09-22,0.002,NA
2014-09-30,4e-04,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0066,NA
2015-05-17,0.027,NA
2015-05-25,0.0225,NA
2015-06-02,0.0196,NA
2015-06-10,NA,NA
2015-06-18,0.0348,NA
2015-06-26,0.0294,NA
2015-07-04,0.0365,NA
2015-07-12,0.0243,NA
2015-07-20,0.0272,NA
2015-07-28,0.0236,NA
2015-08-05,0.0232,NA
2015-08-13,0.0167,NA
2015-08-21,0.0111,NA
2015-08-29,0.0027,NA
2015-09-06,0.0078,NA
2015-09-14,NA,NA
2015-09-22,NA,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0013,NA
2016-05-08,0.0192,NA
2016-05-16,0.012,NA
2016-05-24,0.0153,NA
2016-06-01,0.0192,NA
2016-06-09,0.0329,NA
2016-06-17,0.0328,NA
2016-06-25,0.0315,NA
2016-07-03,0.0261,NA
2016-07-11,0.0342,NA
2016-07-19,0.0288,NA
2016-07-27,0.0318,NA
2016-08-04,0.0131,NA
2016-08-12,0.0248,NA
2016-08-20,0.0153,NA
2016-08-28,0.0101,NA
2016-09-05,0.0071,NA
2016-09-13,0.0027,NA
2016-09-21,0.0047,NA
2016-09-29,0.0016,NA
