dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.003898,0.001943
2010-05-01,0.003607,0.000338
2010-05-09,0.004915,0.000862
2010-05-17,0.011606,0.001007
2010-05-25,0.027571,0.003366
2010-06-02,0.029465,0.00341
2010-06-10,0.036979,0.003797
2010-06-18,0.035614,0.003492
2010-06-26,0.02931,0.006195
2010-07-04,0.037969,0.004469
2010-07-12,0.026362,0.004661
2010-07-20,0.020786,0.002701
2010-07-28,0.028362,0.00266
2010-08-05,0.02096,0.001627
2010-08-13,0.024651,0.001822
2010-08-21,0.00816,0.003849
2010-08-29,0.009968,0.001677
2010-09-06,0.008202,0.000663
2010-09-14,0.003524,0.000416
2010-09-22,0.000124,5e-05
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,5e-04,0
2011-05-17,0.018957,0.001337
2011-05-25,0.03147,0.00283
2011-06-02,0.020206,0.002145
2011-06-10,0.022265,0.003015
2011-06-18,0.032438,0.005266
2011-06-26,0.036512,0.002659
2011-07-04,0.027722,0.011262
2011-07-12,0.004087,0.001251
2011-07-20,0.030417,0.002929
2011-07-28,0.032485,0.002762
2011-08-05,0.015563,0.003738
2011-08-13,0.016657,0.001247
2011-08-21,0.018983,0.001981
2011-08-29,0.012161,0.001144
2011-09-06,0.009168,0.00072
2011-09-14,0.006938,0.001018
2011-09-22,0.000225,0.000271
2011-09-30,0.000991,0.000433
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.00142,0.000164
2012-05-16,0.012546,0.000891
2012-05-24,0.016628,0.001646
2012-06-01,0.022333,0.005399
2012-06-09,0.032174,0.00271
2012-06-17,0.038506,0.00349
2012-06-25,0.025935,0.005951
2012-07-03,0.040736,0.003075
2012-07-11,0.011237,0.00723
2012-07-19,0.027926,0.004464
2012-07-27,0.028701,0.00258
2012-08-04,0.032962,0.002276
2012-08-12,0.021171,0.003776
2012-08-20,0.020002,0.002936
2012-08-28,0.009788,0.000753
2012-09-05,0.00454,0.000916
2012-09-13,0.005041,0.000827
2012-09-21,0.005959,0.00053
2012-09-29,0.000459,0.000326
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.005014,0.002397
2013-05-25,0.020301,0.001726
2013-06-02,0.021234,0.002948
2013-06-10,0.02938,0.00279
2013-06-18,0.036284,0.003968
2013-06-26,0.038589,0.0037
2013-07-04,0.028143,0.007818
2013-07-12,0.033254,0.002893
2013-07-20,0.032253,0.002359
2013-07-28,0.035937,0.003536
2013-08-05,0.031547,0.003431
2013-08-13,0.007142,0.003549
2013-08-21,0.010278,0.000934
2013-08-29,0.011923,0.000846
2013-09-06,0.007951,0.000768
2013-09-14,0.001473,0.001185
2013-09-22,0.000385,0.00017
2013-09-30,0.000681,0.000353
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,NA
2014-03-22,0,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.008859,0.001703
2014-05-09,0.011429,0.000989
2014-05-17,0.004139,0.001749
2014-05-25,0.018765,0.003999
2014-06-02,0.027532,0.003255
2014-06-10,0.028102,0.002194
2014-06-18,0.035698,0.004041
2014-06-26,0.038376,0.003452
2014-07-04,0.0314,0.003754
2014-07-12,0.035538,0.004141
2014-07-20,0.019635,0.00529
2014-07-28,0.021767,0.002192
2014-08-05,0.012014,0.004194
2014-08-13,0.022631,0.002075
2014-08-21,0.020361,0.00218
2014-08-29,0.007026,0.000741
2014-09-06,0.006292,0.000557
2014-09-14,0.005077,0.000675
2014-09-22,0.001795,0.000233
2014-09-30,0.000279,0.00012
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.011347,0.003417
2015-05-17,0.027526,0.002711
2015-05-25,0.025946,0.003002
2015-06-02,0.018464,0.00409
2015-06-10,0.019649,0.007763
2015-06-18,0.037452,0.003469
2015-06-26,0.0216,0.007919
2015-07-04,0.036488,0.003286
2015-07-12,0.026391,0.004298
2015-07-20,0.026775,0.005453
2015-07-28,0.022875,0.005371
2015-08-05,0.023602,0.001618
2015-08-13,0.019206,0.00318
2015-08-21,0.011465,0.00112
2015-08-29,0.003055,0.000999
2015-09-06,0.007718,0.000734
2015-09-14,6e-04,0.000181
2015-09-22,0.000108,5.6e-05
2015-09-30,1.3e-05,5.2e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,NA,NA
2016-03-21,1e-04,0
2016-03-29,0,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.001862,0.000924
2016-05-08,0.017554,0.00139
2016-05-16,0.010379,0.001011
