date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010073,2010-03-14,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010081,2010-03-22,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010097,2010-04-07,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010105,2010-04-15,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0018,0.0131,0.7730,0.0113,0.0046,0.0000,0.0023,169,169,100.00
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0028,0.0054,0.7477,0.0026,0.0044,0.0000,0.0004,169,169,100.00
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0044,0.0137,1.0197,0.0093,0.0060,0.0000,0.0012,169,169,100.00
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0109,0.0174,2.2489,0.0065,0.0133,0.0000,0.0011,169,169,100.00
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0232,0.0489,5.6447,0.0257,0.0334,0.0000,0.0045,169,169,100.00
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0279,0.0529,5.8329,0.0250,0.0345,0.0000,0.0042,169,169,100.00
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0329,0.0608,7.4949,0.0279,0.0443,0.0000,0.0050,169,169,100.00
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0350,0.0619,7.2356,0.0269,0.0428,0.0000,0.0046,169,169,100.00
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0070,0.0783,6.3028,0.0713,0.0380,0.0001,0.0088,169,166,98.22
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0409,0.0783,8.2374,0.0374,0.0487,0.0000,0.0057,169,169,100.00
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0162,0.0514,5.5659,0.0352,0.0329,0.0000,0.0063,169,169,100.00
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0032,0.0383,4.6389,0.0351,0.0274,0.0000,0.0037,169,169,100.00
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0322,0.0544,6.4959,0.0222,0.0384,0.0000,0.0034,169,169,100.00
A2010217,2010-08-05,MOD17A2H,Gpp_500m,0.0245,0.0378,5.0150,0.0133,0.0297,0.0000,0.0023,169,169,100.00
A2010225,2010-08-13,MOD17A2H,Gpp_500m,0.0254,0.0370,5.1061,0.0116,0.0302,0.0000,0.0025,169,169,100.00
A2010233,2010-08-21,MOD17A2H,Gpp_500m,0.0020,0.0218,1.6090,0.0198,0.0098,0.0000,0.0047,169,165,97.63
