dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.006771,0.001509
2010-05-01,0.004471,0.000256
2010-05-09,0.006943,0.001816
2010-05-17,0.013043,0.000852
2010-05-25,0.037286,0.004809
2010-06-02,0.040743,0.001078
2010-06-10,0.050029,0.003765
2010-06-18,0.049771,0.002658
2010-06-26,0.045843,0.003207
2010-07-04,0.053557,0.001631
2010-07-12,0.038657,0.006615
2010-07-20,0.030857,0.002935
2010-07-28,0.043443,0.002629
2010-08-05,0.033643,0.001975
2010-08-13,0.034457,0.001657
2010-08-21,0.012329,0.004456
2010-08-29,0.015314,0.001858
2010-09-06,0.010843,0.000645
2010-09-14,0.004671,0.000435
2010-09-22,2e-04,0
2010-09-30,3e-04,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.021314,0.000955
2011-05-25,0.040886,0.001769
2011-06-02,0.027214,0.002626
2011-06-10,0.027357,0.001947
2011-06-18,0.050229,0.003638
2011-06-26,0.050971,0.002426
2011-07-04,0.02646,0.013032
2011-07-12,NA,NA
2011-07-20,0.046929,0.002724
2011-07-28,0.043914,0.001255
2011-08-05,0.022857,0.002397
2011-08-13,0.022871,0.001272
2011-08-21,0.026314,0.001321
2011-08-29,0.015414,0.00074
2011-09-06,0.011229,0.000945
2011-09-14,0.008186,0.000511
2011-09-22,0.000657,0.000559
2011-09-30,0.001275,0.00065
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.0027,NA
2012-05-16,0.013729,0.001026
2012-05-24,0.019857,0.006001
2012-06-01,0.032086,0.004749
2012-06-09,0.033657,0.013958
2012-06-17,0.059371,0.001729
2012-06-25,0.0383,0.007363
2012-07-03,0.059086,0.003718
2012-07-11,0.01325,0.011858
2012-07-19,0.04185,0.006656
2012-07-27,0.0456,0.002422
2012-08-04,0.048886,0.001196
2012-08-12,0.023829,0.010645
2012-08-20,0.018557,0.000447
2012-08-28,0.012857,0.000883
2012-09-05,0.005857,0.000424
2012-09-13,0.0062,0.001669
2012-09-21,0.007857,0.000645
2012-09-29,0.001114,0.000212
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.004283,0.002856
2013-05-25,0.023329,0.002071
2013-06-02,0.0305,0.001557
2013-06-10,0.0395,0.002278
2013-06-18,0.056214,0.001775
2013-06-26,0.060029,0.001287
2013-07-04,0.045457,0.001668
2013-07-12,0.051214,0.001911
2013-07-20,0.039857,0.012142
2013-07-28,0.058714,0.00186
2013-08-05,0.052629,0.001427
2013-08-13,0.0089,NA
2013-08-21,0.0146,0.001
2013-08-29,0.017171,0.001112
2013-09-06,0.010357,0.00077
2013-09-14,9e-04,0
2013-09-22,0.000743,0.000113
2013-09-30,0.001457,0.000282
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.008129,0.001571
2014-05-09,0.013129,0.002043
2014-05-17,0.00195,0.000778
2014-05-25,0.013643,0.005654
2014-06-02,0.030514,0.003019
2014-06-10,0.033714,0.005783
2014-06-18,0.0521,0.002755
2014-06-26,0.0576,0.001338
2014-07-04,0.047829,0.002034
2014-07-12,0.0533,0.002671
2014-07-20,0.020343,0.0065
2014-07-28,0.027057,0.006787
2014-08-05,0.022357,0.003283
2014-08-13,0.0316,0.003287
2014-08-21,0.024786,0.006458
2014-08-29,0.0101,0.000361
2014-09-06,0.008829,0.000692
2014-09-14,0.0065,0.000374
2014-09-22,0.002571,0.000386
2014-09-30,0.000417,4.1e-05
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.015029,0.001904
2015-05-17,0.039257,0.001739
2015-05-25,0.038557,0.001873
2015-06-02,0.021586,0.012259
2015-06-10,0.031157,0.008481
2015-06-18,0.056143,0.00296
2015-06-26,0.031914,0.015025
2015-07-04,0.050286,0.006793
2015-07-12,0.027283,0.010566
2015-07-20,0.029043,0.016721
2015-07-28,0.0344,0.003471
2015-08-05,0.035214,0.001466
2015-08-13,0.0257,0.00325
2015-08-21,0.016986,0.001189
2015-08-29,0.004271,0.000565
2015-09-06,0.010414,0.00041
2015-09-14,6e-04,NA
2015-09-22,2e-04,0
2015-09-30,2e-04,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.00185,7e-04
2016-05-08,0.019786,0.000722
2016-05-16,0.013829,0.000905
2016-05-24,0.021257,0.001994
