dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.004135,0.002185
2010-05-01,0.004401,0.000456
2010-05-09,0.005932,0.00118
2010-05-17,0.013271,0.001079
2010-05-25,0.032773,0.004586
2010-06-02,0.033527,0.00398
2010-06-10,0.043419,0.005146
2010-06-18,0.042073,0.004439
2010-06-26,0.037198,0.008394
2010-07-04,0.047825,0.005642
2010-07-12,0.031951,0.006971
2010-07-20,0.026806,0.004381
2010-07-28,0.03773,0.003213
2010-08-05,0.029004,0.002146
2010-08-13,0.029711,0.002618
2010-08-21,0.009225,0.004866
2010-08-29,0.012021,0.002394
2010-09-06,0.01012,0.000856
2010-09-14,0.004571,0.000643
2010-09-22,0.000251,0.000104
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,6e-04,0.000141
2011-05-17,0.021475,0.001538
2011-05-25,0.036157,0.00342
2011-06-02,0.023064,0.00245
2011-06-10,0.026447,0.00337
2011-06-18,0.040795,0.007084
2011-06-26,0.044178,0.003195
2011-07-04,0.036209,0.015197
2011-07-12,0.004821,0.001441
2011-07-20,0.042178,0.003935
2011-07-28,0.042594,0.003777
2011-08-05,0.019795,0.004945
2011-08-13,0.02085,0.001922
2011-08-21,0.022901,0.002708
2011-08-29,0.014704,0.001641
2011-09-06,0.010965,0.000981
2011-09-14,0.00876,0.001472
2011-09-22,0.000526,0.000478
2011-09-30,0.001548,0.000723
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.00155,0.000173
2012-05-16,0.01426,0.00106
2012-05-24,0.019072,0.001813
2012-06-01,0.026086,0.006696
2012-06-09,0.038199,0.003639
2012-06-17,0.052909,0.00446
2012-06-25,0.035328,0.010601
2012-07-03,0.054192,0.004008
2012-07-11,0.013439,0.009556
2012-07-19,0.038675,0.006427
2012-07-27,0.042298,0.002766
2012-08-04,0.042499,0.002813
2012-08-12,0.028459,0.005361
2012-08-20,0.024465,0.003731
2012-08-28,0.012088,0.000918
2012-09-05,0.005369,0.001249
2012-09-13,0.006252,0.001102
2012-09-21,0.00757,0.000721
2012-09-29,0.000801,0.000349
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.005435,0.002886
2013-05-25,0.023281,0.002115
2013-06-02,0.024422,0.003545
2013-06-10,0.034406,0.003172
2013-06-18,0.046067,0.005028
2013-06-26,0.05288,0.004133
2013-07-04,0.038061,0.010413
2013-07-12,0.047075,0.003025
2013-07-20,0.043795,0.003061
2013-07-28,0.052691,0.003748
2013-08-05,0.048278,0.003249
2013-08-13,0.010435,0.007545
2013-08-21,0.012636,0.001235
2013-08-29,0.015069,0.001266
2013-09-06,0.010154,0.001125
2013-09-14,0.002169,0.001655
2013-09-22,0.000717,0.000172
2013-09-30,0.001133,0.000638
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,NA
2014-03-22,0,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.010387,0.002219
2014-05-09,0.0132,0.001134
2014-05-17,0.005091,0.002154
2014-05-25,0.02206,0.004289
2014-06-02,0.032255,0.004276
2014-06-10,0.033611,0.002841
2014-06-18,0.042576,0.00526
2014-06-26,0.050581,0.004374
2014-07-04,0.039389,0.006083
2014-07-12,0.043155,0.005701
2014-07-20,0.025268,0.007782
2014-07-28,0.029116,0.003374
2014-08-05,0.015266,0.005881
2014-08-13,0.028342,0.002521
2014-08-21,0.023788,0.002836
2014-08-29,0.008575,0.000987
2014-09-06,0.007932,0.00073
2014-09-14,0.006611,0.000965
2014-09-22,0.002616,0.000334
2014-09-30,0.00047,8.6e-05
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.012614,0.004185
2015-05-17,0.03325,0.00329
2015-05-25,0.030365,0.003711
2015-06-02,0.022665,0.004728
2015-06-10,0.022442,0.010616
2015-06-18,0.049163,0.004439
2015-06-26,0.028922,0.013453
2015-07-04,0.047055,0.00482
2015-07-12,0.036416,0.005367
2015-07-20,0.035331,0.006844
2015-07-28,0.031536,0.006768
2015-08-05,0.031082,0.002006
2015-08-13,0.023894,0.004591
2015-08-21,0.0143,0.001546
2015-08-29,0.003682,0.001281
2015-09-06,0.009425,0.000909
2015-09-14,0.000675,0.000161
2015-09-22,0.000215,0.000103
2015-09-30,0.000204,2.9e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,NA,NA
2016-03-21,1e-04,0
2016-03-29,0,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.00204,0.000944
2016-05-08,0.020411,0.001735
2016-05-16,0.012291,0.001144
