dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.005843,0.001235
2010-05-01,0.0036,2e-04
2010-05-09,0.005543,0.001366
2010-05-17,0.0114,0.000746
2010-05-25,0.030443,0.003418
2010-06-02,0.034257,0.000761
2010-06-10,0.040786,0.002461
2010-06-18,0.039743,0.001311
2010-06-26,0.033471,0.000871
2010-07-04,0.040114,0.000576
2010-07-12,0.029471,0.003777
2010-07-20,0.0226,0.001491
2010-07-28,0.0302,0.00102
2010-08-05,0.022071,0.000538
2010-08-13,0.027229,0.000925
2010-08-21,0.0102,0.003068
2010-08-29,0.011957,0.001249
2010-09-06,0.008671,0.000423
2010-09-14,0.003557,0.000288
2010-09-22,1e-04,0
2010-09-30,3e-04,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.018871,0.00086
2011-05-25,0.034471,0.001391
2011-06-02,0.023043,0.001821
2011-06-10,0.023086,0.001583
2011-06-18,0.036486,0.001117
2011-06-26,0.039614,0.000979
2011-07-04,0.02188,0.009791
2011-07-12,NA,NA
2011-07-20,0.0308,0.00114
2011-07-28,0.032786,0.00043
2011-08-05,0.016829,0.001018
2011-08-13,0.017271,0.000588
2011-08-21,0.021086,0.000684
2011-08-29,0.012671,0.00045
2011-09-06,0.009243,0.000611
2011-09-14,0.006529,0.000373
2011-09-22,0.000286,0.00041
2011-09-30,8e-04,0.000424
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.0025,NA
2012-05-16,0.012043,0.000802
2012-05-24,0.017186,0.004772
2012-06-01,0.026529,0.003429
2012-06-09,0.027886,0.011027
2012-06-17,0.038629,0.001338
2012-06-25,0.027171,0.003333
2012-07-03,0.038957,0.002127
2012-07-11,0.0112,0.009424
2012-07-19,0.027533,0.00222
2012-07-27,0.027171,0.000856
2012-08-04,0.033029,0.000658
2012-08-12,0.017471,0.005988
2012-08-20,0.015886,0.000414
2012-08-28,0.010243,0.000627
2012-09-05,0.0049,3e-04
2012-09-13,0.004829,0.001312
2012-09-21,0.006043,0.000412
2012-09-29,0.000729,0.000275
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.003817,0.002352
2013-05-25,0.020286,0.001773
2013-06-02,0.0254,0.001261
2013-06-10,0.032529,0.001546
2013-06-18,0.038871,0.000435
2013-06-26,0.0387,0.000611
2013-07-04,0.031957,0.00065
2013-07-12,0.031329,0.00204
2013-07-20,0.028429,0.006618
2013-07-28,0.0327,0.002244
2013-08-05,0.029443,0.001124
2013-08-13,0.0074,NA
2013-08-21,0.011186,0.000527
2013-08-29,0.012743,0.000571
2013-09-06,0.008043,0.000522
2013-09-14,5e-04,0
2013-09-22,0.000357,0.000151
2013-09-30,0.000871,9.5e-05
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.006986,0.001212
2014-05-09,0.011271,0.00177
2014-05-17,0.0018,0.000707
2014-05-25,0.0119,0.004817
2014-06-02,0.0259,0.002272
2014-06-10,0.027829,0.004098
2014-06-18,0.040471,0.000929
2014-06-26,0.037971,0.001116
2014-07-04,0.034786,0.000667
2014-07-12,0.039729,0.000812
2014-07-20,0.016157,0.004468
2014-07-28,0.020886,0.004671
2014-08-05,0.016086,0.00133
2014-08-13,0.024129,0.001785
2014-08-21,0.020414,0.004863
2014-08-29,0.008114,0.000273
2014-09-06,0.006814,0.00038
2014-09-14,0.004914,0.000107
2014-09-22,0.001786,0.000219
2014-09-30,2e-04,0.00011
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.012914,0.001655
2015-05-17,0.031271,0.001441
2015-05-25,0.030643,0.00102
2015-06-02,0.016771,0.008556
2015-06-10,0.0242,0.005428
2015-06-18,0.038614,0.001125
2015-06-26,0.020286,0.005488
2015-07-04,0.036386,0.001787
2015-07-12,0.021283,0.007429
2015-07-20,0.020386,0.009923
2015-07-28,0.024925,0.00131
2015-08-05,0.024557,0.000244
2015-08-13,0.019086,0.001141
2015-08-21,0.012757,0.000503
2015-08-29,0.003543,0.000378
2015-09-06,0.008386,0.000358
2015-09-14,5e-04,NA
2015-09-22,1e-04,1e-04
2015-09-30,0,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.001625,0.00065
2016-05-08,0.016871,0.000565
2016-05-16,0.011557,0.000732
2016-05-24,0.017943,0.001515
