dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.003604,0.001876
2010-05-01,0.003594,0.000358
2010-05-09,0.004872,0.000856
2010-05-17,0.011558,0.000982
2010-05-25,0.02726,0.003531
2010-06-02,0.028919,0.003394
2010-06-10,0.036496,0.00403
2010-06-18,0.035288,0.003516
2010-06-26,0.029077,0.005836
2010-07-04,0.037616,0.004475
2010-07-12,0.025747,0.005379
2010-07-20,0.020458,0.00322
2010-07-28,0.028142,0.002705
2010-08-05,0.020764,0.001662
2010-08-13,0.024452,0.00201
2010-08-21,0.007842,0.003987
2010-08-29,0.009737,0.001834
2010-09-06,0.008139,0.00067
2010-09-14,0.003509,0.000454
2010-09-22,0.00013,5.2e-05
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,5e-04,0
2011-05-17,0.018889,0.001427
2011-05-25,0.030957,0.002951
2011-06-02,0.01996,0.0021
2011-06-10,0.022361,0.002752
2011-06-18,0.032119,0.005275
2011-06-26,0.036275,0.00262
2011-07-04,0.028448,0.011053
2011-07-12,0.004109,0.001211
2011-07-20,0.030289,0.002957
2011-07-28,0.03226,0.002823
2011-08-05,0.01537,0.003713
2011-08-13,0.016535,0.00131
2011-08-21,0.018858,0.001994
2011-08-29,0.012061,0.001228
2011-09-06,0.009094,0.000762
2011-09-14,0.006947,0.001025
2011-09-22,0.000244,0.000297
2011-09-30,0.000981,0.000431
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.00145,0.000173
2012-05-16,0.012485,0.000929
2012-05-24,0.016593,0.001501
2012-06-01,0.022044,0.005429
2012-06-09,0.031935,0.002647
2012-06-17,0.038364,0.003528
2012-06-25,0.025685,0.006561
2012-07-03,0.040694,0.003103
2012-07-11,0.011432,0.007384
2012-07-19,0.028091,0.004193
2012-07-27,0.028677,0.002575
2012-08-04,0.032907,0.002286
2012-08-12,0.020969,0.003685
2012-08-20,0.020013,0.002781
2012-08-28,0.009677,0.000765
2012-09-05,0.004444,0.000976
2012-09-13,0.00496,0.000843
2012-09-21,0.005912,0.000548
2012-09-29,0.000441,0.000317
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.004728,0.002463
2013-05-25,0.020261,0.00183
2013-06-02,0.02085,0.002979
2013-06-10,0.028909,0.002697
2013-06-18,0.03586,0.004039
2013-06-26,0.038406,0.003727
2013-07-04,0.028702,0.007161
2013-07-12,0.033275,0.002871
2013-07-20,0.032077,0.002475
2013-07-28,0.035911,0.003542
2013-08-05,0.031556,0.003425
2013-08-13,0.007947,0.004394
2013-08-21,0.010142,0.00089
2013-08-29,0.011758,0.000917
2013-09-06,0.00788,0.000799
2013-09-14,0.001483,0.001178
2013-09-22,0.000381,0.000169
2013-09-30,0.000634,0.000359
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,NA
2014-03-22,0,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.008803,0.001749
2014-05-09,0.011361,0.000977
2014-05-17,0.004277,0.001703
2014-05-25,0.018757,0.003435
2014-06-02,0.027376,0.003383
2014-06-10,0.027976,0.00219
2014-06-18,0.0352,0.00414
2014-06-26,0.038194,0.003505
2014-07-04,0.030542,0.004068
2014-07-12,0.034942,0.004127
2014-07-20,0.019416,0.005355
2014-07-28,0.021777,0.002079
2014-08-05,0.011825,0.004035
2014-08-13,0.02225,0.002143
2014-08-21,0.020035,0.002265
2014-08-29,0.006929,0.000756
2014-09-06,0.006234,0.000552
2014-09-14,0.005083,0.000672
2014-09-22,0.001783,0.000239
2014-09-30,0.000295,0.000116
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.011083,0.003542
2015-05-17,0.027265,0.002752
2015-05-25,0.025352,0.002981
2015-06-02,0.018778,0.003588
2015-06-10,0.01835,0.008247
2015-06-18,0.037078,0.003553
2015-06-26,0.020929,0.00824
2015-07-04,0.036345,0.003287
2015-07-12,0.02672,0.003033
2015-07-20,0.027158,0.00494
2015-07-28,0.02329,0.004586
2015-08-05,0.023401,0.001664
2015-08-13,0.019031,0.003244
2015-08-21,0.011274,0.001138
2015-08-29,0.003056,0.000977
2015-09-06,0.007625,0.000748
2015-09-14,0.000575,0.000161
2015-09-22,0.000108,4.7e-05
2015-09-30,1.1e-05,4.8e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,NA,NA
2016-03-21,1e-04,0
2016-03-29,0,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.001755,0.000844
2016-05-08,0.017437,0.00148
2016-05-16,0.010272,0.00098
