MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,,,,,,,,161,0,0.00
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0016,0.0106,0.5803,0.0090,0.0036,0.0000,0.0019,161,161,100.00
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0025,0.0045,0.5786,0.0020,0.0036,0.0000,0.0004,161,161,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0037,0.0099,0.7844,0.0062,0.0049,0.0000,0.0009,161,161,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0096,0.0160,1.8609,0.0064,0.0116,0.0000,0.0010,161,161,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0199,0.0382,4.3888,0.0183,0.0273,0.0000,0.0035,161,161,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0239,0.0482,4.6559,0.0243,0.0289,0.0000,0.0034,161,161,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0278,0.0553,5.8759,0.0275,0.0365,0.0000,0.0040,161,161,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0298,0.0555,5.6813,0.0257,0.0353,0.0000,0.0035,161,161,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0084,0.0583,4.6233,0.0499,0.0291,0.0000,0.0058,161,159,98.76
