dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.004035,0.001505
2010-05-01,0.004241,0.000809
2010-05-09,0.005332,0.000973
2010-05-17,0.013743,0.002726
2010-05-25,0.031159,0.005789
2010-06-02,0.030476,0.004387
2010-06-10,0.040621,0.006455
2010-06-18,0.036221,0.005251
2010-06-26,0.034962,0.009959
2010-07-04,0.0378,0.005864
2010-07-12,0.02281,0.004985
2010-07-20,0.023818,0.005112
2010-07-28,0.032251,0.006625
2010-08-05,0.022858,0.003239
2010-08-13,0.024838,0.003283
2010-08-21,0.012175,0.003515
2010-08-29,0.009451,0.002087
2010-09-06,0.008764,0.001317
2010-09-14,0.004235,0.000839
2010-09-22,0.000151,6.7e-05
2010-09-30,0.00049,0.000281
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,0,0
2011-04-23,1e-04,0
2011-05-01,3e-04,0
2011-05-09,5e-04,0
2011-05-17,0.021477,0.002942
2011-05-25,0.033929,0.005497
2011-06-02,0.021693,0.003298
2011-06-10,0.023098,0.003396
2011-06-18,0.034082,0.008606
2011-06-26,0.037688,0.005192
2011-07-04,0.031556,0.013372
2011-07-12,0.004156,0.001771
2011-07-20,0.034773,0.006867
2011-07-28,0.036188,0.006789
2011-08-05,0.011954,0.005241
2011-08-13,0.016729,0.002277
2011-08-21,0.02037,0.003601
2011-08-29,0.013313,0.002405
2011-09-06,0.010009,0.001612
2011-09-14,0.008307,0.001447
2011-09-22,0.00032,0.000283
2011-09-30,0.000971,0.000318
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,0.000233,5.2e-05
2012-04-30,1e-04,0
2012-05-08,0.001492,0.00021
2012-05-16,0.014872,0.002864
2012-05-24,0.016957,0.001789
2012-06-01,0.024221,0.005579
2012-06-09,0.031941,0.005848
2012-06-17,0.044546,0.008811
2012-06-25,0.026565,0.012472
2012-07-03,0.044668,0.006943
2012-07-11,0.019044,0.01315
2012-07-19,0.031963,0.006238
2012-07-27,0.03206,0.006049
2012-08-04,0.036947,0.00611
2012-08-12,0.023482,0.0036
2012-08-20,0.022061,0.003294
2012-08-28,0.010073,0.001407
2012-09-05,0.004662,0.001499
2012-09-13,0.005852,0.00134
2012-09-21,0.006988,0.00121
2012-09-29,0.000798,0.000279
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,NA,NA
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.00479,0.002249
2013-05-25,0.02356,0.004104
2013-06-02,0.022129,0.003253
2013-06-10,0.031239,0.00502
2013-06-18,0.039007,0.007223
2013-06-26,0.04372,0.008669
2013-07-04,0.033412,0.006564
2013-07-12,0.037702,0.00709
2013-07-20,0.033945,0.0057
2013-07-28,0.043238,0.010292
2013-08-05,0.03818,0.009288
2013-08-13,0.0107,0.006752
2013-08-21,0.010578,0.001447
2013-08-29,0.012133,0.001381
2013-09-06,0.008929,0.001706
2013-09-14,0.000835,0.000509
2013-09-22,0.000656,0.000312
2013-09-30,0.000372,0.000336
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,1e-04,0
2014-04-23,0.000757,0.000155
2014-05-01,0.009912,0.002006
2014-05-09,0.013942,0.002991
2014-05-17,0.005072,0.001988
2014-05-25,0.02076,0.005346
2014-06-02,0.026979,0.00473
2014-06-10,0.029256,0.003598
2014-06-18,0.036636,0.006393
2014-06-26,0.04287,0.008146
2014-07-04,0.028427,0.005482
2014-07-12,0.038597,0.00631
2014-07-20,0.021192,0.007285
2014-07-28,0.02322,0.004549
2014-08-05,0.014493,0.003681
2014-08-13,0.022567,0.003437
2014-08-21,0.020928,0.004375
2014-08-29,0.007677,0.000967
2014-09-06,0.007028,0.001243
2014-09-14,0.005617,0.001076
2014-09-22,0.002164,0.000505
2014-09-30,0.000308,0.000132
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,1e-04,0
2015-04-15,6e-04,0
2015-04-23,0.000525,5e-05
2015-05-01,0.000907,2.6e-05
2015-05-09,0.015199,0.003524
2015-05-17,0.032227,0.006233
2015-05-25,0.027646,0.004118
2015-06-02,0.019666,0.004397
2015-06-10,0.015255,0.006692
2015-06-18,0.042001,0.008359
2015-06-26,0.028234,0.008161
2015-07-04,0.038457,0.005695
2015-07-12,0.032348,0.006711
2015-07-20,0.027354,0.007605
2015-07-28,0.019062,0.008426
2015-08-05,0.025642,0.004468
2015-08-13,0.019049,0.004465
2015-08-21,0.011153,0.001764
2015-08-29,0.002961,0.000922
2015-09-06,0.00893,0.001712
2015-09-14,0.000511,0.000109
2015-09-22,0.000147,9.1e-05
2015-09-30,0.000173,0.000151
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000109,4.2e-05
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.000852,0.000126
2016-04-30,0.003538,0.002673
2016-05-08,0.019089,0.003381
2016-05-16,0.012362,0.002088
2016-05-24,0.016761,0.002025
