date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,8,4.73
A2010073,2010-03-14,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,11,6.51
A2010081,2010-03-22,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,10,5.92
A2010089,2010-03-30,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,7,4.14
A2010097,2010-04-07,MOD17A2H,Gpp_500m,0.0001,0.0001,0.0004,0.0000,0.0001,0.0000,0.0000,169,4,2.37
A2010105,2010-04-15,MOD17A2H,Gpp_500m,0.0009,0.0009,0.0108,0.0000,0.0009,0.0000,0.0000,169,12,7.10
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0018,0.0115,0.7638,0.0097,0.0045,0.0000,0.0018,169,169,100.00
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0035,0.0070,0.8469,0.0035,0.0050,0.0000,0.0008,169,169,100.00
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0047,0.0080,1.0510,0.0033,0.0062,0.0000,0.0009,169,169,100.00
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0103,0.0237,2.6029,0.0134,0.0154,0.0000,0.0027,169,169,100.00
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0244,0.0525,6.0773,0.0281,0.0360,0.0000,0.0056,169,169,100.00
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0250,0.0487,5.7866,0.0237,0.0342,0.0000,0.0042,169,169,100.00
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0323,0.0688,7.8834,0.0365,0.0466,0.0000,0.0063,169,169,100.00
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0301,0.0651,6.9788,0.0350,0.0413,0.0000,0.0052,169,169,100.00
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0212,0.0653,7.1782,0.0441,0.0427,0.0001,0.0108,169,168,99.41
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0298,0.0652,7.5539,0.0354,0.0447,0.0000,0.0057,169,169,100.00
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0122,0.0446,4.3683,0.0324,0.0265,0.0000,0.0055,169,165,97.63
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0083,0.0439,4.9310,0.0356,0.0292,0.0000,0.0053,169,169,100.00
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0283,0.0581,6.7565,0.0298,0.0400,0.0000,0.0057,169,169,100.00
A2010217,2010-08-05,MOD17A2H,Gpp_500m,0.0214,0.0390,4.8922,0.0176,0.0289,0.0000,0.0030,169,169,100.00
