MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,8,4.76
A2010073,2010-03-14,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,11,6.55
A2010081,2010-03-22,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,10,5.95
A2010089,2010-03-30,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,7,4.17
A2010097,2010-04-07,MOD17A2H,Gpp_500m,0.0001,0.0001,0.0004,0.0000,0.0001,0.0000,0.0000,168,4,2.38
A2010105,2010-04-15,MOD17A2H,Gpp_500m,0.0009,0.0009,0.0108,0.0000,0.0009,0.0000,0.0000,168,12,7.14
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0018,0.0115,0.7545,0.0097,0.0045,0.0000,0.0017,168,168,100.00
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0035,0.0070,0.8423,0.0035,0.0050,0.0000,0.0008,168,168,100.00
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0047,0.0080,1.0439,0.0033,0.0062,0.0000,0.0009,168,168,100.00
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0103,0.0237,2.5880,0.0134,0.0154,0.0000,0.0027,168,168,100.00
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0244,0.0525,6.0442,0.0281,0.0360,0.0000,0.0056,168,168,100.00
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0250,0.0487,5.7471,0.0237,0.0342,0.0000,0.0042,168,168,100.00
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0323,0.0688,7.8307,0.0365,0.0466,0.0000,0.0063,168,168,100.00
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0301,0.0651,6.9303,0.0350,0.0413,0.0000,0.0052,168,168,100.00
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0212,0.0653,7.1348,0.0441,0.0427,0.0001,0.0108,168,167,99.40
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0298,0.0652,7.5034,0.0354,0.0447,0.0000,0.0057,168,168,100.00
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0122,0.0446,4.3391,0.0324,0.0265,0.0000,0.0055,168,164,97.62
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0083,0.0439,4.9033,0.0356,0.0292,0.0000,0.0053,168,168,100.00
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0283,0.0581,6.7139,0.0298,0.0400,0.0000,0.0057,168,168,100.00
