dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000941,0.000217
2010-04-23,0.004368,0.002338
2010-05-01,0.00506,0.001597
2010-05-09,0.007668,0.001892
2010-05-17,0.018608,0.001863
2010-05-25,0.039174,0.004631
2010-06-02,0.040367,0.004125
2010-06-10,0.051799,0.00682
2010-06-18,0.047841,0.006813
2010-06-26,0.050508,0.009742
2010-07-04,0.048467,0.005801
2010-07-12,0.024312,0.009568
2010-07-20,0.032079,0.005731
2010-07-28,0.048592,0.003816
2010-08-05,0.031863,0.004257
2010-08-13,0.031671,0.003201
2010-08-21,0.013406,0.006905
2010-08-29,0.012425,0.004427
2010-09-06,0.013015,0.001761
2010-09-14,0.007081,0.00112
2010-09-22,0.00026,0.000195
2010-09-30,0.000825,0.000334
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,1.3e-05,3.4e-05
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000149,6.5e-05
2011-05-01,0.000473,0.000371
2011-05-09,0.000893,0.000596
2011-05-17,0.029583,0.002784
2011-05-25,0.04693,0.004211
2011-06-02,0.029597,0.002374
2011-06-10,0.027073,0.005481
2011-06-18,0.046028,0.009601
2011-06-26,0.049504,0.004152
2011-07-04,0.044873,0.014165
2011-07-12,0.008649,0.003646
2011-07-20,0.048221,0.006142
2011-07-28,0.051669,0.006081
2011-08-05,0.014443,0.005644
2011-08-13,0.017669,0.003798
2011-08-21,0.02703,0.003387
2011-08-29,0.017857,0.003124
2011-09-06,0.013528,0.001887
2011-09-14,0.011273,0.001956
2011-09-22,0.000638,0.000283
2011-09-30,0.001253,0.000629
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0.000102,1.6e-05
2012-04-14,0.000393,0.000249
2012-04-22,0.000405,0.000174
2012-04-30,0.000161,0.000107
2012-05-08,0.002277,0.001059
2012-05-16,0.018971,0.003158
2012-05-24,0.020135,0.005244
2012-06-01,0.031105,0.005345
2012-06-09,0.038857,0.009997
2012-06-17,0.064144,0.005173
2012-06-25,0.029263,0.014386
2012-07-03,0.057432,0.009397
2012-07-11,0.030668,0.01619
2012-07-19,0.035728,0.013403
2012-07-27,0.04352,0.006722
2012-08-04,0.042034,0.00688
2012-08-12,0.030372,0.007454
2012-08-20,0.024444,0.005649
2012-08-28,0.011511,0.00197
2012-09-05,0.004865,0.00227
2012-09-13,0.006207,0.00229
2012-09-21,0.009467,0.002082
2012-09-29,0.001206,0.00036
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,1.9e-05,4e-05
2013-05-01,2.3e-05,4.3e-05
2013-05-09,0.00079,0.000347
2013-05-17,0.003899,0.002002
2013-05-25,0.02993,0.005206
2013-06-02,0.0284,0.005974
2013-06-10,0.037233,0.008149
2013-06-18,0.053093,0.010242
2013-06-26,0.060152,0.008632
2013-07-04,0.045323,0.007278
2013-07-12,0.051084,0.007727
2013-07-20,0.039918,0.012977
2013-07-28,0.061228,0.00724
2013-08-05,0.054537,0.008174
2013-08-13,0.011171,0.008609
2013-08-21,0.012186,0.002364
2013-08-29,0.014944,0.002756
2013-09-06,0.01197,0.001808
2013-09-14,0.001058,0.000356
2013-09-22,0.000843,0.000188
2013-09-30,0.000555,0.000452
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000204,0.000153
2014-04-15,0.000335,8.9e-05
2014-04-23,0.001221,0.00065
2014-05-01,0.009473,0.003154
2014-05-09,0.018222,0.003731
2014-05-17,0.004073,0.001386
2014-05-25,0.028343,0.006516
2014-06-02,0.035548,0.004839
2014-06-10,0.035434,0.006369
2014-06-18,0.041942,0.005453
2014-06-26,0.059629,0.006612
2014-07-04,0.028857,0.011145
2014-07-12,0.05165,0.008671
2014-07-20,0.026117,0.010227
2014-07-28,0.027193,0.007773
2014-08-05,0.013868,0.006493
2014-08-13,0.030176,0.004638
2014-08-21,0.026116,0.005093
2014-08-29,0.009889,0.001363
2014-09-06,0.009899,0.001427
2014-09-14,0.007792,0.001401
2014-09-22,0.003309,0.00064
2014-09-30,0.000664,0.000196
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,1e-05,3e-05
2015-03-30,0,0
2015-04-07,0.000225,0.000144
2015-04-15,0.000787,0.000375
2015-04-23,0.001162,0.00045
2015-05-01,0.001547,0.000745
2015-05-09,0.016491,0.005878
2015-05-17,0.043878,0.005159
2015-05-25,0.036012,0.005003
2015-06-02,0.020919,0.007449
2015-06-10,0.020638,0.009743
2015-06-18,0.05799,0.007816
2015-06-26,0.045989,0.005261
2015-07-04,0.048543,0.005322
2015-07-12,0.03799,0.006282
2015-07-20,0.032593,0.011446
2015-07-28,0.025863,0.010837
2015-08-05,0.032646,0.003323
2015-08-13,0.024307,0.0055
2015-08-21,0.014186,0.002123
2015-08-29,0.002553,0.000949
2015-09-06,0.011188,0.001946
2015-09-14,0.001356,0.00147
2015-09-22,0.000283,0.000195
2015-09-30,0.000331,9.4e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00022,0.000196
2016-03-29,0,0
2016-04-06,1.4e-05,3.5e-05
2016-04-14,1.3e-05,3.4e-05
