dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000798,0.00023
2010-04-23,0.00449,0.002057
2010-05-01,0.004777,0.00151
2010-05-09,0.007021,0.00193
2010-05-17,0.017385,0.001278
2010-05-25,0.036973,0.004021
2010-06-02,0.03926,0.003582
2010-06-10,0.049423,0.005632
2010-06-18,0.046829,0.004883
2010-06-26,0.045294,0.009658
2010-07-04,0.04565,0.004187
2010-07-12,0.022337,0.009701
2010-07-20,0.028992,0.004954
2010-07-28,0.043954,0.002901
2010-08-05,0.028392,0.003509
2010-08-13,0.030435,0.002713
2010-08-21,0.012387,0.006051
2010-08-29,0.011196,0.003519
2010-09-06,0.01199,0.001455
2010-09-14,0.005729,0.000747
2010-09-22,0.000296,0.000267
2010-09-30,0.000664,0.000282
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000144,5.3e-05
2011-05-01,0.000596,0.000293
2011-05-09,0.000872,0.000475
2011-05-17,0.027562,0.001826
2011-05-25,0.044121,0.003012
2011-06-02,0.028267,0.002115
2011-06-10,0.027235,0.004632
2011-06-18,0.044048,0.009042
2011-06-26,0.047104,0.003447
2011-07-04,0.044258,0.013247
2011-07-12,0.007505,0.003273
2011-07-20,0.045265,0.004345
2011-07-28,0.04749,0.004351
2011-08-05,0.015673,0.004565
2011-08-13,0.016852,0.00312
2011-08-21,0.024983,0.002814
2011-08-29,0.015758,0.002324
2011-09-06,0.01214,0.001517
2011-09-14,0.009894,0.001615
2011-09-22,0.000555,0.000264
2011-09-30,0.001054,0.000469
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,2.9e-05,4.6e-05
2012-04-14,0.000439,0.000212
2012-04-22,0.000306,0.000139
2012-04-30,0.000196,8.6e-05
2012-05-08,0.002457,0.000952
2012-05-16,0.017538,0.003037
2012-05-24,0.018679,0.005491
2012-06-01,0.026835,0.005119
2012-06-09,0.038554,0.008312
2012-06-17,0.057127,0.003503
2012-06-25,0.032398,0.013598
2012-07-03,0.054948,0.002905
2012-07-11,0.03358,0.012739
2012-07-19,0.036754,0.010302
2012-07-27,0.041058,0.003027
2012-08-04,0.041458,0.003004
2012-08-12,0.031033,0.004084
2012-08-20,0.025448,0.003815
2012-08-28,0.011383,0.001014
2012-09-05,0.004797,0.001873
2012-09-13,0.006144,0.00129
2012-09-21,0.008454,0.00152
2012-09-29,0.00104,0.00026
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,0.000747,0.000217
2013-05-17,0.003929,0.001298
2013-05-25,0.028835,0.002078
2013-06-02,0.027638,0.002647
2013-06-10,0.038129,0.004401
2013-06-18,0.050998,0.004508
2013-06-26,0.057788,0.003648
2013-07-04,0.043848,0.004231
2013-07-12,0.048098,0.003087
2013-07-20,0.038746,0.010128
2013-07-28,0.056477,0.003275
2013-08-05,0.050329,0.003743
2013-08-13,0.00965,0.005309
2013-08-21,0.011544,0.00175
2013-08-29,0.014456,0.001265
2013-09-06,0.010704,0.001143
2013-09-14,0.000921,0.000198
2013-09-22,0.000683,0.000309
2013-09-30,0.000487,0.000449
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000211,0.000105
2014-04-15,0.000243,0.000109
2014-04-23,0.001133,0.000505
2014-05-01,0.008917,0.002132
2014-05-09,0.017681,0.003235
2014-05-17,0.003787,0.001045
2014-05-25,0.025715,0.005781
2014-06-02,0.03361,0.003242
2014-06-10,0.036265,0.004107
2014-06-18,0.040969,0.004607
2014-06-26,0.056467,0.003346
2014-07-04,0.028725,0.011128
2014-07-12,0.049088,0.008192
2014-07-20,0.024052,0.008305
2014-07-28,0.024732,0.006608
2014-08-05,0.013088,0.006458
2014-08-13,0.028196,0.003436
2014-08-21,0.027142,0.002984
2014-08-29,0.00921,0.000945
2014-09-06,0.008838,0.000956
2014-09-14,0.007106,0.001074
2014-09-22,0.002823,0.000412
2014-09-30,0.000502,0.000154
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00017,4.8e-05
2015-04-15,0.000644,0.000181
2015-04-23,0.000883,0.000316
2015-05-01,0.001536,0.000491
2015-05-09,0.016842,0.005387
2015-05-17,0.041694,0.002689
2015-05-25,0.035144,0.002883
2015-06-02,0.021112,0.006912
2015-06-10,0.015354,0.009175
2015-06-18,0.053846,0.005011
2015-06-26,0.041742,0.003468
2015-07-04,0.045925,0.003924
2015-07-12,0.035235,0.005385
2015-07-20,0.031522,0.009943
2015-07-28,0.025269,0.010036
2015-08-05,0.029785,0.002426
2015-08-13,0.023494,0.004106
2015-08-21,0.013408,0.001994
2015-08-29,0.002638,0.001189
2015-09-06,0.009835,0.001357
2015-09-14,0.000646,0.000113
2015-09-22,0.000208,6.8e-05
2015-09-30,0.000251,7.9e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000191,0.000113
2016-03-29,0,0
2016-04-06,2e-06,1.5e-05
2016-04-14,0,0
2016-04-22,0.001228,0.000679
2016-04-30,0.005252,0.003404
