MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,24,20.00
A2010073,2010-03-14,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,52,43.33
A2010081,2010-03-22,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,39,32.50
A2010089,2010-03-30,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,33,27.50
A2010097,2010-04-07,MOD17A2H,Gpp_500m,0.0001,0.0001,0.0047,0.0000,0.0001,0.0000,0.0000,120,47,39.17
A2010105,2010-04-15,MOD17A2H,Gpp_500m,0.0007,0.0017,0.0941,0.0010,0.0009,0.0000,0.0002,120,100,83.33
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0020,0.0111,0.5241,0.0091,0.0044,0.0000,0.0023,120,120,100.00
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0026,0.0076,0.6072,0.0050,0.0051,0.0000,0.0016,120,120,100.00
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0042,0.0115,0.9202,0.0073,0.0077,0.0000,0.0019,120,120,100.00
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0139,0.0237,2.2330,0.0098,0.0186,0.0000,0.0019,120,120,100.00
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0323,0.0515,4.7009,0.0192,0.0392,0.0000,0.0046,120,120,100.00
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0328,0.0504,4.8440,0.0176,0.0404,0.0000,0.0041,120,120,100.00
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0413,0.0724,6.2159,0.0311,0.0518,0.0000,0.0068,120,120,100.00
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0356,0.0629,5.7409,0.0273,0.0478,0.0000,0.0068,120,120,100.00
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0188,0.0701,6.0609,0.0513,0.0505,0.0001,0.0097,120,120,100.00
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0397,0.0660,5.8160,0.0263,0.0485,0.0000,0.0058,120,120,100.00
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0037,0.0492,2.7716,0.0455,0.0243,0.0001,0.0095,120,114,95.00
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0191,0.0438,3.8495,0.0247,0.0321,0.0000,0.0057,120,120,100.00
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0401,0.0581,5.8311,0.0180,0.0486,0.0000,0.0038,120,120,100.00
A2010217,2010-08-05,MOD17A2H,Gpp_500m,0.0205,0.0391,3.8235,0.0186,0.0319,0.0000,0.0042,120,120,100.00
A2010225,2010-08-13,MOD17A2H,Gpp_500m,0.0259,0.0389,3.8005,0.0130,0.0317,0.0000,0.0032,120,120,100.00
A2010233,2010-08-21,MOD17A2H,Gpp_500m,0.0023,0.0278,1.5685,0.0255,0.0134,0.0000,0.0069,120,117,97.50
A2010241,2010-08-29,MOD17A2H,Gpp_500m,0.0065,0.0211,1.4910,0.0146,0.0124,0.0000,0.0044,120,120,100.00
A2010249,2010-09-06,MOD17A2H,Gpp_500m,0.0085,0.0166,1.5618,0.0081,0.0130,0.0000,0.0018,120,120,100.00
A2010257,2010-09-14,MOD17A2H,Gpp_500m,0.0050,0.0108,0.8497,0.0058,0.0071,0.0000,0.0011,120,120,100.00
A2010265,2010-09-22,MOD17A2H,Gpp_500m,0.0002,0.0019,0.0278,0.0017,0.0003,0.0000,0.0002,120,107,89.17
A2010273,2010-09-30,MOD17A2H,Gpp_500m,0.0003,0.0013,0.0668,0.0010,0.0008,0.0000,0.0003,120,81,67.50
A2010281,2010-10-08,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010289,2010-10-16,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010297,2010-10-24,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010305,2010-11-01,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010313,2010-11-09,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010321,2010-11-17,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010329,2010-11-25,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010337,2010-12-03,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010345,2010-12-11,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010353,2010-12-19,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010361,2010-12-27,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011001,2011-01-01,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011009,2011-01-09,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011017,2011-01-17,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011025,2011-01-25,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011033,2011-02-02,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011041,2011-02-10,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011049,2011-02-18,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011057,2011-02-26,MOD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2011065,2011-03-06,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,81,67.50
A2011073,2011-03-14,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,73,60.83
A2011081,2011-03-22,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,48,40.00
A2011089,2011-03-30,MOD17A2H,Gpp_500m,0.0000,0.0001,0.0008,0.0001,0.0000,0.0000,0.0000,120,62,51.67
A2011097,2011-04-07,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,59,49.17
A2011105,2011-04-15,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,64,53.33
A2011113,2011-04-23,MOD17A2H,Gpp_500m,0.0001,0.0003,0.0055,0.0002,0.0001,0.0000,0.0001,120,37,30.83
A2011121,2011-05-01,MOD17A2H,Gpp_500m,0.0003,0.0018,0.0364,0.0015,0.0005,0.0000,0.0004,120,77,64.17
A2011129,2011-05-09,MOD17A2H,Gpp_500m,0.0006,0.0028,0.0875,0.0022,0.0009,0.0000,0.0006,120,98,81.67
A2011137,2011-05-17,MOD17A2H,Gpp_500m,0.0227,0.0380,3.5500,0.0153,0.0296,0.0000,0.0028,120,120,100.00
A2011145,2011-05-25,MOD17A2H,Gpp_500m,0.0391,0.0596,5.6316,0.0205,0.0469,0.0000,0.0042,120,120,100.00
A2011153,2011-06-02,MOD17A2H,Gpp_500m,0.0236,0.0353,3.5516,0.0117,0.0296,0.0000,0.0024,120,120,100.00
A2011161,2011-06-10,MOD17A2H,Gpp_500m,0.0123,0.0410,3.2488,0.0287,0.0271,0.0000,0.0055,120,120,100.00
A2011169,2011-06-18,MOD17A2H,Gpp_500m,0.0236,0.0637,5.5234,0.0401,0.0460,0.0001,0.0096,120,120,100.00
A2011177,2011-06-26,MOD17A2H,Gpp_500m,0.0410,0.0624,5.9405,0.0214,0.0495,0.0000,0.0041,120,120,100.00
A2011185,2011-07-04,MOD17A2H,Gpp_500m,0.0042,0.0677,5.1155,0.0635,0.0449,0.0002,0.0141,120,114,95.00
