Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Sep 20,Jun 07,Jul 13,Aug 30,Jun 25,Jul 25,Aug 08
2002, Cycle 1,Sep 20,May 15,Jun 29,Aug 26,Jun 06,Jul 15,Aug 02
2003, Cycle 1,Sep 28,May 18,Jun 29,Aug 31,Jun 07,Jul 15,Aug 02
2004, Cycle 1,Sep 22,May 14,Jun 21,Aug 30,May 31,Jul 05,Jul 26
2005, Cycle 1,Sep 10,Apr 30,Jun 20,Aug 21,May 28,Jul 06,Jul 24
2006, Cycle 1,Oct 03,May 13,Jul 01,Sep 03,Jun 08,Jul 18,Aug 08
2007, Cycle 1,Oct 01,May 05,Jun 26,Sep 07,Jun 01,Jul 14,Aug 04
2008, Cycle 1,Sep 18,May 07,Jun 19,Aug 30,May 26,Jul 07,Jul 30
2009, Cycle 1,Sep 29,May 07,Jun 23,Sep 03,May 28,Jul 12,Aug 02
2010, Cycle 1,Sep 29,Apr 29,Jun 19,Sep 03,May 23,Jul 09,Aug 01
2011, Cycle 1,Oct 07,May 10,Jun 24,Sep 08,May 28,Jul 14,Aug 05
2012, Cycle 1,Sep 29,May 01,Jun 24,Aug 31,Jun 01,Jul 12,Aug 04
2013, Cycle 1,Oct 08,May 17,Jun 30,Sep 11,Jun 07,Jul 22,Aug 14
2014, Cycle 1,Oct 08,Apr 23,Jun 22,Sep 07,May 21,Jul 10,Jul 31
2015, Cycle 1,Sep 25,Apr 30,Jun 19,Sep 01,May 22,Jul 09,Jul 31
2016, Cycle 1,Oct 09,Apr 23,Jun 23,Sep 08,May 23,Jul 12,Jul 31
2017, Cycle 1,Sep 16,Apr 30,Jun 12,Aug 24,May 21,Jul 03,Jul 26
2018, Cycle 1,Oct 02,May 12,Jun 28,Sep 06,Jun 02,Jul 16,Aug 06
2019, Cycle 1,Sep 24,May 08,Jun 27,Sep 02,May 29,Jul 20,Aug 08
2007, Cycle 2,Sep 22,May 06,Jun 25,Sep 04,May 28,Jul 19,Aug 10
2010, Cycle 2,Sep 08,May 05,Jun 24,Aug 18,May 31,Jul 06,Jul 20
2016, Cycle 2,Oct 15,May 03,Jun 24,Sep 08,May 27,Jul 11,Jul 28
2019, Cycle 2,Sep 28,May 05,Jun 27,Sep 01,May 29,Jul 16,Aug 04
