dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,NA
2010-03-22,0,NA
2010-03-30,NA,NA
2010-04-07,1e-04,NA
2010-04-15,9e-04,NA
2010-04-23,0.0043,NA
2010-05-01,0.0061,NA
2010-05-09,0.0085,NA
2010-05-17,0.0188,NA
2010-05-25,0.0407,NA
2010-06-02,0.0425,NA
2010-06-10,0.0512,NA
2010-06-18,0.0556,NA
2010-06-26,0.0603,NA
2010-07-04,0.0519,NA
2010-07-12,0.0223,NA
2010-07-20,0.034,NA
2010-07-28,0.0457,NA
2010-08-05,0.0349,NA
2010-08-13,0.0339,NA
2010-08-21,0.0218,NA
2010-08-29,0.0119,NA
2010-09-06,0.0116,NA
2010-09-14,0.0065,NA
2010-09-22,3e-04,NA
2010-09-30,0.0011,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,NA
2011-03-14,0,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,0,NA
2011-04-15,0,NA
2011-04-23,NA,NA
2011-05-01,3e-04,NA
2011-05-09,6e-04,NA
2011-05-17,0.029,NA
2011-05-25,0.0532,NA
2011-06-02,0.0325,NA
2011-06-10,0.028,NA
2011-06-18,0.0481,NA
2011-06-26,0.0509,NA
2011-07-04,0.0607,NA
2011-07-12,0.0032,NA
2011-07-20,0.0527,NA
2011-07-28,0.0425,NA
2011-08-05,0.0184,NA
2011-08-13,0.0193,NA
2011-08-21,0.0239,NA
2011-08-29,0.0149,NA
2011-09-06,0.0113,NA
2011-09-14,0.0104,NA
2011-09-22,9e-04,NA
2011-09-30,0.0012,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,0,NA
2012-03-21,0,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,2e-04,NA
2012-04-22,NA,NA
2012-04-30,1e-04,NA
2012-05-08,NA,NA
2012-05-16,0.0213,NA
2012-05-24,0.0376,NA
2012-06-01,0.0215,NA
2012-06-09,0.0418,NA
2012-06-17,0.0744,NA
2012-06-25,0.0364,NA
2012-07-03,0.0623,NA
2012-07-11,NA,NA
2012-07-19,0.0482,NA
2012-07-27,0.0453,NA
2012-08-04,0.0521,NA
2012-08-12,0.0209,NA
2012-08-20,0.0281,NA
2012-08-28,0.0112,NA
2012-09-05,0.0066,NA
2012-09-13,0.0061,NA
2012-09-21,0.0083,NA
2012-09-29,0.002,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,NA
2013-03-14,0,NA
2013-03-22,0,NA
2013-03-30,0,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,0,NA
2013-05-09,NA,NA
2013-05-17,0.004,NA
2013-05-25,0.0332,NA
2013-06-02,0.0289,NA
2013-06-10,0.0384,NA
2013-06-18,0.0536,NA
2013-06-26,0.0661,NA
2013-07-04,0.0535,NA
2013-07-12,0.0539,NA
2013-07-20,0.0407,NA
2013-07-28,0.064,NA
2013-08-05,0.0531,NA
2013-08-13,0.0073,NA
2013-08-21,0.0115,NA
2013-08-29,0.0157,NA
2013-09-06,0.0123,NA
2013-09-14,NA,NA
2013-09-22,9e-04,NA
2013-09-30,9e-04,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,NA
2014-03-14,0,NA
2014-03-22,0,NA
2014-03-30,0,NA
2014-04-07,NA,NA
2014-04-15,3e-04,NA
2014-04-23,0.001,NA
2014-05-01,0.0075,NA
2014-05-09,0.0142,NA
2014-05-17,0.0039,NA
2014-05-25,0.0346,NA
2014-06-02,0.0369,NA
2014-06-10,0.0394,NA
2014-06-18,0.0469,NA
2014-06-26,0.0618,NA
2014-07-04,0.0215,NA
2014-07-12,0.0567,NA
2014-07-20,0.0373,NA
2014-07-28,0.0299,NA
2014-08-05,0.0224,NA
2014-08-13,0.0332,NA
2014-08-21,0.0283,NA
2014-08-29,0.0095,NA
2014-09-06,0.0106,NA
2014-09-14,0.0081,NA
2014-09-22,0.0033,NA
2014-09-30,5e-04,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,NA
2015-03-22,0,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,6e-04,NA
2015-04-23,NA,NA
2015-05-01,0.001,NA
2015-05-09,0.021,NA
2015-05-17,0.046,NA
2015-05-25,0.0358,NA
2015-06-02,0.0306,NA
2015-06-10,0.0208,NA
2015-06-18,0.0726,NA
2015-06-26,0.049,NA
2015-07-04,0.0527,NA
2015-07-12,0.0467,NA
2015-07-20,0.0351,NA
2015-07-28,0.0059,NA
2015-08-05,0.0331,NA
2015-08-13,0.0304,NA
2015-08-21,0.0146,NA
2015-08-29,0.0046,NA
2015-09-06,0.0107,NA
2015-09-14,NA,NA
2015-09-22,2e-04,NA
2015-09-30,4e-04,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,NA
2016-03-13,0,NA
2016-03-21,4e-04,NA
2016-03-29,NA,NA
2016-04-06,0,NA
2016-04-14,NA,NA
2016-04-22,8e-04,NA
2016-04-30,0.0083,NA
2016-05-08,0.0249,NA
2016-05-16,0.0161,NA
2016-05-24,0.0224,NA
2016-06-01,0.0221,NA
2016-06-09,0.0442,NA
2016-06-17,0.0492,NA
2016-06-25,0.0519,NA
2016-07-03,0.0636,NA
2016-07-11,0.0356,NA
2016-07-19,0.0396,NA
2016-07-27,0.0435,NA
2016-08-04,0.0145,NA
2016-08-12,0.029,NA
2016-08-20,0.0246,NA
2016-08-28,0.0149,NA
2016-09-05,0.009,NA
2016-09-13,0.0054,NA
