dates,open_shrublands_mean,open_shrublands_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,9e-04,0
2010-04-23,0.00485,0.000778
2010-05-01,0.00555,0.000919
2010-05-09,0.01035,0.001202
2010-05-17,0.0181,0.00099
2010-05-25,0.044,0.001131
2010-06-02,0.03645,0.004172
2010-06-10,0.05105,0.003748
2010-06-18,0.04385,0.003606
2010-06-26,0.04495,0.011667
2010-07-04,0.0407,0.001273
2010-07-12,0.01535,0.007566
2010-07-20,0.0256,0.001838
2010-07-28,0.0444,0.002828
2010-08-05,0.0152,0
2010-08-13,0.0309,0.005374
2010-08-21,0.0092,0.009758
2010-08-29,0.00725,0.001061
2010-09-06,0.0124,0.001131
2010-09-14,0.00675,7.1e-05
2010-09-22,0.00025,7.1e-05
2010-09-30,0.00095,7.1e-05
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,NA
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,0,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,1e-04,0
2011-05-01,9e-04,NA
2011-05-09,0.0011,0
2011-05-17,0.02895,0.002192
2011-05-25,0.0433,0.004101
2011-06-02,0.0272,0.00099
2011-06-10,0.0242,0.000566
2011-06-18,0.04225,0.001909
2011-06-26,0.04675,0.004879
2011-07-04,0.0531,0
2011-07-12,NA,NA
2011-07-20,0.04755,0.000495
2011-07-28,0.04925,0.001768
2011-08-05,0.01735,0.002475
2011-08-13,0.0124,0
2011-08-21,0.0225,0.001838
2011-08-29,0.0171,0.005233
2011-09-06,0.0145,0.000849
2011-09-14,0.0116,0.000849
2011-09-22,9e-04,0
2011-09-30,0.00095,7.1e-05
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,0,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,1e-04,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,NA
2012-04-30,1e-04,0
2012-05-08,0.0016,0
2012-05-16,0.02035,0.001909
2012-05-24,0.01915,0.000919
2012-06-01,0.04065,0.002051
2012-06-09,0.04065,0.001626
2012-06-17,0.05945,0.003323
2012-06-25,0.00855,0.000495
2012-07-03,0.00525,7.1e-05
2012-07-11,0.006,0.002546
2012-07-19,0.0085,0.002404
2012-07-27,0.00525,0.002051
2012-08-04,0.0056,0.002828
2012-08-12,0.00825,0.005445
2012-08-20,0.0047,0.00099
2012-08-28,0.0024,0
2012-09-05,0.0015,0
2012-09-13,0.0013,0
2012-09-21,0.0019,0
2012-09-29,0.00055,7.1e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.0035,0
2013-06-02,0.0075,0.001838
2013-06-10,0.0092,0
2013-06-18,0.0046,0
2013-06-26,0.0149,0.005515
2013-07-04,0.00875,0.000495
2013-07-12,0.0117,0.001556
2013-07-20,0.0116,0.000566
2013-07-28,0.0151,0
2013-08-05,0.0158,0.00297
2013-08-13,0.0063,0
2013-08-21,0.002,NA
2013-08-29,0.0021,0
2013-09-06,0.0032,0.000424
2013-09-14,9e-04,0
2013-09-22,7e-04,0
2013-09-30,3e-04,0.000141
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.00205,0.000212
2014-05-09,0.00365,0.001202
2014-05-17,0.00255,0.000212
2014-05-25,0.00625,0.000354
2014-06-02,0.0089,0.00297
2014-06-10,0.00895,0.002899
2014-06-18,0.01175,0.003041
2014-06-26,0.02305,0.005162
2014-07-04,0.0103,0.000566
2014-07-12,0.0211,0.00693
2014-07-20,0.0081,0
2014-07-28,0.01415,0.004031
2014-08-05,0.00765,0.002051
2014-08-13,0.0117,0
2014-08-21,0.0108,0
2014-08-29,0.0033,0.002263
2014-09-06,0.00295,0.002333
2014-09-14,0.00315,0.002475
2014-09-22,7e-04,0
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0033,0
2015-05-17,0.0132,0.002687
2015-05-25,0.0113,0
2015-06-02,0.0039,NA
2015-06-10,0.0064,0.004667
2015-06-18,0.034,0.006647
2015-06-26,0.02485,0.001344
2015-07-04,0.03385,0.006576
2015-07-12,0.0304,0.00396
2015-07-20,0.01755,0.020294
2015-07-28,0.0055,0.00297
2015-08-05,0.0204,0.005515
2015-08-13,0.01645,0.000212
2015-08-21,0.0088,0.001131
2015-08-29,0.0024,0.000566
2015-09-06,0.0064,0.000707
2015-09-14,6e-04,NA
2015-09-22,NA,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0028,0.000283
2016-05-08,0.00775,0.002758
2016-05-16,0.0045,0.000141
2016-05-24,0.00585,0.000354
2016-06-01,0.00865,0.004879
2016-06-09,0.02475,0.00799
2016-06-17,0.0404,0.004243
