dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000892,4.1e-05
2010-04-23,0.005911,0.001626
2010-05-01,0.006581,0.000835
2010-05-09,0.010052,0.001207
2010-05-17,0.0197,0.001369
2010-05-25,0.048163,0.006323
2010-06-02,0.041848,0.002366
2010-06-10,0.05337,0.004575
2010-06-18,0.048104,0.004272
2010-06-26,0.043637,0.015881
2010-07-04,0.051033,0.003603
2010-07-12,0.023033,0.005739
2010-07-20,0.030056,0.001149
2010-07-28,0.050863,0.002161
2010-08-05,0.024889,0.007538
2010-08-13,0.033659,0.001713
2010-08-21,0.020763,0.001672
2010-08-29,0.010337,0.00067
2010-09-06,0.014304,0.001853
2010-09-14,0.007033,0.00062
2010-09-22,0.000279,0.00011
2010-09-30,0.000933,0.000194
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,0,NA
2011-04-15,0,0
2011-04-23,0.000109,3e-05
2011-05-01,0.000457,0.000237
2011-05-09,0.001108,0.000926
2011-05-17,0.032289,0.002372
2011-05-25,0.047874,0.002111
2011-06-02,0.030578,0.001355
2011-06-10,0.027267,0.003704
2011-06-18,0.052415,0.009559
2011-06-26,0.05283,0.003018
2011-07-04,0.03747,0.022019
2011-07-12,0.00635,0.001142
2011-07-20,0.04983,0.00669
2011-07-28,0.0543,0.00269
2011-08-05,0.025059,0.00676
2011-08-13,0.016496,0.003221
2011-08-21,0.030007,0.002571
2011-08-29,0.019815,0.001426
2011-09-06,0.014822,0.001023
2011-09-14,0.013222,0.001857
2011-09-22,0.001042,0.000755
2011-09-30,0.001867,0.000848
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,2e-04,0
2012-04-22,0.000333,8.2e-05
2012-04-30,0.000128,6.7e-05
2012-05-08,0.002743,0.000841
2012-05-16,0.022537,0.001498
2012-05-24,0.020448,0.001731
2012-06-01,0.037811,0.006123
2012-06-09,0.04643,0.002927
2012-06-17,0.067163,0.002971
2012-06-25,0.052281,0.011181
2012-07-03,0.062267,0.00244
2012-07-11,0.047165,0.001971
2012-07-19,0.045363,0.002906
2012-07-27,0.048248,0.001678
2012-08-04,0.046619,0.002496
2012-08-12,0.033981,0.003211
2012-08-20,0.026552,0.008781
2012-08-28,0.012607,0.000947
2012-09-05,0.008285,0.002937
2012-09-13,0.009144,0.001148
2012-09-21,0.009963,0.00097
2012-09-29,0.001054,9e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,NA
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,1e-04,0
2013-05-09,6e-04,0
2013-05-17,0.007128,0.003665
2013-05-25,0.032281,0.002011
2013-06-02,0.030563,0.002321
2013-06-10,0.038852,0.002015
2013-06-18,0.056422,0.004096
2013-06-26,0.064441,0.003071
2013-07-04,0.040865,0.009871
2013-07-12,0.053674,0.002603
2013-07-20,0.050115,0.00431
2013-07-28,0.065593,0.002345
2013-08-05,0.061074,0.004594
2013-08-13,0.026881,0.011558
2013-08-21,0.011544,0.000852
2013-08-29,0.016915,0.000907
2013-09-06,0.012941,0.000663
2013-09-14,0.000937,0.000161
2013-09-22,0.001104,9.4e-05
2013-09-30,0.00062,0.000381
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,3e-04,0
2014-04-23,0.001319,0.000296
2014-05-01,0.012226,0.002645
2014-05-09,0.020041,0.002604
2014-05-17,0.004324,0.002091
2014-05-25,0.031789,0.002259
2014-06-02,0.040815,0.002323
2014-06-10,0.041607,0.003297
2014-06-18,0.045726,0.002505
2014-06-26,0.062,0.002625
2014-07-04,0.034222,0.008124
2014-07-12,0.053685,0.004121
2014-07-20,0.025007,0.005706
2014-07-28,0.033267,0.004886
2014-08-05,0.018096,0.007828
2014-08-13,0.03153,0.001763
2014-08-21,0.030222,0.003877
2014-08-29,0.010822,0.000541
2014-09-06,0.010878,0.000655
2014-09-14,0.008319,0.001002
2014-09-22,0.003707,0.000349
2014-09-30,0.000967,0.000196
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00015,5.5e-05
2015-04-15,6e-04,0
2015-04-23,NA,NA
2015-05-01,0.0013,0.000466
2015-05-09,0.022893,0.002381
2015-05-17,0.046415,0.002155
2015-05-25,0.038619,0.002221
2015-06-02,0.02837,0.006125
2015-06-10,0.015652,0.008078
2015-06-18,0.065652,0.006495
2015-06-26,0.041663,0.004039
2015-07-04,0.056352,0.004603
2015-07-12,0.036811,0.006165
2015-07-20,0.036356,0.007502
2015-07-28,0.033859,0.010076
2015-08-05,0.037419,0.002328
2015-08-13,0.02653,0.00149
2015-08-21,0.016844,0.000981
2015-08-29,0.004844,0.001445
2015-09-06,0.011607,0.001118
2015-09-14,0.000855,0.000225
2015-09-22,0.000333,0.000235
2015-09-30,0.000387,0.000141
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00023,0.00013
2016-03-29,0,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001093,0.000356
2016-04-30,0.003815,0.000953
2016-05-08,0.028311,0.003585
