dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000835,9.4e-05
2010-04-23,0.00478,0.001749
2010-05-01,0.005985,0.001182
2010-05-09,0.009133,0.001604
2010-05-17,0.018889,0.002289
2010-05-25,0.041145,0.005605
2010-06-02,0.038323,0.003067
2010-06-10,0.050396,0.005974
2010-06-18,0.045598,0.004929
2010-06-26,0.042323,0.011736
2010-07-04,0.046208,0.004748
2010-07-12,0.021643,0.00695
2010-07-20,0.028146,0.004497
2010-07-28,0.046189,0.003731
2010-08-05,0.026563,0.007005
2010-08-13,0.030641,0.002931
2010-08-21,0.016418,0.004959
2010-08-29,0.01091,0.004097
2010-09-06,0.012729,0.001556
2010-09-14,0.006939,0.000792
2010-09-22,0.000277,0.000153
2010-09-30,0.000774,0.000337
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000124,4.3e-05
2011-05-01,0.00038,0.000147
2011-05-09,0.000786,0.000272
2011-05-17,0.029464,0.002303
2011-05-25,0.045598,0.004015
2011-06-02,0.028303,0.001865
2011-06-10,0.022794,0.005139
2011-06-18,0.044714,0.007301
2011-06-26,0.048556,0.003767
2011-07-04,0.049563,0.01474
2011-07-12,0.006022,0.002132
2011-07-20,0.047765,0.006972
2011-07-28,0.049484,0.006401
2011-08-05,0.016825,0.006141
2011-08-13,0.016754,0.003669
2011-08-21,0.026267,0.003505
2011-08-29,0.018072,0.002536
2011-09-06,0.013768,0.001359
2011-09-14,0.011823,0.00142
2011-09-22,0.000845,0.000678
2011-09-30,0.001529,0.000726
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000233,7.6e-05
2012-04-22,3e-04,0
2012-04-30,0.000108,3.9e-05
2012-05-08,0.002079,0.00076
2012-05-16,0.020417,0.002134
2012-05-24,0.018166,0.002571
2012-06-01,0.031856,0.008079
2012-06-09,0.041606,0.006259
2012-06-17,0.063135,0.005278
2012-06-25,0.033106,0.020734
2012-07-03,0.044038,0.021173
2012-07-11,0.030398,0.01739
2012-07-19,0.030492,0.016083
2012-07-27,0.034251,0.016072
2012-08-04,0.033552,0.014605
2012-08-12,0.023469,0.011224
2012-08-20,0.020187,0.009347
2012-08-28,0.008645,0.004049
2012-09-05,0.004251,0.002716
2012-09-13,0.005909,0.003088
2012-09-21,0.006993,0.00336
2012-09-29,0.00094,0.000366
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,NA
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,NA
2013-05-09,6e-04,0
2013-05-17,0.003829,0.00293
2013-05-25,0.023155,0.011812
2013-06-02,0.022382,0.010337
2013-06-10,0.026966,0.01379
2013-06-18,0.043276,0.019399
2013-06-26,0.047033,0.019574
2013-07-04,0.03549,0.013977
2013-07-12,0.039899,0.015909
2013-07-20,0.037889,0.014621
2013-07-28,0.050255,0.019037
2013-08-05,0.045261,0.016585
2013-08-13,0.011227,0.010406
2013-08-21,0.009311,0.003823
2013-08-29,0.012261,0.005043
2013-09-06,0.009994,0.003832
2013-09-14,0.001087,0.000622
2013-09-22,0.000784,0.000177
2013-09-30,0.000688,0.000496
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,3e-04,0
2014-04-23,0.001129,0.000315
2014-05-01,0.009373,0.004746
2014-05-09,0.014861,0.007072
2014-05-17,0.004167,0.001814
2014-05-25,0.02302,0.010035
2014-06-02,0.031217,0.011238
2014-06-10,0.030214,0.010951
2014-06-18,0.035392,0.011579
2014-06-26,0.049355,0.014518
2014-07-04,0.025636,0.010546
2014-07-12,0.04285,0.010917
2014-07-20,0.022404,0.011089
2014-07-28,0.024108,0.007799
2014-08-05,0.010979,0.006195
2014-08-13,0.026211,0.006803
2014-08-21,0.022423,0.007073
2014-08-29,0.008414,0.002745
2014-09-06,0.008272,0.002734
2014-09-14,0.006372,0.002716
2014-09-22,0.002644,0.001204
2014-09-30,0.000749,0.000262
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,1e-04,0
2015-04-15,0.000602,1.4e-05
2015-04-23,NA,NA
2015-05-01,0.001215,0.000415
2015-05-09,0.016176,0.007534
2015-05-17,0.035727,0.012414
2015-05-25,0.029922,0.009058
2015-06-02,0.020762,0.009033
2015-06-10,0.018818,0.008332
2015-06-18,0.053648,0.011217
2015-06-26,0.039449,0.008291
2015-07-04,0.045714,0.010196
2015-07-12,0.034608,0.007288
2015-07-20,0.034374,0.009743
2015-07-28,0.026083,0.010314
2015-08-05,0.030983,0.00553
2015-08-13,0.022436,0.004123
2015-08-21,0.013945,0.002616
2015-08-29,0.003368,0.001111
2015-09-06,0.009811,0.002448
2015-09-14,0.000748,0.000227
2015-09-22,0.000231,5.4e-05
2015-09-30,0.00028,8.9e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000114,6e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001122,0.000473
2016-04-30,0.00486,0.002975
2016-05-08,0.019938,0.006321
2016-05-16,0.011496,0.004218
