dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.005538,0.000883
2010-05-01,0.0056,0.000312
2010-05-09,0.008238,0.000663
2010-05-17,0.016638,0.000661
2010-05-25,0.042338,0.003984
2010-06-02,0.037888,0.000946
2010-06-10,0.045588,0.00286
2010-06-18,0.045225,0.005468
2010-06-26,0.032225,0.016937
2010-07-04,0.0456,0.002054
2010-07-12,0.024338,0.002005
2010-07-20,0.02645,0.000946
2010-07-28,0.0425,0.001784
2010-08-05,0.022225,0.005543
2010-08-13,0.029438,0.001658
2010-08-21,0.01735,0.001187
2010-08-29,0.00805,0.001468
2010-09-06,0.0115,0.002078
2010-09-14,0.005,0.000873
2010-09-22,0.000575,0.000349
2010-09-30,0.000725,0.000266
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000114,3.8e-05
2011-05-01,0.00045,0.00016
2011-05-09,0.001913,0.001608
2011-05-17,0.026875,0.001455
2011-05-25,0.042062,0.000984
2011-06-02,0.026538,0.001573
2011-06-10,0.02955,0.002921
2011-06-18,0.042838,0.005252
2011-06-26,0.049762,0.003027
2011-07-04,0.039157,0.017342
2011-07-12,0.003857,0.001055
2011-07-20,0.044325,0.005565
2011-07-28,0.048538,0.003422
2011-08-05,0.019,0.000691
2011-08-13,0.016038,0.00339
2011-08-21,0.025225,0.002037
2011-08-29,0.016512,0.000989
2011-09-06,0.011525,0.00146
2011-09-14,0.010238,0.001352
2011-09-22,8e-04,0.000245
2011-09-30,0.001125,0.000292
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,2e-04,0
2012-04-30,0.000113,3.5e-05
2012-05-08,0.002243,0.000746
2012-05-16,0.019737,0.00093
2012-05-24,0.019338,0.002251
2012-06-01,0.0345,0.002484
2012-06-09,0.0411,0.001202
2012-06-17,0.056412,0.001433
2012-06-25,0.045438,0.00176
2012-07-03,0.054612,0.001535
2012-07-11,0.0409,0.001673
2012-07-19,0.0388,0.00158
2012-07-27,0.040575,0.001267
2012-08-04,0.041112,0.002664
2012-08-12,0.027288,0.001121
2012-08-20,0.010138,0.004256
2012-08-28,0.01125,0.000185
2012-09-05,0.007138,0.002165
2012-09-13,0.006475,0.001096
2012-09-21,0.007912,0.000854
2012-09-29,0.000862,0.00013
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,NA
2013-05-01,NA,NA
2013-05-09,0.000917,0.000354
2013-05-17,0.0046,0.002629
2013-05-25,0.027575,0.001779
2013-06-02,0.028025,0.002248
2013-06-10,0.0341,0.001576
2013-06-18,0.048388,0.002391
2013-06-26,0.054262,0.001125
2013-07-04,0.035017,0.003859
2013-07-12,0.046038,0.000936
2013-07-20,0.042625,0.003361
2013-07-28,0.054712,0.001746
2013-08-05,0.051738,0.002288
2013-08-13,0.01865,0.002906
2013-08-21,0.0104,0
2013-08-29,0.014025,0.000803
2013-09-06,0.00985,0.001117
2013-09-14,8e-04,0
2013-09-22,0.001012,0.000136
2013-09-30,3e-04,0.00037
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000171,4.9e-05
2014-04-15,0.000125,4.6e-05
2014-04-23,0.001412,0.000242
2014-05-01,0.009275,0.002663
2014-05-09,0.014975,0.003487
2014-05-17,0.003857,0.000709
2014-05-25,0.02105,0.006448
2014-06-02,0.036762,0.002131
2014-06-10,0.036788,0.001718
2014-06-18,0.0437,0.00312
2014-06-26,0.056312,0.003048
2014-07-04,0.030275,0.006439
2014-07-12,0.046375,0.002337
2014-07-20,0.021988,0.005676
2014-07-28,0.027775,0.001309
2014-08-05,0.017175,0.007467
2014-08-13,0.026262,0.001513
2014-08-21,0.027275,0.00245
2014-08-29,0.008788,0.001037
2014-09-06,0.008238,0.001021
2014-09-14,0.006725,0.000341
2014-09-22,0.002788,0.000344
2014-09-30,0.000675,0.000212
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000138,5.2e-05
2015-04-15,6e-04,0
2015-04-23,0.000714,0.000267
2015-05-01,0.001362,0.000475
2015-05-09,0.01925,0.002244
2015-05-17,0.0389,0.002659
2015-05-25,0.034075,0.002095
2015-06-02,0.019275,0.003745
2015-06-10,0.01934,0.011376
2015-06-18,0.056612,0.003067
2015-06-26,0.034088,0.003083
2015-07-04,0.0501,0.003257
2015-07-12,0.035662,0.007464
2015-07-20,0.027912,0.008782
2015-07-28,0.031562,0.001816
2015-08-05,0.030625,0.001283
2015-08-13,0.023288,0.001011
2015-08-21,0.014175,0.000876
2015-08-29,0.00525,0.001375
2015-09-06,0.009837,0.000593
2015-09-14,6e-04,0
2015-09-22,0.000213,3.5e-05
2015-09-30,0.00032,4.5e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,3e-04,0
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001425,0.000324
2016-04-30,0.004075,0.000791
2016-05-08,0.0249,0.002056
