dates,open_shrublands_mean,open_shrublands_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.00465,0.001061
2010-05-01,0.005,0.000707
2010-05-09,0.00925,0.001202
2010-05-17,0.0166,0.000849
2010-05-25,0.03965,0.000919
2010-06-02,0.03355,0.003889
2010-06-10,0.0465,0.003111
2010-06-18,0.0405,0.002828
2010-06-26,0.0402,0.009475
2010-07-04,0.0368,0.001273
2010-07-12,0.01425,0.006859
2010-07-20,0.0227,0.001414
2010-07-28,0.03895,0.002333
2010-08-05,0.0134,0
2010-08-13,0.02825,0.004596
2010-08-21,0.00845,0.00898
2010-08-29,0.00665,0.000919
2010-09-06,0.01105,0.001061
2010-09-14,0.0058,0.000141
2010-09-22,2e-04,0
2010-09-30,7e-04,0.000283
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,NA
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,0,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,1e-04,0
2011-05-01,7e-04,NA
2011-05-09,0.001,0.000141
2011-05-17,0.02705,0.002051
2011-05-25,0.03975,0.003748
2011-06-02,0.0251,0.000849
2011-06-10,0.02215,0.000495
2011-06-18,0.0383,0.001838
2011-06-26,0.0426,0.004243
2011-07-04,0.0476,0
2011-07-12,NA,NA
2011-07-20,0.04175,0.000636
2011-07-28,0.0435,0.001697
2011-08-05,0.01585,0.002192
2011-08-13,0.0115,0
2011-08-21,0.0205,0.001556
2011-08-29,0.01535,0.004455
2011-09-06,0.01305,0.000778
2011-09-14,0.0102,0.000707
2011-09-22,9e-04,0
2011-09-30,0.00075,7.1e-05
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,0,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,0,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,NA
2012-04-30,1e-04,0
2012-05-08,0.0014,0
2012-05-16,0.01875,0.001768
2012-05-24,0.01765,0.000778
2012-06-01,0.03685,0.001626
2012-06-09,0.0372,0.001414
2012-06-17,0.05215,0.002475
2012-06-25,0.0078,0.000566
2012-07-03,0.005,0
2012-07-11,0.0056,0.002263
2012-07-19,0.0079,0.002263
2012-07-27,0.00475,0.001909
2012-08-04,0.00535,0.002899
2012-08-12,0.0077,0.00495
2012-08-20,0.0043,0.000849
2012-08-28,0.0021,0
2012-09-05,0.0014,0
2012-09-13,0.0011,0
2012-09-21,0.0016,0
2012-09-29,3e-04,0
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.0033,0
2013-06-02,0.0071,0.001697
2013-06-10,0.0088,0
2013-06-18,0.0043,0
2013-06-26,0.0137,0.00495
2013-07-04,0.00815,0.000212
2013-07-12,0.01085,0.001485
2013-07-20,0.01075,0.000636
2013-07-28,0.0141,0
2013-08-05,0.01425,0.002475
2013-08-13,0.0055,0
2013-08-21,0.0019,NA
2013-08-29,0.0019,0
2013-09-06,0.00285,0.000636
2013-09-14,8e-04,0
2013-09-22,4e-04,0
2013-09-30,0.00015,7.1e-05
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0019,0.000283
2014-05-09,0.00355,0.001202
2014-05-17,0.0024,0.000283
2014-05-25,0.0059,0.000424
2014-06-02,0.0084,0.002828
2014-06-10,0.0083,0.002828
2014-06-18,0.011,0.002828
2014-06-26,0.0211,0.004667
2014-07-04,0.00975,0.000495
2014-07-12,0.0195,0.006223
2014-07-20,0.0074,0
2014-07-28,0.0128,0.00396
2014-08-05,0.007,0.001838
2014-08-13,0.011,0
2014-08-21,0.0101,0
2014-08-29,0.003,0.001838
2014-09-06,0.0028,0.002121
2014-09-14,0.00275,0.002192
2014-09-22,0.00065,7.1e-05
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0031,0
2015-05-17,0.01215,0.002616
2015-05-25,0.01055,7.1e-05
2015-06-02,0.0036,NA
2015-06-10,0.006,0.004525
2015-06-18,0.03085,0.005869
2015-06-26,0.02205,0.001202
2015-07-04,0.03085,0.005728
2015-07-12,0.02725,0.003323
2015-07-20,0.0159,0.017961
2015-07-28,0.0052,0.002687
2015-08-05,0.01835,0.004738
2015-08-13,0.01515,0.000212
2015-08-21,0.008,0.00099
2015-08-29,0.0023,0.000566
2015-09-06,0.0058,0.000566
2015-09-14,6e-04,NA
2015-09-22,NA,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0026,0.000566
2016-05-08,0.00705,0.002475
2016-05-16,0.00405,0.000212
2016-05-24,0.00555,0.000212
2016-06-01,0.008,0.004384
2016-06-09,0.0233,0.007212
2016-06-17,0.03695,0.003465
2016-06-25,0.02955,0.000354
