dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.005544,0.001482
2010-05-01,0.005807,0.000649
2010-05-09,0.008959,0.000998
2010-05-17,0.018074,0.001224
2010-05-25,0.043263,0.005244
2010-06-02,0.038485,0.002133
2010-06-10,0.048537,0.003832
2010-06-18,0.044081,0.003725
2010-06-26,0.0389,0.013766
2010-07-04,0.045963,0.003034
2010-07-12,0.02113,0.005193
2010-07-20,0.026678,0.001074
2010-07-28,0.044126,0.001638
2010-08-05,0.021711,0.006139
2010-08-13,0.030504,0.001597
2010-08-21,0.018648,0.001355
2010-08-29,0.009207,0.000609
2010-09-06,0.012637,0.001545
2010-09-14,0.006015,0.000568
2010-09-22,0.000213,5.4e-05
2010-09-30,0.000807,0.000194
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,0,NA
2011-04-15,0,0
2011-04-23,0.000109,3e-05
2011-05-01,0.000386,0.000146
2011-05-09,0.000971,0.000782
2011-05-17,0.029819,0.002228
2011-05-25,0.043833,0.001837
2011-06-02,0.028004,0.0012
2011-06-10,0.025104,0.003264
2011-06-18,0.046607,0.008061
2011-06-26,0.047678,0.002575
2011-07-04,0.033663,0.019178
2011-07-12,0.00575,0.001093
2011-07-20,0.043367,0.00526
2011-07-28,0.047674,0.00221
2011-08-05,0.021815,0.005081
2011-08-13,0.015178,0.002904
2011-08-21,0.026774,0.002034
2011-08-29,0.017704,0.001208
2011-09-06,0.013326,0.000868
2011-09-14,0.011519,0.001426
2011-09-22,0.000862,0.000462
2011-09-30,0.001452,0.000639
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,0.000233,8.2e-05
2012-04-30,0.000111,3.2e-05
2012-05-08,0.002536,0.000777
2012-05-16,0.020715,0.001373
2012-05-24,0.018859,0.001547
2012-06-01,0.03437,0.005194
2012-06-09,0.042222,0.002452
2012-06-17,0.05797,0.002216
2012-06-25,0.045385,0.009247
2012-07-03,0.05517,0.001939
2012-07-11,0.041958,0.001627
2012-07-19,0.039578,0.002384
2012-07-27,0.041274,0.001241
2012-08-04,0.041404,0.002094
2012-08-12,0.029907,0.003035
2012-08-20,0.023919,0.00772
2012-08-28,0.011311,0.000822
2012-09-05,0.007352,0.002468
2012-09-13,0.007993,0.000951
2012-09-21,0.008685,0.000865
2012-09-29,0.000969,7.4e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,NA
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.006632,0.003286
2013-05-25,0.029644,0.001804
2013-06-02,0.027944,0.00208
2013-06-10,0.035526,0.001775
2013-06-18,0.050378,0.003422
2013-06-26,0.056274,0.002383
2013-07-04,0.036617,0.008577
2013-07-12,0.046985,0.002065
2013-07-20,0.044074,0.003371
2013-07-28,0.056507,0.001744
2013-08-05,0.051881,0.003301
2013-08-13,0.022689,0.009487
2013-08-21,0.010452,0.00076
2013-08-29,0.014856,0.000771
2013-09-06,0.011296,0.000552
2013-09-14,0.000821,9.2e-05
2013-09-22,0.000904,0.000174
2013-09-30,0.000448,0.000371
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,0.000182,3.9e-05
2014-04-23,0.001144,0.000287
2014-05-01,0.01113,0.002372
2014-05-09,0.018315,0.00234
2014-05-17,0.00401,0.00186
2014-05-25,0.028859,0.001943
2014-06-02,0.037237,0.002016
2014-06-10,0.037626,0.002788
2014-06-18,0.041737,0.00224
2014-06-26,0.0552,0.002129
2014-07-04,0.031011,0.007204
2014-07-12,0.048511,0.003348
2014-07-20,0.022352,0.004787
2014-07-28,0.028956,0.00408
2014-08-05,0.015674,0.006605
2014-08-13,0.027222,0.001479
2014-08-21,0.0274,0.003214
2014-08-29,0.009656,0.000451
2014-09-06,0.009489,0.000547
2014-09-14,0.007133,0.000764
2014-09-22,0.003,0.000184
2014-09-30,0.000741,0.000224
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00015,5.5e-05
2015-04-15,0.000596,2e-05
2015-04-23,NA,NA
2015-05-01,0.001256,0.000424
2015-05-09,0.021022,0.002163
2015-05-17,0.041726,0.00186
2015-05-25,0.035115,0.001933
2015-06-02,0.025522,0.005241
2015-06-10,0.01437,0.007196
2015-06-18,0.057478,0.005094
2015-06-26,0.036396,0.0034
2015-07-04,0.050085,0.003737
2015-07-12,0.032633,0.005062
2015-07-20,0.032415,0.006283
2015-07-28,0.029452,0.008574
2015-08-05,0.032656,0.001759
2015-08-13,0.024096,0.00137
2015-08-21,0.014859,0.000758
2015-08-29,0.00437,0.001303
2015-09-06,0.010344,0.000966
2015-09-14,0.000791,0.000158
2015-09-22,0.000219,4.8e-05
2015-09-30,0.000293,7e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00016,9.4e-05
2016-03-29,0,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001022,0.000295
2016-04-30,0.003522,0.000883
2016-05-08,0.025859,0.003158
