dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.004452,0.001589
2010-05-01,0.005311,0.001016
2010-05-09,0.008157,0.001366
2010-05-17,0.017333,0.002072
2010-05-25,0.037203,0.004934
2010-06-02,0.035281,0.00285
2010-06-10,0.045986,0.005233
2010-06-18,0.041826,0.004349
2010-06-26,0.037908,0.010121
2010-07-04,0.041781,0.004185
2010-07-12,0.019867,0.006223
2010-07-20,0.024926,0.003844
2010-07-28,0.04037,0.003287
2010-08-05,0.022942,0.00588
2010-08-13,0.027886,0.002633
2010-08-21,0.014871,0.004394
2010-08-29,0.009765,0.003497
2010-09-06,0.011245,0.001372
2010-09-14,0.005913,0.000663
2010-09-22,0.000225,9.4e-05
2010-09-30,0.000663,0.000283
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000109,2.9e-05
2011-05-01,0.000338,0.000118
2011-05-09,0.000685,0.000275
2011-05-17,0.027301,0.002129
2011-05-25,0.041796,0.003673
2011-06-02,0.025967,0.001748
2011-06-10,0.020928,0.004565
2011-06-18,0.040075,0.006338
2011-06-26,0.043957,0.003401
2011-07-04,0.044378,0.012897
2011-07-12,0.005406,0.001977
2011-07-20,0.041758,0.005636
2011-07-28,0.04368,0.00547
2011-08-05,0.014949,0.005219
2011-08-13,0.015308,0.003216
2011-08-21,0.023716,0.003021
2011-08-29,0.016223,0.002186
2011-09-06,0.01238,0.001211
2011-09-14,0.010333,0.001208
2011-09-22,0.000681,0.00045
2011-09-30,0.001202,0.000525
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,0.000245,5.1e-05
2012-04-30,0.000104,2e-05
2012-05-08,0.001917,0.000738
2012-05-16,0.018808,0.001934
2012-05-24,0.01677,0.002342
2012-06-01,0.029087,0.00728
2012-06-09,0.038064,0.005629
2012-06-17,0.055011,0.004505
2012-06-25,0.028986,0.017716
2012-07-03,0.039371,0.018636
2012-07-11,0.027231,0.015331
2012-07-19,0.026877,0.013917
2012-07-27,0.029614,0.013638
2012-08-04,0.030083,0.012729
2012-08-12,0.02067,0.009721
2012-08-20,0.018386,0.008371
2012-08-28,0.007755,0.003618
2012-09-05,0.003861,0.002377
2012-09-13,0.005208,0.002695
2012-09-21,0.006072,0.002939
2012-09-29,0.000739,0.000368
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,NA
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,NA
2013-05-09,6e-04,0
2013-05-17,0.003581,0.002638
2013-05-25,0.021286,0.010769
2013-06-02,0.020505,0.009373
2013-06-10,0.024737,0.012574
2013-06-18,0.038737,0.017054
2013-06-26,0.04156,0.016957
2013-07-04,0.031667,0.012141
2013-07-12,0.03535,0.013817
2013-07-20,0.033652,0.012656
2013-07-28,0.043758,0.016079
2013-08-05,0.039136,0.01393
2013-08-13,0.009769,0.00857
2013-08-21,0.008475,0.003387
2013-08-29,0.010872,0.004419
2013-09-06,0.008776,0.003255
2013-09-14,0.000921,0.00054
2013-09-22,0.000491,0.000239
2013-09-30,0.000495,0.000425
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,0.000198,1.4e-05
2014-04-23,0.00101,0.000306
2014-05-01,0.00854,0.004282
2014-05-09,0.013621,0.006366
2014-05-17,0.00378,0.001615
2014-05-25,0.020995,0.009003
2014-06-02,0.02857,0.01007
2014-06-10,0.02759,0.009814
2014-06-18,0.032442,0.010432
2014-06-26,0.044225,0.012683
2014-07-04,0.023297,0.009346
2014-07-12,0.03893,0.00973
2014-07-20,0.019805,0.009432
2014-07-28,0.021374,0.006663
2014-08-05,0.009722,0.005212
2014-08-13,0.022862,0.005614
2014-08-21,0.020562,0.006254
2014-08-29,0.007502,0.002435
2014-09-06,0.007236,0.002321
2014-09-14,0.005472,0.002325
2014-09-22,0.002176,0.000935
2014-09-30,0.000519,0.000213
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,1e-04,0
2015-04-15,0.000555,5e-05
2015-04-23,NA,NA
2015-05-01,0.001178,0.000352
2015-05-09,0.014892,0.00687
2015-05-17,0.032296,0.011068
2015-05-25,0.0273,0.008118
2015-06-02,0.018864,0.008061
2015-06-10,0.017202,0.007402
2015-06-18,0.047613,0.009495
2015-06-26,0.034402,0.006978
2015-07-04,0.041007,0.008797
2015-07-12,0.030745,0.006195
2015-07-20,0.030411,0.008217
2015-07-28,0.023078,0.008822
2015-08-05,0.027286,0.004706
2015-08-13,0.020253,0.003554
2015-08-21,0.012377,0.002229
2015-08-29,0.00305,0.000984
2015-09-06,0.008776,0.002129
2015-09-14,7e-04,0.000152
2015-09-22,0.000169,4.9e-05
2015-09-30,0.000191,0.000109
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000106,3.4e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001054,0.000389
2016-04-30,0.00446,0.002689
2016-05-08,0.018312,0.005745
2016-05-16,0.010408,0.003744
