MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,,,,,,,,2,0,0.00
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,1,50.00
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,2,100.00
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,2,100.00
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,0.0001,0.0001,0.0002,0.0000,0.0001,0.0000,0.0000,2,2,100.00
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0007,0.0007,0.0014,0.0000,0.0007,0.0000,0.0000,2,2,100.00
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0039,0.0054,0.0093,0.0015,0.0047,0.0000,0.0008,2,2,100.00
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0045,0.0055,0.0100,0.0010,0.0050,0.0000,0.0005,2,2,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0084,0.0101,0.0185,0.0017,0.0093,0.0000,0.0008,2,2,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0160,0.0172,0.0332,0.0012,0.0166,0.0000,0.0006,2,2,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0390,0.0403,0.0793,0.0013,0.0397,0.0000,0.0006,2,2,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0308,0.0363,0.0671,0.0055,0.0336,0.0000,0.0027,2,2,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0443,0.0487,0.0930,0.0044,0.0465,0.0000,0.0022,2,2,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0385,0.0425,0.0810,0.0040,0.0405,0.0000,0.0020,2,2,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0335,0.0469,0.0804,0.0134,0.0402,0.0000,0.0067,2,2,100.00
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0359,0.0377,0.0736,0.0018,0.0368,0.0000,0.0009,2,2,100.00
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0094,0.0191,0.0285,0.0097,0.0142,0.0000,0.0048,2,2,100.00
A2010201,2010-07-20,MOD17A2H,PsnNet_500m,0.0217,0.0237,0.0454,0.0020,0.0227,0.0000,0.0010,2,2,100.00
A2010209,2010-07-28,MOD17A2H,PsnNet_500m,0.0373,0.0406,0.0779,0.0033,0.0390,0.0000,0.0016,2,2,100.00
A2010217,2010-08-05,MOD17A2H,PsnNet_500m,0.0134,0.0134,0.0268,0.0000,0.0134,0.0000,0.0000,2,2,100.00
A2010225,2010-08-13,MOD17A2H,PsnNet_500m,0.0250,0.0315,0.0565,0.0065,0.0283,0.0000,0.0033,2,2,100.00
