Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,266,154,192,244,172,206,221
2002, Cycle 1,264,138,181,237,159,196,214
2003, Cycle 1,272,136,180,243,157,197,216
2004, Cycle 1,267,129,172,245,151,186,207
2005, Cycle 1,258,123,174,235,149,191,209
2006, Cycle 1,290,134,185,254,161,201,224
2007, Cycle 1,276,111,179,252,150,197,217
2008, Cycle 1,264,126,173,242,148,191,212
2009, Cycle 1,266,121,172,241,145,190,210
2010, Cycle 1,275,111,171,249,141,193,216
2011, Cycle 1,274,131,175,248,150,192,214
2012, Cycle 1,255,111,170,228,148,185,205
2013, Cycle 1,285,139,185,253,160,205,226
2014, Cycle 1,276,116,174,248,144,194,215
2015, Cycle 1,270,121,170,244,146,188,209
2016, Cycle 1,284,121,179,249,149,195,213
2017, Cycle 1,253,113,169,232,142,188,207
2018, Cycle 1,272,130,180,248,155,199,218
2019, Cycle 1,268,129,178,241,152,196,216
2004, Cycle 2,288,214,229,271,219,237,250
2009, Cycle 2,311,109,176,258,154,189,217
2012, Cycle 2,258,130,166,229,147,177,194
2013, Cycle 2,054,301,349,039,322,365,016
2014, Cycle 2,255,126,175,235,151,200,215
