dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.001,0.000273
2010-04-23,0.007338,0.001509
2010-05-01,0.006506,0.00042
2010-05-09,0.009056,0.000794
2010-05-17,0.01805,0.00126
2010-05-25,0.04685,0.00413
2010-06-02,0.0446,0.004248
2010-06-10,0.055456,0.004928
2010-06-18,0.052681,0.006325
2010-06-26,0.048925,0.009328
2010-07-04,0.055194,0.006687
2010-07-12,0.026888,0.003215
2010-07-20,0.031175,0.002119
2010-07-28,0.053169,0.003993
2010-08-05,0.022625,0.008134
2010-08-13,0.03775,0.004409
2010-08-21,0.021456,0.002329
2010-08-29,0.009875,0.001178
2010-09-06,0.013975,0.002057
2010-09-14,0.006756,0.000723
2010-09-22,0.000444,0.000423
2010-09-30,0.000962,0.000196
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000113,3.5e-05
2011-05-01,0.000631,0.000189
2011-05-09,0.001594,0.00095
2011-05-17,0.029469,0.001747
2011-05-25,0.049512,0.003257
2011-06-02,0.031406,0.002597
2011-06-10,0.033738,0.008169
2011-06-18,0.053444,0.007423
2011-06-26,0.056875,0.003987
2011-07-04,0.05574,0.012797
2011-07-12,0.004682,0.001375
2011-07-20,0.0549,0.006591
2011-07-28,0.057681,0.003836
2011-08-05,0.024713,0.00648
2011-08-13,0.018369,0.005065
2011-08-21,0.031169,0.002746
2011-08-29,0.02035,0.002116
2011-09-06,0.014306,0.001644
2011-09-14,0.011981,0.001626
2011-09-22,0.001333,0.000565
2011-09-30,0.001612,0.00068
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000321,0.000176
2012-04-22,0.00038,0.000101
2012-04-30,0.000181,9.8e-05
2012-05-08,0.002933,0.000467
2012-05-16,0.021119,0.001365
2012-05-24,0.019288,0.002764
2012-06-01,0.039362,0.003302
2012-06-09,0.049356,0.004395
2012-06-17,0.069631,0.004713
2012-06-25,0.054875,0.004643
2012-07-03,0.065769,0.004562
2012-07-11,0.049738,0.005271
2012-07-19,0.047169,0.003713
2012-07-27,0.051756,0.003869
2012-08-04,0.050256,0.004896
2012-08-12,0.034756,0.00335
2012-08-20,0.021744,0.012209
2012-08-28,0.013231,0.001264
2012-09-05,0.008781,0.001967
2012-09-13,0.008656,0.000942
2012-09-21,0.009962,0.000977
2012-09-29,0.000971,0.000233
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,4e-05,5.5e-05
2013-05-09,0.00097,0.000333
2013-05-17,0.006088,0.00312
2013-05-25,0.030925,0.001986
2013-06-02,0.030219,0.002989
2013-06-10,0.040131,0.004209
2013-06-18,0.058656,0.005668
2013-06-26,0.067806,0.005842
2013-07-04,0.040587,0.012794
2013-07-12,0.056862,0.004004
2013-07-20,0.051175,0.004867
2013-07-28,0.067625,0.00451
2013-08-05,0.059619,0.002074
2013-08-13,0.029592,0.00841
2013-08-21,0.012794,0.001865
2013-08-29,0.017044,0.002018
2013-09-06,0.01195,0.001106
2013-09-14,9e-04,0
2013-09-22,0.001119,5.4e-05
2013-09-30,0.000654,0.000395
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.00035,0.000311
2014-04-15,0.000319,4e-05
2014-04-23,0.001569,0.000255
2014-05-01,0.011106,0.002607
2014-05-09,0.016894,0.003729
2014-05-17,0.004092,0.001259
2014-05-25,0.024131,0.007278
2014-06-02,0.042838,0.002672
2014-06-10,0.04355,0.003122
2014-06-18,0.050612,0.005903
2014-06-26,0.068331,0.006117
2014-07-04,0.033412,0.007366
2014-07-12,0.053,0.003568
2014-07-20,0.023831,0.006938
2014-07-28,0.035156,0.004324
2014-08-05,0.023462,0.009168
2014-08-13,0.033231,0.002846
2014-08-21,0.0318,0.00297
2014-08-29,0.01095,0.001526
2014-09-06,0.010506,0.001126
2014-09-14,0.007531,0.000529
2014-09-22,0.003456,0.000447
2014-09-30,0.000794,0.000232
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000169,4.8e-05
2015-04-15,0.000694,0.000202
2015-04-23,0.00095,0.000262
2015-05-01,0.001462,0.000449
2015-05-09,0.0216,0.00159
2015-05-17,0.048144,0.004564
2015-05-25,0.040962,0.004467
2015-06-02,0.023969,0.006884
2015-06-10,0.030047,0.01395
2015-06-18,0.068619,0.006057
2015-06-26,0.03925,0.004375
2015-07-04,0.058981,0.003728
2015-07-12,0.042844,0.007997
2015-07-20,0.033962,0.012039
2015-07-28,0.037881,0.00331
2015-08-05,0.037569,0.001868
2015-08-13,0.026956,0.002131
2015-08-21,0.0174,0.00141
2015-08-29,0.005688,0.001516
2015-09-06,0.011738,0.001172
2015-09-14,0.000733,0.000216
2015-09-22,0.000538,0.000365
2015-09-30,0.000425,0.000116
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000407,0.000225
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001731,0.000422
2016-04-30,0.004062,0.000625
