dates,open_shrublands_mean,open_shrublands_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,9e-04,0
2010-04-23,0.005775,0.001159
2010-05-01,0.00655,0.001277
2010-05-09,0.010275,0.000699
2010-05-17,0.01855,0.00079
2010-05-25,0.046725,0.003372
2010-06-02,0.037175,0.002829
2010-06-10,0.053,0.003144
2010-06-18,0.0427,0.002813
2010-06-26,0.042075,0.009149
2010-07-04,0.04235,0.003381
2010-07-12,0.012675,0.00535
2010-07-20,0.0261,0.001233
2010-07-28,0.0444,0.001904
2010-08-05,0.01235,0.003355
2010-08-13,0.030925,0.003526
2010-08-21,0.008525,0.006177
2010-08-29,0.0083,0.001749
2010-09-06,0.015625,0.003807
2010-09-14,0.007175,0.000492
2010-09-22,0.000225,5e-05
2010-09-30,0.000967,5.8e-05
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,NA
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,0,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,1e-04,0
2011-05-01,9e-04,NA
2011-05-09,0.0011,0
2011-05-17,0.02995,0.001752
2011-05-25,0.045,0.003311
2011-06-02,0.02835,0.001746
2011-06-10,0.024475,9e-04
2011-06-18,0.04295,0.003882
2011-06-26,0.047825,0.003256
2011-07-04,0.054375,0.00255
2011-07-12,NA,NA
2011-07-20,0.047375,0.00035
2011-07-28,0.049875,0.00125
2011-08-05,0.0207,0.004212
2011-08-13,0.01405,0.0033
2011-08-21,0.02595,0.004325
2011-08-29,0.0198,0.004433
2011-09-06,0.015025,0.0011
2011-09-14,0.012375,0.00104
2011-09-22,9e-04,0
2011-09-30,0.001225,0.000403
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,0,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,1e-04,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,0
2012-04-30,1e-04,0
2012-05-08,0.0019,6e-04
2012-05-16,0.02135,0.001812
2012-05-24,0.01975,0.000981
2012-06-01,0.041375,0.00145
2012-06-09,0.04305,0.002989
2012-06-17,0.060175,0.002219
2012-06-25,0.006825,0.002012
2012-07-03,0.0059,0.002061
2012-07-11,0.0069,0.0018
2012-07-19,0.008875,0.002039
2012-07-27,0.007175,0.002518
2012-08-04,0.0069,0.00349
2012-08-12,0.006325,0.00385
2012-08-20,0.005325,0.002277
2012-08-28,0.0028,0.000462
2012-09-05,0.0015,0
2012-09-13,0.0013,0
2012-09-21,0.0019,0
2012-09-29,0.000525,5e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0014,NA
2013-05-25,0.00365,3e-04
2013-06-02,0.007175,0.001245
2013-06-10,0.0081,0.002832
2013-06-18,0.010775,0.009426
2013-06-26,0.0151,0.00551
2013-07-04,0.009125,0.004277
2013-07-12,0.01225,0.0011
2013-07-20,0.015775,0.005328
2013-07-28,0.018,0.009892
2013-08-05,0.02005,0.007371
2013-08-13,0.00985,0.006451
2013-08-21,0.002867,0.00085
2013-08-29,0.003225,0.00225
2013-09-06,0.0044,0.001409
2013-09-14,9e-04,0
2013-09-22,7e-04,0
2013-09-30,0.000267,0.000115
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.002425,0.000665
2014-05-09,0.0033,0.000812
2014-05-17,0.0024,0.000245
2014-05-25,0.006425,0.000568
2014-06-02,0.0115,0.004285
2014-06-10,0.01075,0.004912
2014-06-18,0.018,0.007549
2014-06-26,0.024875,0.00365
2014-07-04,0.011175,0.001531
2014-07-12,0.02665,0.007555
2014-07-20,0.0084,6e-04
2014-07-28,0.01745,0.005414
2014-08-05,0.00655,0.002014
2014-08-13,0.014175,0.003585
2014-08-21,0.012175,0.002554
2014-08-29,0.00445,0.001949
2014-09-06,0.004425,0.002417
2014-09-14,0.004525,0.002287
2014-09-22,7e-04,0
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.00485,0.001905
2015-05-17,0.01415,0.0019
2015-05-25,0.01375,0.003689
2015-06-02,0.003533,0.001097
2015-06-10,0.008675,0.003899
2015-06-18,0.0389,0.00709
2015-06-26,0.027075,0.0031
2015-07-04,0.031575,0.006217
2015-07-12,0.03145,0.004362
2015-07-20,0.019375,0.011907
2015-07-28,0.00445,0.0021
2015-08-05,0.02275,0.004234
2015-08-13,0.0184,0.002909
2015-08-21,0.01065,0.002287
2015-08-29,0.00265,5e-04
2015-09-06,0.007125,0.001845
2015-09-14,6e-04,0
2015-09-22,NA,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.003425,0.00075
2016-05-08,0.010725,0.0038
2016-05-16,0.0052,0.002197
2016-05-24,0.0083,0.004739
2016-06-01,0.010625,0.003647
