dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,NA
2010-04-07,1e-04,0
2010-04-15,9e-04,0
2010-04-23,0.00576,0.001418
2010-05-01,0.006352,0.000726
2010-05-09,0.0098,0.001312
2010-05-17,0.019272,0.001522
2010-05-25,0.049296,0.003952
2010-06-02,0.043936,0.003421
2010-06-10,0.053156,0.005771
2010-06-18,0.05016,0.004837
2010-06-26,0.048208,0.011848
2010-07-04,0.052156,0.004044
2010-07-12,0.024128,0.00498
2010-07-20,0.030572,0.001616
2010-07-28,0.051488,0.002809
2010-08-05,0.023084,0.008488
2010-08-13,0.035308,0.002596
2010-08-21,0.02074,0.002541
2010-08-29,0.010176,0.000946
2010-09-06,0.014572,0.001996
2010-09-14,0.006952,0.000658
2010-09-22,0.000304,0.000197
2010-09-30,0.000964,8.1e-05
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,NA,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,0,0
2011-04-23,1e-04,0
2011-05-01,0.000457,0.000199
2011-05-09,0.001336,0.001121
2011-05-17,0.031744,0.002735
2011-05-25,0.048884,0.002302
2011-06-02,0.030728,0.001771
2011-06-10,0.026748,0.006015
2011-06-18,0.054744,0.007086
2011-06-26,0.055124,0.003915
2011-07-04,0.041964,0.021312
2011-07-12,0.005475,0.001733
2011-07-20,0.051384,0.008106
2011-07-28,0.05504,0.003402
2011-08-05,0.028736,0.006013
2011-08-13,0.016848,0.003521
2011-08-21,0.030476,0.002152
2011-08-29,0.020324,0.001732
2011-09-06,0.014844,0.001028
2011-09-14,0.01272,0.001575
2011-09-22,0.00109,0.000756
2011-09-30,0.001776,0.000937
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,2e-04,0
2012-04-22,0.00032,6.3e-05
2012-04-30,0.000133,7.3e-05
2012-05-08,0.002733,0.000665
2012-05-16,0.02248,0.002004
2012-05-24,0.019564,0.002531
2012-06-01,0.0369,0.006046
2012-06-09,0.047756,0.003316
2012-06-17,0.06864,0.004084
2012-06-25,0.054612,0.005713
2012-07-03,0.063748,0.003288
2012-07-11,0.047,0.00402
2012-07-19,0.04682,0.003742
2012-07-27,0.049312,0.00237
2012-08-04,0.047832,0.00338
2012-08-12,0.035756,0.00306
2012-08-20,0.028196,0.008599
2012-08-28,0.012464,0.000823
2012-09-05,0.00846,0.002356
2012-09-13,0.00894,0.001848
2012-09-21,0.009852,0.000943
2012-09-29,0.001116,0.000254
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,NA
2013-04-15,0,0
2013-04-23,0,NA
2013-05-01,1e-04,0
2013-05-09,0.000844,0.000296
2013-05-17,0.007567,0.003571
2013-05-25,0.031888,0.003411
2013-06-02,0.03054,0.002883
2013-06-10,0.039528,0.003417
2013-06-18,0.057064,0.004179
2013-06-26,0.066224,0.003173
2013-07-04,0.041619,0.011047
2013-07-12,0.054888,0.002936
2013-07-20,0.051012,0.003317
2013-07-28,0.066608,0.00338
2013-08-05,0.060996,0.005127
2013-08-13,0.030148,0.009989
2013-08-21,0.012136,0.001473
2013-08-29,0.017264,0.001337
2013-09-06,0.012856,0.000719
2013-09-14,9e-04,0
2013-09-22,0.00112,5e-05
2013-09-30,0.000619,0.000415
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000133,7.8e-05
2014-04-15,0.000305,2.1e-05
2014-04-23,0.00134,0.000243
2014-05-01,0.01132,0.00275
2014-05-09,0.019908,0.003277
2014-05-17,0.003981,0.002174
2014-05-25,0.030584,0.004887
2014-06-02,0.041776,0.002231
2014-06-10,0.042824,0.002994
2014-06-18,0.04768,0.003786
2014-06-26,0.064816,0.004593
2014-07-04,0.03188,0.007133
2014-07-12,0.055332,0.003244
2014-07-20,0.02426,0.005355
2014-07-28,0.035792,0.003602
2014-08-05,0.01884,0.009576
2014-08-13,0.032488,0.002124
2014-08-21,0.03068,0.003792
2014-08-29,0.011008,0.000779
2014-09-06,0.010908,0.000662
2014-09-14,0.00798,0.000895
2014-09-22,0.003636,3e-04
2014-09-30,0.00098,0.000425
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000154,5.2e-05
2015-04-15,6e-04,0
2015-04-23,0.00082,0.000268
2015-05-01,0.001378,0.000453
2015-05-09,0.022512,0.002621
2015-05-17,0.047216,0.002957
2015-05-25,0.039912,0.003151
2015-06-02,0.028808,0.005449
2015-06-10,0.017413,0.010335
2015-06-18,0.0672,0.005421
2015-06-26,0.040572,0.003676
2015-07-04,0.059024,0.003494
2015-07-12,0.039676,0.007617
2015-07-20,0.036936,0.007447
2015-07-28,0.037512,0.002913
2015-08-05,0.038668,0.002326
2015-08-13,0.027084,0.001661
2015-08-21,0.01724,0.000952
2015-08-29,0.004708,0.001212
2015-09-06,0.011596,0.00102
2015-09-14,0.00098,0.000175
2015-09-22,0.000356,0.000231
2015-09-30,4e-04,0.000141
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000248,0.000129
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.0013,0.000468
2016-04-30,0.003968,0.000656
2016-05-08,0.02738,0.003623
