dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000838,9.3e-05
2010-04-23,0.004445,0.001222
2010-05-01,0.005894,0.001142
2010-05-09,0.008911,0.001787
2010-05-17,0.018506,0.002459
2010-05-25,0.04179,0.006029
2010-06-02,0.038256,0.00308
2010-06-10,0.049453,0.00574
2010-06-18,0.046511,0.005225
2010-06-26,0.040869,0.012864
2010-07-04,0.046692,0.005349
2010-07-12,0.021817,0.007822
2010-07-20,0.027334,0.006006
2010-07-28,0.045938,0.003914
2010-08-05,0.025065,0.007931
2010-08-13,0.030554,0.003317
2010-08-21,0.015526,0.00497
2010-08-29,0.01037,0.003882
2010-09-06,0.012728,0.001745
2010-09-14,0.006677,0.000753
2010-09-22,0.000305,0.000215
2010-09-30,0.000755,0.00034
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000122,4.2e-05
2011-05-01,0.000395,0.000164
2011-05-09,0.000823,0.000416
2011-05-17,0.028994,0.003043
2011-05-25,0.04516,0.004279
2011-06-02,0.027969,0.002523
2011-06-10,0.02298,0.005479
2011-06-18,0.045181,0.007251
2011-06-26,0.048941,0.004263
2011-07-04,0.051582,0.012445
2011-07-12,0.006155,0.002148
2011-07-20,0.047319,0.007157
2011-07-28,0.049218,0.006218
2011-08-05,0.018551,0.006337
2011-08-13,0.016726,0.003057
2011-08-21,0.025739,0.003497
2011-08-29,0.018107,0.002499
2011-09-06,0.01352,0.001589
2011-09-14,0.011656,0.001487
2011-09-22,0.000955,0.000811
2011-09-30,0.001562,0.000836
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000233,7.6e-05
2012-04-22,3e-04,0
2012-04-30,0.000103,2.4e-05
2012-05-08,0.002031,0.000721
2012-05-16,0.020311,0.002317
2012-05-24,0.018212,0.002604
2012-06-01,0.032345,0.008223
2012-06-09,0.041671,0.006603
2012-06-17,0.063108,0.004881
2012-06-25,0.036314,0.020136
2012-07-03,0.042814,0.020948
2012-07-11,0.031546,0.017029
2012-07-19,0.030285,0.015618
2012-07-27,0.034438,0.015526
2012-08-04,0.03361,0.013971
2012-08-12,0.023225,0.010871
2012-08-20,0.019457,0.009851
2012-08-28,0.008539,0.003866
2012-09-05,0.004445,0.003006
2012-09-13,0.00576,0.002948
2012-09-21,0.0067,0.003194
2012-09-29,0.000976,0.000419
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,NA
2013-05-09,0.000636,0.000134
2013-05-17,0.004103,0.003261
2013-05-25,0.022356,0.011236
2013-06-02,0.022051,0.010078
2013-06-10,0.026248,0.013082
2013-06-18,0.042287,0.018479
2013-06-26,0.047106,0.019174
2013-07-04,0.035017,0.013557
2013-07-12,0.040299,0.015549
2013-07-20,0.038727,0.013796
2013-07-28,0.050273,0.017971
2013-08-05,0.044944,0.015629
2013-08-13,0.014531,0.011711
2013-08-21,0.008943,0.003824
2013-08-29,0.012328,0.004748
2013-09-06,0.009772,0.003645
2013-09-14,0.00104,0.000355
2013-09-22,0.000773,0.000173
2013-09-30,0.000706,0.000483
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000113,5.2e-05
2014-04-15,3e-04,0
2014-04-23,0.001079,0.000287
2014-05-01,0.008568,0.004302
2014-05-09,0.014013,0.00674
2014-05-17,0.004265,0.001857
2014-05-25,0.022291,0.009741
2014-06-02,0.030395,0.010946
2014-06-10,0.030285,0.010384
2014-06-18,0.035644,0.011245
2014-06-26,0.049886,0.013451
2014-07-04,0.025975,0.01118
2014-07-12,0.043587,0.010718
2014-07-20,0.022464,0.010881
2014-07-28,0.024062,0.00779
2014-08-05,0.011143,0.006546
2014-08-13,0.02604,0.006117
2014-08-21,0.022942,0.006796
2014-08-29,0.008279,0.002534
2014-09-06,0.008149,0.002509
2014-09-14,0.006198,0.002264
2014-09-22,0.002502,0.001137
2014-09-30,0.000754,0.000309
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00012,4.5e-05
2015-04-15,6e-04,0
2015-04-23,0.0012,NA
2015-05-01,0.001224,0.000426
2015-05-09,0.015374,0.007126
2015-05-17,0.035298,0.011984
2015-05-25,0.02954,0.008647
2015-06-02,0.019758,0.00822
2015-06-10,0.01965,0.009411
2015-06-18,0.055385,0.011391
2015-06-26,0.038663,0.008001
2015-07-04,0.046474,0.009874
2015-07-12,0.033779,0.009126
2015-07-20,0.034434,0.008819
2015-07-28,0.025677,0.010504
2015-08-05,0.030931,0.005268
2015-08-13,0.022663,0.004699
2015-08-21,0.014071,0.002699
2015-08-29,0.003496,0.001163
2015-09-06,0.009701,0.002236
2015-09-14,0.000759,0.000497
2015-09-22,0.00022,4.9e-05
2015-09-30,0.000254,8.4e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00013,7.9e-05
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001092,0.000459
2016-04-30,0.004446,0.002438
2016-05-08,0.019857,0.005986
