dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000819,0.000325
2010-04-23,0.0068,0.001412
2010-05-01,0.005756,0.000305
2010-05-09,0.008087,0.00064
2010-05-17,0.01665,0.001151
2010-05-25,0.042125,0.003553
2010-06-02,0.04085,0.003691
2010-06-10,0.050212,0.004173
2010-06-18,0.04785,0.005361
2010-06-26,0.043669,0.007829
2010-07-04,0.049369,0.00551
2010-07-12,0.0248,0.00299
2010-07-20,0.027638,0.001732
2010-07-28,0.045794,0.002964
2010-08-05,0.019775,0.006632
2010-08-13,0.033656,0.003729
2010-08-21,0.019162,0.001903
2010-08-29,0.0089,0.001072
2010-09-06,0.01235,0.001777
2010-09-14,0.005769,0.000569
2010-09-22,0.000288,0.000247
2010-09-30,0.000831,0.000162
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000113,3.5e-05
2011-05-01,0.000544,0.000121
2011-05-09,0.001438,0.00077
2011-05-17,0.027269,0.001579
2011-05-25,0.045231,0.00283
2011-06-02,0.028725,0.002238
2011-06-10,0.030588,0.007209
2011-06-18,0.047419,0.006193
2011-06-26,0.051019,0.003169
2011-07-04,0.049567,0.010802
2011-07-12,0.004164,0.001277
2011-07-20,0.047044,0.00511
2011-07-28,0.050094,0.002884
2011-08-05,0.021525,0.004284
2011-08-13,0.016694,0.004357
2011-08-21,0.027725,0.002053
2011-08-29,0.018194,0.001733
2011-09-06,0.012919,0.001394
2011-09-14,0.010506,0.001388
2011-09-22,0.001147,0.000393
2011-09-30,0.001338,0.000516
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,3e-05,4.8e-05
2012-04-14,0.000314,0.000161
2012-04-22,0.000267,7.2e-05
2012-04-30,0.000156,8.1e-05
2012-05-08,0.002807,0.000433
2012-05-16,0.019475,0.001259
2012-05-24,0.017756,0.002495
2012-06-01,0.035712,0.002931
2012-06-09,0.044556,0.003607
2012-06-17,0.059412,0.003224
2012-06-25,0.047419,0.003516
2012-07-03,0.057594,0.003365
2012-07-11,0.043781,0.003971
2012-07-19,0.040906,0.002745
2012-07-27,0.043675,0.002684
2012-08-04,0.044119,0.003746
2012-08-12,0.029888,0.002654
2012-08-20,0.019538,0.01065
2012-08-28,0.011762,0.001031
2012-09-05,0.0078,0.001673
2012-09-13,0.007625,0.000822
2012-09-21,0.008594,0.000811
2012-09-29,8e-04,0.000286
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,4e-05,5.5e-05
2013-05-09,0.00093,0.00034
2013-05-17,0.005619,0.002881
2013-05-25,0.028462,0.001787
2013-06-02,0.0277,0.002615
2013-06-10,0.036506,0.003632
2013-06-18,0.052088,0.004523
2013-06-26,0.058606,0.004265
2013-07-04,0.036187,0.010767
2013-07-12,0.049294,0.002894
2013-07-20,0.044775,0.003659
2013-07-28,0.057775,0.003215
2013-08-05,0.050756,0.001435
2013-08-13,0.0255,0.007035
2013-08-21,0.01155,0.00164
2013-08-29,0.014956,0.001642
2013-09-06,0.010469,0.001016
2013-09-14,8e-04,0
2013-09-22,0.000969,0.000154
2013-09-30,0.000477,0.000394
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000229,0.000164
2014-04-15,0.000206,0.000106
2014-04-23,0.001462,0.000245
2014-05-01,0.010125,0.002363
2014-05-09,0.01535,0.003455
2014-05-17,0.003762,0.001163
2014-05-25,0.022025,0.006554
2014-06-02,0.038875,0.002267
2014-06-10,0.039225,0.00259
2014-06-18,0.045888,0.005173
2014-06-26,0.059869,0.004652
2014-07-04,0.030269,0.006562
2014-07-12,0.047931,0.002982
2014-07-20,0.021425,0.005944
2014-07-28,0.0303,0.003009
2014-08-05,0.019931,0.007641
2014-08-13,0.028681,0.002348
2014-08-21,0.028738,0.002483
2014-08-29,0.009719,0.001253
2014-09-06,0.009181,0.000955
2014-09-14,0.006519,0.000413
2014-09-22,0.002844,0.000283
2014-09-30,0.000575,0.000205
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,-8e-06,2.8e-05
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000163,5e-05
2015-04-15,0.000656,0.000121
2015-04-23,0.000843,0.000253
2015-05-01,0.001381,0.000389
2015-05-09,0.019875,0.001405
2015-05-17,0.043119,0.003847
2015-05-25,0.037025,0.003796
2015-06-02,0.021762,0.005934
2015-06-10,0.026833,0.011882
2015-06-18,0.059488,0.004433
2015-06-26,0.034375,0.003591
2015-07-04,0.052081,0.002787
2015-07-12,0.037462,0.006479
2015-07-20,0.030012,0.010033
2015-07-28,0.03275,0.002525
2015-08-05,0.032694,0.001426
2015-08-13,0.024362,0.00175
2015-08-21,0.015294,0.001117
2015-08-29,0.005031,0.001323
2015-09-06,0.010394,0.000984
2015-09-14,7e-04,0.000155
2015-09-22,0.000213,6.2e-05
2015-09-30,3e-04,5.3e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000287,0.000141
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001612,0.000432
