dates,open_shrublands_mean,open_shrublands_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.005425,0.001084
2010-05-01,0.0058,0.001013
2010-05-09,0.009125,0.000709
2010-05-17,0.017025,0.000704
2010-05-25,0.042075,0.002988
2010-06-02,0.03425,0.002629
2010-06-10,0.048275,0.00275
2010-06-18,0.039325,0.002392
2010-06-26,0.037975,0.007457
2010-07-04,0.03825,0.002992
2010-07-12,0.011825,0.00485
2010-07-20,0.023125,0.00096
2010-07-28,0.03905,0.001559
2010-08-05,0.01105,0.002811
2010-08-13,0.028225,0.003074
2010-08-21,0.0078,0.0057
2010-08-29,0.00755,0.001498
2010-09-06,0.01365,0.003077
2010-09-14,0.00615,0.000412
2010-09-22,2e-04,0
2010-09-30,0.000767,0.000231
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,NA
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,0,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,1e-04,0
2011-05-01,7e-04,NA
2011-05-09,0.001,0.000115
2011-05-17,0.0279,0.001551
2011-05-25,0.041225,0.002981
2011-06-02,0.02605,0.001453
2011-06-10,0.02245,0.000695
2011-06-18,0.03875,0.003473
2011-06-26,0.0435,0.002835
2011-07-04,0.048675,0.00215
2011-07-12,NA,NA
2011-07-20,0.04155,0.000436
2011-07-28,0.0441,0.0012
2011-08-05,0.018275,0.003179
2011-08-13,0.01295,0.0029
2011-08-21,0.0235,0.003733
2011-08-29,0.017625,0.003734
2011-09-06,0.013475,0.000932
2011-09-14,0.0109,0.000906
2011-09-22,0.000875,5e-05
2011-09-30,0.000925,0.000263
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,0,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,0,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,0
2012-04-30,1e-04,0
2012-05-08,0.001725,0.00065
2012-05-16,0.019675,0.001688
2012-05-24,0.0182,0.000898
2012-06-01,0.03745,0.001173
2012-06-09,0.03935,0.002675
2012-06-17,0.052775,0.0017
2012-06-25,0.0061,0.00199
2012-07-03,0.00555,0.001752
2012-07-11,0.0064,0.0016
2012-07-19,0.0082,0.00188
2012-07-27,0.006375,0.002176
2012-08-04,0.006575,0.003226
2012-08-12,0.00595,0.0035
2012-08-20,0.004925,0.002108
2012-08-28,0.0025,0.000462
2012-09-05,0.0014,0
2012-09-13,0.0011,0
2012-09-21,0.0016,0
2012-09-29,3e-04,0
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0014,NA
2013-05-25,0.003475,0.00035
2013-06-02,0.006775,0.001141
2013-06-10,0.00775,0.002807
2013-06-18,0.009925,0.008571
2013-06-26,0.013775,0.004884
2013-07-04,0.008425,0.003934
2013-07-12,0.011375,0.00105
2013-07-20,0.014425,0.004655
2013-07-28,0.0165,0.008855
2013-08-05,0.01805,0.006642
2013-08-13,0.0087,0.005628
2013-08-21,0.002667,0.000751
2013-08-29,0.002925,0.00205
2013-09-06,0.00405,0.001439
2013-09-14,8e-04,0
2013-09-22,4e-04,0
2013-09-30,0.000133,5.8e-05
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.00225,0.000597
2014-05-09,0.0032,0.000812
2014-05-17,0.002275,0.000222
2014-05-25,0.00605,0.000574
2014-06-02,0.010775,0.003902
2014-06-10,0.010025,0.004588
2014-06-18,0.016825,0.007067
2014-06-26,0.02275,0.0033
2014-07-04,0.0105,0.001309
2014-07-12,0.02465,0.006948
2014-07-20,0.0077,6e-04
2014-07-28,0.01575,0.00482
2014-08-05,0.0059,0.001883
2014-08-13,0.013,0.003137
2014-08-21,0.011475,0.002428
2014-08-29,0.003975,0.001636
2014-09-06,0.004025,0.002025
2014-09-14,0.004,0.00207
2014-09-22,0.00065,5.8e-05
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.004475,0.001733
2015-05-17,0.013075,0.00185
2015-05-25,0.01275,0.003285
2015-06-02,0.003267,0.000945
2015-06-10,0.008125,0.003685
2015-06-18,0.035125,0.006206
2015-06-26,0.024025,0.00268
2015-07-04,0.028775,0.005548
2015-07-12,0.0281,0.003744
2015-07-20,0.017675,0.010574
2015-07-28,0.00425,0.0019
2015-08-05,0.020425,0.003694
2015-08-13,0.0169,0.00268
2015-08-21,0.009525,0.001905
2015-08-29,0.002375,0.000443
2015-09-06,0.00645,0.001611
2015-09-14,6e-04,0
2015-09-22,NA,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0032,0.000783
2016-05-08,0.009875,0.003565
2016-05-16,0.0048,0.002109
2016-05-24,0.00775,0.004368
2016-06-01,0.009775,0.003278
