dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,NA
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.005408,0.001287
2010-05-01,0.005628,0.000571
2010-05-09,0.008776,0.001117
2010-05-17,0.017704,0.001365
2010-05-25,0.044292,0.003299
2010-06-02,0.04034,0.003017
2010-06-10,0.048352,0.004811
2010-06-18,0.045812,0.004099
2010-06-26,0.04286,0.010029
2010-07-04,0.046916,0.003443
2010-07-12,0.022072,0.004552
2010-07-20,0.0271,0.001339
2010-07-28,0.044572,0.002058
2010-08-05,0.02022,0.006923
2010-08-13,0.031808,0.002238
2010-08-21,0.018608,0.002146
2010-08-29,0.009124,0.000856
2010-09-06,0.012828,0.001664
2010-09-14,0.005932,0.00058
2010-09-22,0.000221,0.000118
2010-09-30,0.00082,0.000138
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,NA,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,0,0
2011-04-23,1e-04,0
2011-05-01,0.000429,0.000154
2011-05-09,0.001164,0.00093
2011-05-17,0.029348,0.002546
2011-05-25,0.044724,0.002005
2011-06-02,0.02814,0.001548
2011-06-10,0.024588,0.005338
2011-06-18,0.048604,0.005865
2011-06-26,0.049592,0.003255
2011-07-04,0.037532,0.018521
2011-07-12,0.004933,0.001639
2011-07-20,0.044392,0.006182
2011-07-28,0.04814,0.00272
2011-08-05,0.024444,0.004209
2011-08-13,0.0155,0.003127
2011-08-21,0.027168,0.001719
2011-08-29,0.01812,0.001438
2011-09-06,0.013368,0.000863
2011-09-14,0.0111,0.001247
2011-09-22,0.00091,0.000454
2011-09-30,0.001392,0.00072
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,0.00025,7.1e-05
2012-04-30,0.000114,3.6e-05
2012-05-08,0.00256,0.00062
2012-05-16,0.02068,0.001824
2012-05-24,0.018032,0.002276
2012-06-01,0.03356,0.005179
2012-06-09,0.043308,0.002737
2012-06-17,0.058936,0.0028
2012-06-25,0.047332,0.004568
2012-07-03,0.056284,0.00257
2012-07-11,0.041716,0.003317
2012-07-19,0.04066,0.002937
2012-07-27,0.041996,0.001734
2012-08-04,0.042344,0.002718
2012-08-12,0.031436,0.002672
2012-08-20,0.025312,0.007494
2012-08-28,0.011192,0.000727
2012-09-05,0.007528,0.002036
2012-09-13,0.0078,0.001561
2012-09-21,0.008572,0.000829
2012-09-29,0.000964,0.00021
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,NA
2013-04-15,0,0
2013-04-23,0,NA
2013-05-01,0,0
2013-05-09,0.000811,0.000267
2013-05-17,0.007046,0.003201
2013-05-25,0.02932,0.003121
2013-06-02,0.027944,0.002524
2013-06-10,0.036064,0.002968
2013-06-18,0.050804,0.003414
2013-06-26,0.057588,0.002451
2013-07-04,0.037157,0.009482
2013-07-12,0.047908,0.002261
2013-07-20,0.044736,0.002553
2013-07-28,0.057148,0.002451
2013-08-05,0.0518,0.003697
2013-08-13,0.025424,0.008205
2013-08-21,0.010964,0.001292
2013-08-29,0.015132,0.001074
2013-09-06,0.011232,0.000614
2013-09-14,8e-04,0
2013-09-22,0.00092,0.000132
2013-09-30,0.000471,0.000381
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000117,3.9e-05
2014-04-15,0.000205,4.9e-05
2014-04-23,0.001184,0.000237
2014-05-01,0.01032,0.002435
2014-05-09,0.018196,0.002965
2014-05-17,0.003652,0.001986
2014-05-25,0.027704,0.004337
2014-06-02,0.037992,0.001912
2014-06-10,0.038668,0.002564
2014-06-18,0.043428,0.003322
2014-06-26,0.057316,0.003464
2014-07-04,0.028892,0.006352
2014-07-12,0.0498,0.002657
2014-07-20,0.021812,0.00468
2014-07-28,0.030804,0.002459
2014-08-05,0.016164,0.008063
2014-08-13,0.027964,0.001749
2014-08-21,0.027796,0.003147
2014-08-29,0.009796,0.000651
2014-09-06,0.009508,0.000528
2014-09-14,0.00688,0.000689
2014-09-22,0.002964,0.000166
2014-09-30,0.000716,0.000281
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000146,5.2e-05
2015-04-15,6e-04,0
2015-04-23,0.00072,0.000268
2015-05-01,0.001333,0.000394
2015-05-09,0.02072,0.00241
2015-05-17,0.04242,0.002485
2015-05-25,0.036216,0.002642
2015-06-02,0.025916,0.00463
2015-06-10,0.015913,0.009037
2015-06-18,0.058636,0.004075
2015-06-26,0.03548,0.003074
2015-07-04,0.052148,0.00274
2015-07-12,0.034976,0.006079
2015-07-20,0.032892,0.006188
2015-07-28,0.032568,0.00224
2015-08-05,0.033588,0.001811
2015-08-13,0.0246,0.001374
2015-08-21,0.015156,0.000746
2015-08-29,0.00422,0.001095
2015-09-06,0.01036,0.00085
2015-09-14,0.00087,0.000106
2015-09-22,0.00022,5.8e-05
2015-09-30,3e-04,7.1e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000176,1e-04
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001192,0.000439
2016-04-30,0.00368,0.000592
2016-05-08,0.025052,0.003243
