dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.004123,0.001128
2010-05-01,0.005248,0.00099
2010-05-09,0.007952,0.001524
2010-05-17,0.016996,0.002248
2010-05-25,0.037773,0.005297
2010-06-02,0.035221,0.002844
2010-06-10,0.045164,0.005063
2010-06-18,0.042601,0.004595
2010-06-26,0.036754,0.011207
2010-07-04,0.042163,0.004657
2010-07-12,0.020032,0.007012
2010-07-20,0.024204,0.005066
2010-07-28,0.040192,0.003404
2010-08-05,0.021701,0.006633
2010-08-13,0.027798,0.002936
2010-08-21,0.014117,0.004399
2010-08-29,0.009348,0.003342
2010-09-06,0.011246,0.001519
2010-09-14,0.005698,0.000665
2010-09-22,0.000244,0.000145
2010-09-30,0.000649,0.00029
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000104,2e-05
2011-05-01,0.000352,0.000131
2011-05-09,0.000707,0.00036
2011-05-17,0.026877,0.002823
2011-05-25,0.041411,0.003945
2011-06-02,0.02566,0.002308
2011-06-10,0.021105,0.00489
2011-06-18,0.040516,0.006327
2011-06-26,0.044277,0.003779
2011-07-04,0.046132,0.010936
2011-07-12,0.005529,0.002015
2011-07-20,0.041335,0.005673
2011-07-28,0.043413,0.005335
2011-08-05,0.016388,0.005217
2011-08-13,0.015309,0.002694
2011-08-21,0.023282,0.003026
2011-08-29,0.016269,0.002154
2011-09-06,0.012163,0.001424
2011-09-14,0.010194,0.001269
2011-09-22,0.000756,0.000505
2011-09-30,0.001233,0.000614
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,0.00024,5e-05
2012-04-30,0.000101,1.2e-05
2012-05-08,0.001869,0.000691
2012-05-16,0.018698,0.002116
2012-05-24,0.016819,0.002365
2012-06-01,0.029528,0.007393
2012-06-09,0.038128,0.005907
2012-06-17,0.054927,0.004215
2012-06-25,0.031814,0.017346
2012-07-03,0.038333,0.018438
2012-07-11,0.02826,0.015036
2012-07-19,0.026698,0.013522
2012-07-27,0.029791,0.013163
2012-08-04,0.030156,0.012169
2012-08-12,0.020465,0.00943
2012-08-20,0.017708,0.008817
2012-08-28,0.007644,0.003455
2012-09-05,0.004023,0.002641
2012-09-13,0.005069,0.002583
2012-09-21,0.005812,0.002792
2012-09-29,0.000762,0.000391
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,NA
2013-05-09,0.000629,0.000107
2013-05-17,0.003817,0.002917
2013-05-25,0.020594,0.010267
2013-06-02,0.020247,0.009174
2013-06-10,0.024099,0.011924
2013-06-18,0.037888,0.016275
2013-06-26,0.041613,0.016606
2013-07-04,0.031291,0.011832
2013-07-12,0.035676,0.013474
2013-07-20,0.03438,0.011927
2013-07-28,0.043876,0.015255
2013-08-05,0.038906,0.013118
2013-08-13,0.012489,0.009615
2013-08-21,0.008156,0.003392
2013-08-29,0.010937,0.004155
2013-09-06,0.008594,0.003093
2013-09-14,0.000872,0.000318
2013-09-22,0.000476,0.000236
2013-09-30,0.00051,0.000425
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,-6e-06,3.3e-05
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000107,2.6e-05
2014-04-15,0.000198,1.4e-05
2014-04-23,0.000971,0.00027
2014-05-01,0.007826,0.003912
2014-05-09,0.012865,0.006087
2014-05-17,0.003883,0.001679
2014-05-25,0.020337,0.008731
2014-06-02,0.027831,0.009832
2014-06-10,0.027654,0.009304
2014-06-18,0.032652,0.010104
2014-06-26,0.044716,0.011748
2014-07-04,0.023589,0.009907
2014-07-12,0.039573,0.009526
2014-07-20,0.019942,0.009309
2014-07-28,0.021327,0.006623
2014-08-05,0.009847,0.005481
2014-08-13,0.022735,0.005047
2014-08-21,0.021023,0.006008
2014-08-29,0.007394,0.002251
2014-09-06,0.007132,0.002129
2014-09-14,0.005343,0.001944
2014-09-22,0.002076,0.000893
2014-09-30,0.000515,0.000237
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00012,4.5e-05
2015-04-15,0.000557,5e-05
2015-04-23,0.0011,NA
2015-05-01,0.001186,0.000355
2015-05-09,0.014168,0.006501
2015-05-17,0.031928,0.01067
2015-05-25,0.026973,0.007758
2015-06-02,0.018007,0.007339
2015-06-10,0.0179,0.008322
2015-06-18,0.049023,0.009585
2015-06-26,0.033769,0.006737
2015-07-04,0.041708,0.008497
2015-07-12,0.029973,0.007776
2015-07-20,0.030528,0.007437
2015-07-28,0.022702,0.009017
2015-08-05,0.027258,0.004479
2015-08-13,0.020528,0.004072
2015-08-21,0.012477,0.002278
2015-08-29,0.003156,0.001016
2015-09-06,0.00869,0.001949
2015-09-14,0.000714,0.00042
2015-09-22,0.00017,4.9e-05
2015-09-30,0.000156,0.000102
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000113,5.1e-05
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001037,0.000393
2016-04-30,0.004091,0.002195
2016-05-08,0.018264,0.005426
