date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,22,13.02
A2010073,2010-03-14,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,78,46.15
A2010081,2010-03-22,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,71,42.01
A2010089,2010-03-30,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,52,30.77
A2010097,2010-04-07,MOD17A2H,Gpp_500m,0.0001,0.0001,0.0057,0.0000,0.0001,0.0000,0.0000,169,57,33.73
A2010105,2010-04-15,MOD17A2H,Gpp_500m,0.0007,0.0017,0.1182,0.0010,0.0009,0.0000,0.0001,169,136,80.47
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0026,0.0107,0.8357,0.0081,0.0049,0.0000,0.0016,169,169,100.00
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0038,0.0084,1.0200,0.0046,0.0060,0.0000,0.0011,169,169,100.00
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0048,0.0139,1.5360,0.0091,0.0091,0.0000,0.0017,169,169,100.00
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0048,0.0250,3.1396,0.0202,0.0186,0.0000,0.0022,169,169,100.00
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0313,0.0573,7.3508,0.0260,0.0435,0.0000,0.0062,169,169,100.00
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0314,0.0542,6.7044,0.0228,0.0397,0.0000,0.0041,169,169,100.00
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0356,0.0688,8.5604,0.0332,0.0507,0.0000,0.0059,169,169,100.00
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0343,0.0630,8.0351,0.0287,0.0475,0.0000,0.0056,169,169,100.00
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0040,0.0654,7.1423,0.0614,0.0428,0.0002,0.0127,169,167,98.82
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0386,0.0664,8.1462,0.0278,0.0482,0.0000,0.0061,169,169,100.00
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0037,0.0468,3.4840,0.0431,0.0225,0.0001,0.0073,169,155,91.72
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0121,0.0495,4.7569,0.0374,0.0281,0.0000,0.0054,169,169,100.00
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0335,0.0607,8.0118,0.0272,0.0474,0.0000,0.0046,169,169,100.00
A2010217,2010-08-05,MOD17A2H,Gpp_500m,0.0083,0.0392,4.0966,0.0309,0.0242,0.0001,0.0081,169,169,100.00
