date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,22,13.02
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,78,46.15
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,71,42.01
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,52,30.77
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,0.0001,0.0001,0.0057,0.0000,0.0001,0.0000,0.0000,169,57,33.73
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0007,0.0017,0.0971,0.0010,0.0007,0.0000,0.0001,169,136,80.47
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0025,0.0098,0.7769,0.0073,0.0046,0.0000,0.0014,169,169,100.00
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0035,0.0074,0.9067,0.0039,0.0054,0.0000,0.0009,169,169,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0043,0.0122,1.3714,0.0079,0.0081,0.0000,0.0014,169,169,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0045,0.0229,2.8846,0.0184,0.0171,0.0000,0.0020,169,169,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0261,0.0507,6.6334,0.0246,0.0393,0.0000,0.0054,169,169,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0272,0.0491,6.1665,0.0219,0.0365,0.0000,0.0037,169,169,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0307,0.0608,7.8056,0.0301,0.0462,0.0000,0.0052,169,169,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0299,0.0562,7.3507,0.0263,0.0435,0.0000,0.0049,169,169,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0036,0.0563,6.4061,0.0527,0.0384,0.0001,0.0109,169,167,98.82
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0323,0.0584,7.3440,0.0261,0.0435,0.0000,0.0052,169,169,100.00
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0035,0.0422,3.1994,0.0387,0.0206,0.0000,0.0066,169,155,91.72
