MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,15,12.10
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,51,41.13
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,50,40.32
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,37,29.84
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,0.0001,0.0001,0.0032,0.0000,0.0001,0.0000,0.0000,124,32,25.81
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0007,0.0007,0.0651,0.0000,0.0007,0.0000,0.0000,124,93,75.00
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0025,0.0098,0.5112,0.0073,0.0041,0.0000,0.0011,124,124,100.00
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0035,0.0074,0.6507,0.0039,0.0052,0.0000,0.0010,124,124,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0043,0.0122,0.9861,0.0079,0.0080,0.0000,0.0015,124,124,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0045,0.0229,2.1075,0.0184,0.0170,0.0000,0.0022,124,124,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0261,0.0507,4.6838,0.0246,0.0378,0.0000,0.0053,124,124,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0272,0.0441,4.3674,0.0169,0.0352,0.0000,0.0028,124,124,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0307,0.0582,5.6003,0.0275,0.0452,0.0000,0.0050,124,124,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0299,0.0559,5.2825,0.0260,0.0426,0.0000,0.0046,124,124,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0036,0.0563,4.4840,0.0527,0.0368,0.0001,0.0112,124,122,98.39
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0323,0.0569,5.2282,0.0246,0.0422,0.0000,0.0046,124,124,100.00
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0035,0.0422,2.2035,0.0387,0.0200,0.0000,0.0070,124,110,88.71
A2010201,2010-07-20,MOD17A2H,PsnNet_500m,0.0109,0.0418,3.0013,0.0309,0.0242,0.0000,0.0050,124,124,100.00
A2010209,2010-07-28,MOD17A2H,PsnNet_500m,0.0261,0.0493,4.9838,0.0232,0.0402,0.0000,0.0034,124,124,100.00
A2010217,2010-08-05,MOD17A2H,PsnNet_500m,0.0073,0.0329,2.6909,0.0256,0.0217,0.0000,0.0066,124,124,100.00
A2010225,2010-08-13,MOD17A2H,PsnNet_500m,0.0194,0.0364,3.4469,0.0170,0.0278,0.0000,0.0029,124,124,100.00
A2010233,2010-08-21,MOD17A2H,PsnNet_500m,0.0021,0.0221,1.7082,0.0200,0.0141,0.0000,0.0044,124,121,97.58
A2010241,2010-08-29,MOD17A2H,PsnNet_500m,0.0041,0.0180,1.1591,0.0139,0.0093,0.0000,0.0033,124,124,100.00
A2010249,2010-09-06,MOD17A2H,PsnNet_500m,0.0077,0.0159,1.3945,0.0082,0.0112,0.0000,0.0015,124,124,100.00
A2010257,2010-09-14,MOD17A2H,PsnNet_500m,0.0030,0.0072,0.7066,0.0042,0.0057,0.0000,0.0007,124,124,100.00
A2010265,2010-09-22,MOD17A2H,PsnNet_500m,0.0001,0.0010,0.0293,0.0009,0.0002,0.0000,0.0001,124,120,96.77
A2010273,2010-09-30,MOD17A2H,PsnNet_500m,0.0002,0.0011,0.0675,0.0009,0.0006,0.0000,0.0003,124,104,83.87
A2010281,2010-10-08,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010289,2010-10-16,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010297,2010-10-24,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010305,2010-11-01,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010313,2010-11-09,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010321,2010-11-17,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010329,2010-11-25,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010337,2010-12-03,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010345,2010-12-11,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010353,2010-12-19,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2010361,2010-12-27,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011001,2011-01-01,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011009,2011-01-09,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011017,2011-01-17,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011025,2011-01-25,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011033,2011-02-02,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011041,2011-02-10,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011049,2011-02-18,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011057,2011-02-26,MOD17A2H,PsnNet_500m,,,,,,,,124,0,0.00
A2011065,2011-03-06,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,58,46.77
A2011073,2011-03-14,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,61,49.19
A2011081,2011-03-22,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,37,29.84
A2011089,2011-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,15,12.10
A2011097,2011-04-07,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,10,8.06
A2011105,2011-04-15,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,7,5.65
A2011113,2011-04-23,MOD17A2H,PsnNet_500m,0.0001,0.0002,0.0052,0.0001,0.0001,0.0000,0.0000,124,50,40.32
A2011121,2011-05-01,MOD17A2H,PsnNet_500m,0.0003,0.0009,0.0222,0.0006,0.0004,0.0000,0.0001,124,63,50.81
A2011129,2011-05-09,MOD17A2H,PsnNet_500m,0.0005,0.0033,0.0643,0.0028,0.0007,0.0000,0.0004,124,91,73.39
A2011137,2011-05-17,MOD17A2H,PsnNet_500m,0.0066,0.0326,3.3327,0.0260,0.0269,0.0000,0.0028,124,124,100.00
A2011145,2011-05-25,MOD17A2H,PsnNet_500m,0.0184,0.0524,5.1350,0.0340,0.0414,0.0000,0.0039,124,124,100.00
A2011153,2011-06-02,MOD17A2H,PsnNet_500m,0.0135,0.0318,3.1819,0.0183,0.0257,0.0000,0.0023,124,124,100.00
A2011161,2011-06-10,MOD17A2H,PsnNet_500m,0.0111,0.0391,2.6170,0.0280,0.0211,0.0000,0.0049,124,124,100.00
A2011169,2011-06-18,MOD17A2H,PsnNet_500m,0.0209,0.0544,5.0240,0.0335,0.0405,0.0000,0.0063,124,124,100.00
A2011177,2011-06-26,MOD17A2H,PsnNet_500m,0.0349,0.0567,5.4903,0.0218,0.0443,0.0000,0.0038,124,124,100.00
A2011185,2011-07-04,MOD17A2H,PsnNet_500m,0.0042,0.0578,5.6742,0.0536,0.0461,0.0001,0.0109,124,123,99.19
A2011193,2011-07-12,MOD17A2H,PsnNet_500m,0.0021,0.0093,0.2101,0.0072,0.0055,0.0000,0.0020,124,38,30.65
A2011201,2011-07-20,MOD17A2H,PsnNet_500m,0.0303,0.0557,5.1256,0.0254,0.0413,0.0000,0.0057,124,124,100.00
A2011209,2011-07-28,MOD17A2H,PsnNet_500m,0.0274,0.0507,5.3832,0.0233,0.0434,0.0000,0.0053,124,124,100.00
A2011217,2011-08-05,MOD17A2H,PsnNet_500m,0.0024,0.0288,1.9502,0.0264,0.0164,0.0000,0.0052,124,119,95.97
