Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,264,156,193,243,174,206,220
2002, Cycle 1,267,136,181,237,159,196,213
2003, Cycle 1,272,130,180,243,156,195,214
2004, Cycle 1,268,127,173,245,150,187,209
2005, Cycle 1,259,119,174,236,148,191,210
2006, Cycle 1,290,131,184,255,159,201,223
2007, Cycle 1,277,111,178,252,150,195,215
2008, Cycle 1,265,125,173,243,147,191,212
2009, Cycle 1,268,116,173,243,145,191,212
2010, Cycle 1,274,109,170,247,139,190,212
2011, Cycle 1,278,129,176,252,149,194,217
2012, Cycle 1,256,109,170,232,148,186,206
2013, Cycle 1,286,136,185,254,159,207,226
2014, Cycle 1,279,114,173,251,142,192,214
2015, Cycle 1,268,119,170,244,146,188,209
2016, Cycle 1,283,119,177,250,148,194,212
2017, Cycle 1,247,115,167,227,141,184,203
2018, Cycle 1,273,130,179,248,155,198,219
2019, Cycle 1,267,132,180,242,154,199,218
2003, Cycle 2,253,151,191,235,172,203,216
2004, Cycle 2,288,214,229,271,219,237,250
2009, Cycle 2,311,109,176,258,154,189,217
2010, Cycle 2,288,127,171,249,149,186,206
2013, Cycle 2,054,301,349,039,322,365,016
2014, Cycle 2,269,120,176,244,150,193,214
