Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Sep 21,Jun 05,Jul 12,Aug 31,Jun 23,Jul 25,Aug 08
2002, Cycle 1,Sep 24,May 16,Jun 30,Aug 25,Jun 08,Jul 15,Aug 01
2003, Cycle 1,Sep 29,May 10,Jun 29,Aug 31,Jun 05,Jul 14,Aug 02
2004, Cycle 1,Sep 24,May 06,Jun 21,Sep 01,May 29,Jul 05,Jul 27
2005, Cycle 1,Sep 16,Apr 29,Jun 23,Aug 24,May 28,Jul 10,Jul 29
2006, Cycle 1,Oct 17,May 11,Jul 03,Sep 12,Jun 08,Jul 20,Aug 11
2007, Cycle 1,Oct 04,Apr 21,Jun 27,Sep 09,May 30,Jul 14,Aug 03
2008, Cycle 1,Sep 21,May 04,Jun 21,Aug 30,May 26,Jul 09,Jul 30
2009, Cycle 1,Sep 25,Apr 26,Jun 22,Aug 31,May 25,Jul 10,Jul 31
2010, Cycle 1,Oct 01,Apr 19,Jun 19,Sep 04,May 19,Jul 09,Jul 31
2011, Cycle 1,Oct 05,May 09,Jun 25,Sep 09,May 29,Jul 13,Aug 05
2012, Cycle 1,Sep 12,Apr 18,Jun 18,Aug 19,May 27,Jul 04,Jul 24
2013, Cycle 1,Oct 13,May 16,Jul 04,Sep 11,Jun 08,Jul 26,Aug 14
2014, Cycle 1,Oct 06,Apr 24,Jun 22,Sep 08,May 22,Jul 11,Aug 02
2015, Cycle 1,Sep 25,Apr 29,Jun 19,Sep 01,May 26,Jul 07,Jul 28
2016, Cycle 1,Oct 09,Apr 28,Jun 25,Sep 06,May 27,Jul 12,Jul 30
2017, Cycle 1,Sep 04,Apr 25,Jun 16,Aug 15,May 21,Jul 03,Jul 22
2018, Cycle 1,Sep 30,May 10,Jun 28,Sep 05,Jun 04,Jul 17,Aug 07
2019, Cycle 1,Sep 24,May 12,Jun 29,Aug 30,Jun 03,Jul 18,Aug 06
2003, Cycle 2,Sep 10,May 31,Jul 10,Aug 23,Jun 21,Jul 22,Aug 04
2004, Cycle 2,Oct 14,Aug 01,Aug 16,Sep 27,Aug 06,Aug 24,Sep 06
2009, Cycle 2,Nov 07,Apr 19,Jun 25,Sep 15,Jun 03,Jul 08,Aug 05
2010, Cycle 2,Oct 15,May 07,Jun 20,Sep 06,May 29,Jul 05,Jul 25
2013, Cycle 2,Feb 23,Oct 28,Dec 15,Feb 08,Nov 18,Dec 31,Jan 16
2014, Cycle 2,Sep 26,Apr 30,Jun 25,Sep 01,May 30,Jul 12,Aug 02
