dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,NA
2010-04-07,1e-04,0
2010-04-15,9e-04,0
2010-04-23,0.007,0.001532
2010-05-01,0.006967,0.000695
2010-05-09,0.009667,0.000288
2010-05-17,0.018417,7e-04
2010-05-25,0.04495,0.00484
2010-06-02,0.041817,0.000939
2010-06-10,0.05065,0.003462
2010-06-18,0.047433,0.00608
2010-06-26,0.03485,0.023098
2010-07-04,0.050917,0.002908
2010-07-12,0.02705,0.002248
2010-07-20,0.029833,0.001255
2010-07-28,0.0503,0.001517
2010-08-05,0.02545,0.007797
2010-08-13,0.033033,0.001751
2010-08-21,0.019733,0.001551
2010-08-29,0.0105,0
2010-09-06,0.0148,0.002117
2010-09-14,0.006017,0.00107
2010-09-22,0.000517,0.000496
2010-09-30,0.000983,4.1e-05
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,0.00016,5.5e-05
2011-05-01,0.00042,0.000164
2011-05-09,0.001633,0.001211
2011-05-17,0.029567,0.001302
2011-05-25,0.0462,0.001361
2011-06-02,0.03035,0.001749
2011-06-10,0.03155,0.00307
2011-06-18,0.051717,0.008052
2011-06-26,0.055317,0.004232
2011-07-04,0.02075,0.009501
2011-07-12,0.00572,0.001479
2011-07-20,0.051283,0.008461
2011-07-28,0.056033,0.003766
2011-08-05,0.02105,0.001206
2011-08-13,0.0183,0.00446
2011-08-21,0.029433,0.003221
2011-08-29,0.01955,0.001558
2011-09-06,0.014533,0.00115
2011-09-14,0.012283,0.000691
2011-09-22,0.00066,0.000329
2011-09-30,0.00185,0.001089
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,2e-04,0
2012-04-22,0.00035,1e-04
2012-04-30,0.000217,9.8e-05
2012-05-08,0.00296,0.000422
2012-05-16,0.021433,0.001616
2012-05-24,0.021867,0.002066
2012-06-01,0.039733,0.003051
2012-06-09,0.0454,0.001431
2012-06-17,0.065833,0.00169
2012-06-25,0.053067,0.002742
2012-07-03,0.062183,0.002031
2012-07-11,0.04535,0.002082
2012-07-19,0.044667,0.00242
2012-07-27,0.047617,0.001911
2012-08-04,0.044667,0.002895
2012-08-12,0.03185,0.001407
2012-08-20,0.011683,0.005369
2012-08-28,0.012683,0.00024
2012-09-05,0.007483,0.003071
2012-09-13,0.008633,0.001475
2012-09-21,0.009583,0.00092
2012-09-29,0.000983,4.1e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,NA,NA
2013-05-09,0.001,0.000361
2013-05-17,0.0061,0.003408
2013-05-25,0.031,0.001549
2013-06-02,0.029567,0.001171
2013-06-10,0.0388,0.003093
2013-06-18,0.053483,0.001277
2013-06-26,0.0623,0.000748
2013-07-04,0.041,0.001958
2013-07-12,0.0529,0.000762
2013-07-20,0.050483,0.005218
2013-07-28,0.065033,0.003038
2013-08-05,0.061817,0.003216
2013-08-13,0.026,0.004828
2013-08-21,0.011567,0.000163
2013-08-29,0.016883,0.000852
2013-09-06,0.012533,0.000797
2013-09-14,9e-04,0
2013-09-22,0.001117,4.1e-05
2013-09-30,0.000567,0.000344
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.00022,0.00011
2014-04-15,0.000317,4.1e-05
2014-04-23,0.001617,0.000223
2014-05-01,0.01125,0.002818
2014-05-09,0.018983,0.00281
2014-05-17,0.004217,0.000904
2014-05-25,0.024183,0.007827
2014-06-02,0.040117,0.002872
2014-06-10,0.041967,0.001468
2014-06-18,0.047417,0.004074
2014-06-26,0.063667,0.00454
2014-07-04,0.034667,0.008712
2014-07-12,0.050583,0.002061
2014-07-20,0.024467,0.00715
2014-07-28,0.032033,0.001627
2014-08-05,0.018033,0.009729
2014-08-13,0.031383,0.00169
2014-08-21,0.031217,0.003394
2014-08-29,0.010433,0.000706
2014-09-06,0.0102,0.000883
2014-09-14,0.008217,0.000567
2014-09-22,0.003783,0.000412
2014-09-30,0.001033,0.000186
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,1e-04,0
2015-04-15,6e-04,0
2015-04-23,0.00066,8.9e-05
2015-05-01,0.001683,0.000366
2015-05-09,0.0237,0.00126
2015-05-17,0.044917,0.003396
2015-05-25,0.03885,0.002305
2015-06-02,0.021633,0.004871
2015-06-10,0.011875,0.003571
2015-06-18,0.064017,0.005112
2015-06-26,0.04065,0.003818
2015-07-04,0.056917,0.005129
2015-07-12,0.0388,0.009227
2015-07-20,0.033583,0.007458
2015-07-28,0.036967,0.002316
2015-08-05,0.03585,0.000933
2015-08-13,0.026267,0.001221
2015-08-21,0.016967,0.000781
2015-08-29,0.005733,0.001701
2015-09-06,0.011717,0.000631
2015-09-14,0.000725,0.00025
2015-09-22,6e-04,0.000395
2015-09-30,0.00045,1e-04
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00034,5.5e-05
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.00165,0.000428
2016-04-30,0.004117,0.000788
