dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000881,6e-05
2010-04-23,0.005912,0.001717
2010-05-01,0.006648,0.000855
2010-05-09,0.010192,0.001212
2010-05-17,0.020056,0.001325
2010-05-25,0.047588,0.007114
2010-06-02,0.041464,0.002438
2010-06-10,0.053972,0.004688
2010-06-18,0.046996,0.004135
2010-06-26,0.042696,0.017483
2010-07-04,0.0504,0.003077
2010-07-12,0.022212,0.00496
2010-07-20,0.03004,0.001744
2010-07-28,0.05044,0.002253
2010-08-05,0.025008,0.006943
2010-08-13,0.033268,0.001737
2010-08-21,0.020812,0.001693
2010-08-29,0.010684,0.001124
2010-09-06,0.014424,0.001647
2010-09-14,0.007348,0.000487
2010-09-22,0.000277,0.000102
2010-09-30,0.000896,0.000275
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,NA
2011-04-07,0,NA
2011-04-15,0,NA
2011-04-23,0.000114,3.8e-05
2011-05-01,0.000367,5.8e-05
2011-05-09,0.000791,0.000283
2011-05-17,0.032268,0.001923
2011-05-25,0.047912,0.00206
2011-06-02,0.030608,0.001324
2011-06-10,0.025816,0.003547
2011-06-18,0.04944,0.010644
2011-06-26,0.052616,0.003016
2011-07-04,0.03196,0.019001
2011-07-12,0.0066,0.000397
2011-07-20,0.049408,0.006486
2011-07-28,0.054764,0.002646
2011-08-05,0.02334,0.006546
2011-08-13,0.016064,0.003999
2011-08-21,0.02972,0.002638
2011-08-29,0.019848,0.001309
2011-09-06,0.014804,0.001051
2011-09-14,0.01332,0.001652
2011-09-22,0.00095,0.000481
2011-09-30,0.001804,0.000805
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,2e-04,0
2012-04-22,3e-04,0
2012-04-30,0.000112,4.9e-05
2012-05-08,0.002507,0.000884
2012-05-16,0.022192,0.001754
2012-05-24,0.020416,0.002098
2012-06-01,0.037728,0.007137
2012-06-09,0.045108,0.00581
2012-06-17,0.066712,0.003202
2012-06-25,0.051354,0.013288
2012-07-03,0.061804,0.002314
2012-07-11,0.046421,0.0041
2012-07-19,0.045576,0.002577
2012-07-27,0.04786,0.002136
2012-08-04,0.047096,0.002145
2012-08-12,0.03362,0.003372
2012-08-20,0.027476,0.007205
2012-08-28,0.01266,0.000825
2012-09-05,0.007744,0.003239
2012-09-13,0.009324,0.00106
2012-09-21,0.009984,0.000813
2012-09-29,0.00105,8.3e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,NA
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,NA,NA
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,1e-04,0
2013-05-09,6e-04,0
2013-05-17,0.007091,0.003899
2013-05-25,0.032648,0.001795
2013-06-02,0.030732,0.00222
2013-06-10,0.038468,0.002168
2013-06-18,0.057792,0.005489
2013-06-26,0.06436,0.003032
2013-07-04,0.039913,0.0093
2013-07-12,0.053512,0.002752
2013-07-20,0.04916,0.005952
2013-07-28,0.065064,0.00267
2013-08-05,0.061792,0.004918
2013-08-13,0.023184,0.014042
2013-08-21,0.011372,0.000549
2013-08-29,0.016876,0.000899
2013-09-06,0.013028,0.000544
2013-09-14,0.001121,0.00081
2013-09-22,0.001084,0.00014
2013-09-30,0.000588,0.000382
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,3e-04,0
2014-04-23,0.001244,0.00034
2014-05-01,0.012964,0.002418
2014-05-09,0.020036,0.002354
2014-05-17,0.00392,0.002042
2014-05-25,0.031996,0.002112
2014-06-02,0.04126,0.002073
2014-06-10,0.041096,0.003523
2014-06-18,0.04576,0.002716
2014-06-26,0.061284,0.00307
2014-07-04,0.034044,0.009183
2014-07-12,0.054288,0.00523
2014-07-20,0.025768,0.007531
2014-07-28,0.03278,0.005598
2014-08-05,0.018764,0.007346
2014-08-13,0.031924,0.001721
2014-08-21,0.029704,0.003981
2014-08-29,0.010776,0.00059
2014-09-06,0.010876,0.000608
2014-09-14,0.0082,0.001079
2014-09-22,0.003692,0.000383
2014-09-30,0.000956,0.000231
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00014,5.5e-05
2015-04-15,6e-04,0
2015-04-23,NA,NA
2015-05-01,0.001308,0.00048
2015-05-09,0.023,0.00241
2015-05-17,0.046612,0.002141
2015-05-25,0.038564,0.002439
2015-06-02,0.028528,0.00615
2015-06-10,0.018719,0.010083
2015-06-18,0.06374,0.007955
2015-06-26,0.043188,0.004368
2015-07-04,0.055,0.005601
2015-07-12,0.034424,0.003479
2015-07-20,0.035936,0.008437
2015-07-28,0.032096,0.01158
2015-08-05,0.037516,0.002412
2015-08-13,0.026684,0.00146
2015-08-21,0.016744,0.001191
2015-08-29,0.004928,0.001502
2015-09-06,0.01168,0.000986
2015-09-14,0.000812,0.000247
2015-09-22,0.000336,0.000245
2015-09-30,0.000418,0.000108
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000156,0.000103
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.000972,0.000329
2016-04-30,0.003916,0.001079
2016-05-08,0.028508,0.003719
