dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,NA
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.0065,0.001589
2010-05-01,0.006083,0.000527
2010-05-09,0.0086,0.000155
2010-05-17,0.016983,0.000677
2010-05-25,0.040567,0.004182
2010-06-02,0.03845,0.000846
2010-06-10,0.046267,0.002843
2010-06-18,0.043467,0.005455
2010-06-26,0.031133,0.020012
2010-07-04,0.045833,0.002587
2010-07-12,0.024917,0.00204
2010-07-20,0.026433,0.001188
2010-07-28,0.04365,0.001276
2010-08-05,0.0219,0.006505
2010-08-13,0.0297,0.001814
2010-08-21,0.01775,0.001208
2010-08-29,0.0093,0
2010-09-06,0.013,0.00174
2010-09-14,0.005133,0.000929
2010-09-22,0.000333,0.000288
2010-09-30,0.000883,4.1e-05
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,0.00016,5.5e-05
2011-05-01,0.00042,0.000164
2011-05-09,0.00145,0.000912
2011-05-17,0.027417,0.001283
2011-05-25,0.0423,0.00129
2011-06-02,0.027867,0.001681
2011-06-10,0.028733,0.002818
2011-06-18,0.046,0.006787
2011-06-26,0.04985,0.003587
2011-07-04,0.019125,0.008619
2011-07-12,0.00512,0.001429
2011-07-20,0.0443,0.006691
2011-07-28,0.04895,0.003087
2011-08-05,0.019117,0.000786
2011-08-13,0.016633,0.003726
2011-08-21,0.026383,0.002565
2011-08-29,0.0175,0.001342
2011-09-06,0.013,0.00101
2011-09-14,0.010717,0.000564
2011-09-22,0.00066,0.000329
2011-09-30,0.00145,0.000774
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,0.000275,0.00015
2012-04-30,0.00015,5.5e-05
2012-05-08,0.00286,0.000358
2012-05-16,0.019833,0.001379
2012-05-24,0.0201,0.001938
2012-06-01,0.036017,0.002604
2012-06-09,0.04125,0.001206
2012-06-17,0.056917,0.001333
2012-06-25,0.04605,0.002003
2012-07-03,0.055083,0.001556
2012-07-11,0.04045,0.001747
2012-07-19,0.039033,0.001896
2012-07-27,0.0407,0.0014
2012-08-04,0.039783,0.002504
2012-08-12,0.02755,0.001152
2012-08-20,0.01075,0.004854
2012-08-28,0.011233,0.000216
2012-09-05,0.0067,0.002542
2012-09-13,0.007633,0.001263
2012-09-21,0.008383,0.000891
2012-09-29,0.000917,0.000133
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,NA,NA
2013-05-09,0.001,0.000361
2013-05-17,0.005683,0.003206
2013-05-25,0.028567,0.001368
2013-06-02,0.027067,0.001005
2013-06-10,0.035467,0.002785
2013-06-18,0.047733,0.001136
2013-06-26,0.054467,0.000728
2013-07-04,0.036825,0.001576
2013-07-12,0.0463,0.000562
2013-07-20,0.044183,0.004023
2013-07-28,0.055783,0.00214
2013-08-05,0.05235,0.002168
2013-08-13,0.022775,0.003719
2013-08-21,0.010483,0.000204
2013-08-29,0.01475,0.000704
2013-09-06,0.010983,0.000646
2013-09-14,8e-04,0
2013-09-22,0.001033,0.000121
2013-09-30,0.000383,0.000402
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.00016,5.5e-05
2014-04-15,0.000217,0.000117
2014-04-23,0.0015,0.00021
2014-05-01,0.010283,0.002572
2014-05-09,0.017317,0.002617
2014-05-17,0.00385,0.000761
2014-05-25,0.0221,0.007057
2014-06-02,0.036617,0.002488
2014-06-10,0.037967,0.001275
2014-06-18,0.043183,0.003609
2014-06-26,0.056317,0.00365
2014-07-04,0.0313,0.007759
2014-07-12,0.045967,0.001718
2014-07-20,0.022,0.006327
2014-07-28,0.028,0.001252
2014-08-05,0.015533,0.008208
2014-08-13,0.02725,0.001693
2014-08-21,0.0282,0.002806
2014-08-29,0.009317,0.000618
2014-09-06,0.008917,0.000818
2014-09-14,0.007067,0.000501
2014-09-22,0.00305,0.000164
2014-09-30,0.000833,0.000197
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,1e-04,0
2015-04-15,6e-04,0
2015-04-23,0.00052,8.4e-05
2015-05-01,0.00165,0.000333
2015-05-09,0.02175,0.001122
2015-05-17,0.040317,0.002883
2015-05-25,0.035267,0.001985
2015-06-02,0.01975,0.004351
2015-06-10,0.01105,0.003143
2015-06-18,0.056017,0.003711
2015-06-26,0.03545,0.00318
2015-07-04,0.050283,0.004033
2015-07-12,0.034283,0.007517
2015-07-20,0.030217,0.006417
2015-07-28,0.03215,0.001934
2015-08-05,0.031333,0.000774
2015-08-13,0.023833,0.001089
2015-08-21,0.014983,0.000564
2015-08-29,0.0051,0.001547
2015-09-06,0.0104,0.000587
2015-09-14,0.000675,0.00015
2015-09-22,0.00025,5.5e-05
2015-09-30,0.000375,5e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00026,8.9e-05
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.0015,0.000363
2016-04-30,0.00375,0.000758
