dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.005584,0.001576
2010-05-01,0.005848,0.000675
2010-05-09,0.009084,0.000992
2010-05-17,0.01842,0.001205
2010-05-25,0.042788,0.005939
2010-06-02,0.03816,0.002202
2010-06-10,0.0491,0.00396
2010-06-18,0.04312,0.003622
2010-06-26,0.038004,0.015139
2010-07-04,0.045412,0.002628
2010-07-12,0.020424,0.004517
2010-07-20,0.026628,0.001542
2010-07-28,0.0438,0.001759
2010-08-05,0.021788,0.005683
2010-08-13,0.030232,0.001626
2010-08-21,0.018696,0.001353
2010-08-29,0.009508,0.000998
2010-09-06,0.012748,0.001364
2010-09-14,0.006296,0.000413
2010-09-22,0.000214,4.7e-05
2010-09-30,0.000768,0.000246
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,NA
2011-04-07,0,NA
2011-04-15,0,NA
2011-04-23,0.000114,3.8e-05
2011-05-01,3e-04,0
2011-05-09,7e-04,0.000296
2011-05-17,0.029788,0.001809
2011-05-25,0.04388,0.001764
2011-06-02,0.028048,0.001198
2011-06-10,0.023784,0.003158
2011-06-18,0.04412,0.009018
2011-06-26,0.047468,0.002547
2011-07-04,0.028992,0.016738
2011-07-12,0.005956,0.000485
2011-07-20,0.043056,0.005129
2011-07-28,0.0481,0.002132
2011-08-05,0.02052,0.005043
2011-08-13,0.014784,0.003581
2011-08-21,0.026568,0.002088
2011-08-29,0.017724,0.001138
2011-09-06,0.013324,0.000888
2011-09-14,0.011612,0.001252
2011-09-22,0.000758,0.000336
2011-09-30,0.001408,0.000583
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,2e-04,0
2012-04-30,0.000106,2.4e-05
2012-05-08,0.002293,0.000836
2012-05-16,0.020412,0.00161
2012-05-24,0.01882,0.001894
2012-06-01,0.034304,0.006099
2012-06-09,0.041112,0.005079
2012-06-17,0.057664,0.002459
2012-06-25,0.044579,0.010919
2012-07-03,0.054824,0.001873
2012-07-11,0.041362,0.003428
2012-07-19,0.039736,0.002078
2012-07-27,0.04098,0.001632
2012-08-04,0.04186,0.00189
2012-08-12,0.029476,0.003172
2012-08-20,0.024764,0.006294
2012-08-28,0.011344,0.000738
2012-09-05,0.006868,0.002699
2012-09-13,0.008156,0.000877
2012-09-21,0.008708,0.000736
2012-09-29,0.000992,4.1e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,NA
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,NA,NA
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.006583,0.003492
2013-05-25,0.029952,0.001581
2013-06-02,0.028064,0.002006
2013-06-10,0.035168,0.001901
2013-06-18,0.051452,0.004413
2013-06-26,0.05628,0.002326
2013-07-04,0.035739,0.008085
2013-07-12,0.046884,0.002189
2013-07-20,0.043352,0.004707
2013-07-28,0.05612,0.002045
2013-08-05,0.052288,0.003449
2013-08-13,0.019564,0.011529
2013-08-21,0.010308,0.000497
2013-08-29,0.014812,0.000783
2013-09-06,0.011372,0.000438
2013-09-14,0.000968,0.000644
2013-09-22,0.000876,0.000211
2013-09-30,0.000412,0.000369
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,0.000184,3.7e-05
2014-04-23,0.001084,0.000314
2014-05-01,0.0118,0.002175
2014-05-09,0.01828,0.002106
2014-05-17,0.003625,0.001769
2014-05-25,0.029052,0.001821
2014-06-02,0.03768,0.0018
2014-06-10,0.037204,0.002977
2014-06-18,0.041832,0.00236
2014-06-26,0.054656,0.00254
2014-07-04,0.03078,0.007972
2014-07-12,0.048968,0.004293
2014-07-20,0.022892,0.00627
2014-07-28,0.02856,0.004678
2014-08-05,0.016284,0.006187
2014-08-13,0.027536,0.001419
2014-08-21,0.026964,0.003301
2014-08-29,0.009616,0.000483
2014-09-06,0.009504,0.000495
2014-09-14,0.007028,0.000815
2014-09-22,0.002988,0.000207
2014-09-30,0.000732,0.000263
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00014,5.5e-05
2015-04-15,0.000592,2.8e-05
2015-04-23,NA,NA
2015-05-01,0.001262,0.000444
2015-05-09,0.021104,0.002188
2015-05-17,0.041904,0.00184
2015-05-25,0.035052,0.002108
2015-06-02,0.025676,0.005258
2015-06-10,0.017024,0.008912
2015-06-18,0.055956,0.006299
2015-06-26,0.03766,0.003622
2015-07-04,0.04892,0.004583
2015-07-12,0.030664,0.002966
2015-07-20,0.031996,0.007013
2015-07-28,0.027968,0.009862
2015-08-05,0.032776,0.001834
2015-08-13,0.024216,0.001368
2015-08-21,0.014784,0.000945
2015-08-29,0.004444,0.001327
2015-09-06,0.010408,0.000844
2015-09-14,0.000762,0.000177
2015-09-22,0.000216,3.7e-05
2015-09-30,0.000309,5.4e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000112,5e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.00094,0.000277
2016-04-30,0.003592,0.000995
2016-05-08,0.025996,0.003315
