dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.004376,0.001507
2010-05-01,0.00519,0.001005
2010-05-09,0.008025,0.001475
2010-05-17,0.017124,0.002166
2010-05-25,0.036744,0.004885
2010-06-02,0.035047,0.003068
2010-06-10,0.045999,0.005361
2010-06-18,0.041812,0.004508
2010-06-26,0.039203,0.009444
2010-07-04,0.04159,0.004215
2010-07-12,0.020011,0.005714
2010-07-20,0.025041,0.003542
2010-07-28,0.040085,0.003658
2010-08-05,0.023076,0.005504
2010-08-13,0.027677,0.002686
2010-08-21,0.014794,0.004401
2010-08-29,0.009705,0.003432
2010-09-06,0.011107,0.001373
2010-09-14,0.005859,0.000685
2010-09-22,0.000223,9.3e-05
2010-09-30,0.00065,0.000283
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.00011,3e-05
2011-05-01,0.000334,0.000114
2011-05-09,0.000682,0.000268
2011-05-17,0.027088,0.002153
2011-05-25,0.041529,0.003757
2011-06-02,0.025785,0.001938
2011-06-10,0.020947,0.004712
2011-06-18,0.039729,0.006363
2011-06-26,0.043642,0.003692
2011-07-04,0.043575,0.013274
2011-07-12,0.005613,0.002095
2011-07-20,0.041595,0.005658
2011-07-28,0.043277,0.005742
2011-08-05,0.014452,0.005043
2011-08-13,0.015363,0.003101
2011-08-21,0.023531,0.003116
2011-08-29,0.016103,0.002232
2011-09-06,0.012235,0.001279
2011-09-14,0.010207,0.001198
2011-09-22,0.000592,0.000337
2011-09-30,0.001154,0.000499
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,0.000257,5e-05
2012-04-30,0.000104,1.9e-05
2012-05-08,0.001844,0.000686
2012-05-16,0.018665,0.00184
2012-05-24,0.016526,0.002487
2012-06-01,0.028418,0.007394
2012-06-09,0.037706,0.005801
2012-06-17,0.054787,0.005077
2012-06-25,0.027714,0.017365
2012-07-03,0.039531,0.018176
2012-07-11,0.026446,0.015023
2012-07-19,0.026697,0.013904
2012-07-27,0.029473,0.013314
2012-08-04,0.030077,0.012528
2012-08-12,0.020734,0.009611
2012-08-20,0.018478,0.007938
2012-08-28,0.007782,0.003576
2012-09-05,0.0038,0.002167
2012-09-13,0.005033,0.00263
2012-09-21,0.006124,0.002851
2012-09-29,0.000723,0.00036
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,NA,NA
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,NA
2013-05-09,6e-04,0
2013-05-17,0.003314,0.002117
2013-05-25,0.021236,0.010533
2013-06-02,0.020574,0.009105
2013-06-10,0.02513,0.012389
2013-06-18,0.038885,0.016707
2013-06-26,0.041779,0.016496
2013-07-04,0.031634,0.011948
2013-07-12,0.035389,0.013597
2013-07-20,0.03332,0.012735
2013-07-28,0.04385,0.015768
2013-08-05,0.03912,0.013694
2013-08-13,0.009084,0.007747
2013-08-21,0.008526,0.003293
2013-08-29,0.010827,0.00431
2013-09-06,0.008699,0.00312
2013-09-14,0.00098,0.000668
2013-09-22,0.000475,0.000227
2013-09-30,0.000502,0.000421
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,0.000198,1.4e-05
2014-04-23,0.000982,0.000287
2014-05-01,0.008633,0.004192
2014-05-09,0.013552,0.006197
2014-05-17,0.003755,0.001551
2014-05-25,0.021062,0.00883
2014-06-02,0.028658,0.009655
2014-06-10,0.027662,0.009663
2014-06-18,0.032447,0.010421
2014-06-26,0.044211,0.012675
2014-07-04,0.023243,0.009056
2014-07-12,0.038724,0.009507
2014-07-20,0.020066,0.009122
2014-07-28,0.020878,0.006637
2014-08-05,0.010029,0.005114
2014-08-13,0.022695,0.005596
2014-08-21,0.020601,0.006275
2014-08-29,0.007459,0.002405
2014-09-06,0.007201,0.002229
2014-09-14,0.005457,0.002326
2014-09-22,0.002174,0.000901
2014-09-30,0.000501,0.000195
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,1e-04,0
2015-04-15,0.000553,5e-05
2015-04-23,NA,NA
2015-05-01,0.001152,0.000342
2015-05-09,0.014861,0.006581
2015-05-17,0.032355,0.010833
2015-05-25,0.027266,0.008041
2015-06-02,0.018898,0.008243
2015-06-10,0.017338,0.0075
2015-06-18,0.047085,0.009323
2015-06-26,0.034446,0.00677
2015-07-04,0.040612,0.008368
2015-07-12,0.030802,0.00578
2015-07-20,0.030639,0.008155
2015-07-28,0.022611,0.008594
2015-08-05,0.027075,0.004667
2015-08-13,0.020124,0.003558
2015-08-21,0.012349,0.002243
2015-08-29,0.002965,0.000908
2015-09-06,0.008718,0.002149
2015-09-14,7e-04,0.000146
2015-09-22,0.000169,4.9e-05
2015-09-30,0.000189,0.000112
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000105,3.1e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001048,0.000399
2016-04-30,0.004409,0.002721
2016-05-08,0.018154,0.005755
2016-05-16,0.010263,0.003616
