date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,19,11.24
A2010073,2010-03-14,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,61,36.09
A2010081,2010-03-22,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,57,33.73
A2010089,2010-03-30,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,46,27.22
A2010097,2010-04-07,MOD17A2H,Gpp_500m,0.0001,0.0001,0.0048,0.0000,0.0001,0.0000,0.0000,169,48,28.40
A2010105,2010-04-15,MOD17A2H,Gpp_500m,0.0007,0.0009,0.1096,0.0002,0.0008,0.0000,0.0001,169,130,76.92
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0026,0.0114,0.8389,0.0088,0.0050,0.0000,0.0017,169,169,100.00
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0035,0.0082,1.0142,0.0047,0.0060,0.0000,0.0011,169,169,100.00
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0042,0.0146,1.5563,0.0104,0.0092,0.0000,0.0017,169,169,100.00
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0135,0.0313,3.1879,0.0178,0.0189,0.0000,0.0022,169,169,100.00
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0309,0.0624,7.0768,0.0315,0.0419,0.0000,0.0062,169,169,100.00
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0279,0.0475,6.5401,0.0196,0.0387,0.0000,0.0033,169,169,100.00
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0402,0.0653,8.6163,0.0251,0.0510,0.0000,0.0059,169,169,100.00
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0343,0.0590,7.7529,0.0247,0.0459,0.0000,0.0049,169,169,100.00
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0097,0.0637,7.2858,0.0540,0.0434,0.0002,0.0126,169,168,99.41
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0386,0.0622,7.9092,0.0236,0.0468,0.0000,0.0047,169,169,100.00
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0037,0.0354,3.2769,0.0317,0.0220,0.0000,0.0061,169,149,88.17
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0179,0.0422,4.8326,0.0243,0.0286,0.0000,0.0038,169,169,100.00
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0312,0.0552,7.8959,0.0240,0.0467,0.0000,0.0041,169,169,100.00
A2010217,2010-08-05,MOD17A2H,Gpp_500m,0.0093,0.0374,4.4472,0.0281,0.0263,0.0000,0.0067,169,169,100.00
