MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,18,13.24
A2010073,2010-03-14,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,46,33.82
A2010081,2010-03-22,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,47,34.56
A2010089,2010-03-30,MOD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,40,29.41
A2010097,2010-04-07,MOD17A2H,Gpp_500m,0.0001,0.0001,0.0037,0.0000,0.0001,0.0000,0.0000,136,37,27.21
A2010105,2010-04-15,MOD17A2H,Gpp_500m,0.0007,0.0009,0.0839,0.0002,0.0008,0.0000,0.0001,136,101,74.26
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0026,0.0114,0.6394,0.0088,0.0047,0.0000,0.0016,136,136,100.00
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0035,0.0082,0.7951,0.0047,0.0058,0.0000,0.0012,136,136,100.00
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0042,0.0145,1.2228,0.0103,0.0090,0.0000,0.0017,136,136,100.00
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0135,0.0313,2.5398,0.0178,0.0187,0.0000,0.0023,136,136,100.00
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0309,0.0573,5.5294,0.0264,0.0407,0.0000,0.0055,136,136,100.00
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0279,0.0475,5.1797,0.0196,0.0381,0.0000,0.0032,136,136,100.00
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0402,0.0653,6.8610,0.0251,0.0504,0.0000,0.0060,136,136,100.00
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0343,0.0588,6.2057,0.0245,0.0456,0.0000,0.0050,136,136,100.00
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0107,0.0637,5.9194,0.0530,0.0438,0.0001,0.0109,136,135,99.26
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0386,0.0622,6.2623,0.0236,0.0460,0.0000,0.0046,136,136,100.00
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0037,0.0354,2.5286,0.0317,0.0218,0.0000,0.0063,136,116,85.29
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0179,0.0422,3.8514,0.0243,0.0283,0.0000,0.0041,136,136,100.00
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0312,0.0550,6.2443,0.0238,0.0459,0.0000,0.0040,136,136,100.00
A2010217,2010-08-05,MOD17A2H,Gpp_500m,0.0093,0.0368,3.6389,0.0275,0.0268,0.0000,0.0065,136,136,100.00
A2010225,2010-08-13,MOD17A2H,Gpp_500m,0.0243,0.0387,4.1378,0.0144,0.0304,0.0000,0.0029,136,136,100.00
A2010233,2010-08-21,MOD17A2H,Gpp_500m,0.0023,0.0242,2.0931,0.0219,0.0164,0.0000,0.0049,136,128,94.12
A2010241,2010-08-29,MOD17A2H,Gpp_500m,0.0065,0.0208,1.4778,0.0143,0.0109,0.0000,0.0040,136,136,100.00
A2010249,2010-09-06,MOD17A2H,Gpp_500m,0.0091,0.0159,1.7111,0.0068,0.0126,0.0000,0.0015,136,136,100.00
A2010257,2010-09-14,MOD17A2H,Gpp_500m,0.0051,0.0094,0.9365,0.0043,0.0069,0.0000,0.0008,136,136,100.00
A2010265,2010-09-22,MOD17A2H,Gpp_500m,0.0002,0.0009,0.0327,0.0007,0.0003,0.0000,0.0001,136,120,88.24
A2010273,2010-09-30,MOD17A2H,Gpp_500m,0.0003,0.0012,0.0796,0.0009,0.0008,0.0000,0.0003,136,105,77.21
A2010281,2010-10-08,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010289,2010-10-16,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010297,2010-10-24,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010305,2010-11-01,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010313,2010-11-09,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010321,2010-11-17,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010329,2010-11-25,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010337,2010-12-03,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010345,2010-12-11,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010353,2010-12-19,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010361,2010-12-27,MOD17A2H,Gpp_500m,,,,,,,,136,0,0.00
