MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,18,13.24
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,46,33.82
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,47,34.56
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,40,29.41
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,0.0001,0.0001,0.0037,0.0000,0.0001,0.0000,0.0000,136,37,27.21
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0007,0.0007,0.0707,0.0000,0.0007,0.0000,0.0000,136,101,74.26
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0025,0.0103,0.5951,0.0078,0.0044,0.0000,0.0015,136,136,100.00
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0033,0.0074,0.7059,0.0041,0.0052,0.0000,0.0010,136,136,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0039,0.0125,1.0914,0.0086,0.0080,0.0000,0.0015,136,136,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0116,0.0280,2.3288,0.0164,0.0171,0.0000,0.0022,136,136,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0260,0.0507,4.9972,0.0247,0.0367,0.0000,0.0049,136,136,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0244,0.0434,4.7664,0.0190,0.0350,0.0000,0.0031,136,136,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0346,0.0582,6.2559,0.0236,0.0460,0.0000,0.0053,136,136,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0313,0.0529,5.6865,0.0216,0.0418,0.0000,0.0045,136,136,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0101,0.0555,5.2924,0.0454,0.0392,0.0001,0.0094,136,135,99.26
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0316,0.0548,5.6563,0.0232,0.0416,0.0000,0.0042,136,136,100.00
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0035,0.0324,2.3213,0.0289,0.0200,0.0000,0.0057,136,116,85.29
A2010201,2010-07-20,MOD17A2H,PsnNet_500m,0.0162,0.0361,3.4056,0.0199,0.0250,0.0000,0.0035,136,136,100.00
A2010209,2010-07-28,MOD17A2H,PsnNet_500m,0.0241,0.0470,5.4516,0.0229,0.0401,0.0000,0.0036,136,136,100.00
A2010217,2010-08-05,MOD17A2H,PsnNet_500m,0.0084,0.0319,3.1383,0.0235,0.0231,0.0000,0.0055,136,136,100.00
A2010225,2010-08-13,MOD17A2H,PsnNet_500m,0.0210,0.0347,3.7641,0.0137,0.0277,0.0000,0.0027,136,136,100.00
A2010233,2010-08-21,MOD17A2H,PsnNet_500m,0.0021,0.0213,1.8936,0.0192,0.0148,0.0000,0.0044,136,128,94.12
A2010241,2010-08-29,MOD17A2H,PsnNet_500m,0.0060,0.0180,1.3199,0.0120,0.0097,0.0000,0.0034,136,136,100.00
A2010249,2010-09-06,MOD17A2H,PsnNet_500m,0.0082,0.0141,1.5105,0.0059,0.0111,0.0000,0.0014,136,136,100.00
A2010257,2010-09-14,MOD17A2H,PsnNet_500m,0.0045,0.0079,0.7968,0.0034,0.0059,0.0000,0.0007,136,136,100.00
A2010265,2010-09-22,MOD17A2H,PsnNet_500m,0.0001,0.0007,0.0268,0.0006,0.0002,0.0000,0.0001,136,120,88.24
A2010273,2010-09-30,MOD17A2H,PsnNet_500m,0.0003,0.0009,0.0683,0.0006,0.0007,0.0000,0.0003,136,105,77.21
A2010281,2010-10-08,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010289,2010-10-16,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010297,2010-10-24,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010305,2010-11-01,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010313,2010-11-09,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010321,2010-11-17,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010329,2010-11-25,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010337,2010-12-03,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010345,2010-12-11,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010353,2010-12-19,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2010361,2010-12-27,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2011001,2011-01-01,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2011009,2011-01-09,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
A2011017,2011-01-17,MOD17A2H,PsnNet_500m,,,,,,,,136,0,0.00
