dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.003375,0.001613
2010-05-01,0.003765,0.000638
2010-05-09,0.006567,0.001507
2010-05-17,0.014367,0.002309
2010-05-25,0.029362,0.005826
2010-06-02,0.029521,0.004353
2010-06-10,0.033783,0.0047
2010-06-18,0.031152,0.003981
2010-06-26,0.026887,0.00895
2010-07-04,0.038223,0.006069
2010-07-12,0.019741,0.0083
2010-07-20,0.019864,0.006163
2010-07-28,0.027418,0.006038
2010-08-05,0.015149,0.004539
2010-08-13,0.023663,0.003703
2010-08-21,0.006806,0.002846
2010-08-29,0.011357,0.002299
2010-09-06,0.010509,0.001782
2010-09-14,0.004206,0.000797
2010-09-22,0.000148,0.000104
2010-09-30,0.000205,2.7e-05
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,0
2011-03-30,NA,NA
2011-04-07,0,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,1e-04,0
2011-05-09,NA,NA
2011-05-17,0.021102,0.002993
2011-05-25,0.032015,0.00553
2011-06-02,0.019169,0.002958
2011-06-10,0.013786,0.006792
2011-06-18,0.035521,0.007269
2011-06-26,0.035187,0.005363
2011-07-04,0.026118,0.009859
2011-07-12,0.008179,0.005302
2011-07-20,0.030361,0.008124
2011-07-28,0.032399,0.006989
2011-08-05,0.016773,0.003781
2011-08-13,0.015072,0.002053
2011-08-21,0.020733,0.003633
2011-08-29,0.011577,0.001571
2011-09-06,0.00981,0.001626
2011-09-14,0.006791,0.001078
2011-09-22,2e-04,0.000165
2011-09-30,0.001023,0.000588
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,0,0
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.014329,0.00224
2012-05-24,0.020816,0.004634
2012-06-01,0.024221,0.00778
2012-06-09,0.031187,0.005133
2012-06-17,0.039588,0.007725
2012-06-25,0.031205,0.010482
2012-07-03,0.040665,0.007976
2012-07-11,0.018817,0.008776
2012-07-19,0.018299,0.009008
2012-07-27,0.030061,0.007009
2012-08-04,0.03175,0.005299
2012-08-12,0.024661,0.003538
2012-08-20,0.020746,0.004516
2012-08-28,0.006565,0.001143
2012-09-05,0.005177,0.001737
2012-09-13,0.006847,0.001342
2012-09-21,0.00652,0.001172
2012-09-29,0.000383,0.000297
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,0
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,0,NA
2013-04-23,0,0
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.002889,0.001176
2013-05-25,0.023559,0.003827
2013-06-02,0.02278,0.004297
2013-06-10,0.027858,0.005384
2013-06-18,0.036447,0.007124
2013-06-26,0.038055,0.007827
2013-07-04,0.027371,0.006637
2013-07-12,0.028634,0.006968
2013-07-20,0.029781,0.009695
2013-07-28,0.036324,0.00826
2013-08-05,0.033524,0.008329
2013-08-13,0.017851,0.004241
2013-08-21,0.009532,0.00181
2013-08-29,0.01202,0.0017
2013-09-06,0.008735,0.001346
2013-09-14,0.002923,0.000936
2013-09-22,0.000377,0.000185
2013-09-30,0.000192,0.000242
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,0,0
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,0.00048,4.5e-05
2014-05-01,0.008865,0.002658
2014-05-09,0.014097,0.002615
2014-05-17,0.004466,0.001635
2014-05-25,0.017192,0.004557
2014-06-02,0.026204,0.003235
2014-06-10,0.027383,0.004287
2014-06-18,0.03767,0.006742
2014-06-26,0.03589,0.007608
2014-07-04,0.029933,0.007774
2014-07-12,0.039179,0.008838
2014-07-20,0.021056,0.005675
2014-07-28,0.017984,0.00375
2014-08-05,0.01651,0.002749
2014-08-13,0.0226,0.003716
2014-08-21,0.021488,0.002894
2014-08-29,0.007276,0.001346
2014-09-06,0.00759,0.001179
2014-09-14,0.004932,0.000974
2014-09-22,0.002075,0.000472
2014-09-30,0.000339,0.000279
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,0,0
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.008804,0.004792
2015-05-17,0.031026,0.006465
2015-05-25,0.02436,0.003861
2015-06-02,0.015348,0.003557
2015-06-10,0.010582,0.004425
2015-06-18,0.039295,0.007898
2015-06-26,0.019058,0.011118
2015-07-04,0.032527,0.005139
2015-07-12,0.022003,0.009181
2015-07-20,0.023699,0.004777
2015-07-28,0.018099,0.004708
2015-08-05,0.022445,0.004135
2015-08-13,0.018712,0.002965
2015-08-21,0.012669,0.002778
2015-08-29,0.00077,8.7e-05
2015-09-06,0.007557,0.000967
2015-09-14,0.000461,1e-04
2015-09-22,5.6e-05,0.000133
2015-09-30,2.8e-05,7e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,0,0
2016-04-22,NA,NA
2016-04-30,0.002828,0.001438
2016-05-08,0.017423,0.003041
2016-05-16,0.012354,0.002093
